Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Rodolfo Cota,mx MEX,GK,36-180,16,1440.0,90.0,94.1,16.0,16,90.0,16,0,,1,1.2,21.0,21.0,0.0,0.0,-1.0,22.8,16.0,6.8,0.42,0.94,Matches
Adonis Frías,ar ARG,DF,25-288,16,1440.0,90.0,94.1,16.0,16,90.0,16,0,,1,1.3,22.0,21.0,1.0,0.06,0.06,23.5,16.3,7.1,0.45,1.33,Matches
Ángel Mena,ec ECU,"FW,MF",35-343,17,1232.0,72.0,80.5,13.7,15,79.0,7,2,25.0,0,1.42,19.0,20.0,-1.0,-0.07,-0.68,19.7,15.0,4.7,0.34,-0.12,Matches
Iván Moreno,mx MEX,"DF,MF",25-347,15,1082.0,72.0,70.7,12.0,14,77.0,4,1,7.0,0,1.26,17.0,14.0,3.0,0.25,0.65,16.2,12.9,3.3,0.27,-0.33,Matches
Osvaldo Rodríguez del Portal,mx MEX,DF,27-111,16,1034.0,65.0,67.6,11.5,12,79.0,8,4,21.0,1,1.39,15.0,10.0,5.0,0.44,1.16,16.7,11.8,4.9,0.43,0.18,Matches
Lucas Romero,ar ARG,MF,29-256,14,976.0,70.0,63.8,10.8,12,79.0,6,2,12.0,0,1.31,13.0,14.0,-1.0,-0.09,-0.42,15.5,11.0,4.4,0.41,0.12,Matches
José Iván Rodríguez,mx MEX,MF,27-196,17,1005.0,59.0,65.7,11.2,11,81.0,7,6,19.0,0,1.29,17.0,15.0,2.0,0.18,0.35,16.6,14.0,2.5,0.23,-0.41,Matches
William Tesillo,co COL,DF,33-331,11,968.0,88.0,63.3,10.8,11,88.0,10,0,,2,1.07,16.0,19.0,-3.0,-0.28,-0.92,16.7,12.1,4.6,0.43,0.16,Matches
Alfonso Alvarado,mx MEX,"FW,MF",23-292,15,894.0,60.0,58.4,9.9,10,71.0,3,5,36.0,0,1.21,14.0,15.0,-1.0,-0.1,-0.38,11.9,10.2,1.7,0.17,-0.47,Matches
Federico Viñas,uy URU,FW,25-183,12,792.0,66.0,51.8,8.8,10,73.0,4,2,31.0,0,1.25,12.0,12.0,0.0,0.0,-0.12,12.5,8.4,4.0,0.46,0.19,Matches
Elías Hernández,mx MEX,"MF,DF",35-245,11,702.0,64.0,45.9,7.8,10,70.0,2,1,7.0,0,1.27,10.0,10.0,0.0,0.0,-0.11,9.8,9.3,0.5,0.06,-0.56,Matches
Nicolás López,uy URU,"FW,MF",30-090,12,689.0,57.0,45.0,7.7,8,75.0,2,4,23.0,1,1.2,13.0,8.0,5.0,0.65,1.08,11.3,7.7,3.6,0.47,0.18,Matches
Fidel Ambríz,mx MEX,MF,20-284,11,703.0,64.0,45.9,7.8,7,86.0,4,4,25.0,0,1.5,9.0,8.0,1.0,0.13,0.13,11.6,5.5,6.1,0.78,0.77,Matches
Jaine Barreiro,co COL,DF,29-194,7,628.0,90.0,41.0,7.0,7,90.0,6,0,,0,1.22,9.0,9.0,0.0,0.0,-0.1,9.6,8.5,1.1,0.16,-0.35,Matches
Paul Bellón,mx MEX,DF,26-209,7,585.0,84.0,38.2,6.5,6,90.0,6,1,45.0,10,1.5,7.0,7.0,0.0,0.0,-0.1,8.5,6.4,2.1,0.32,-0.08,Matches
José David Ramírez,mx MEX,"DF,MF",28-016,14,576.0,41.0,37.6,6.4,6,69.0,1,8,20.0,2,1.33,6.0,7.0,-1.0,-0.16,-0.34,7.6,5.8,1.8,0.28,-0.14,Matches
Brian Rubio,mx MEX,FW,27-051,11,445.0,40.0,29.1,4.9,3,80.0,1,8,26.0,2,1.29,5.0,7.0,-2.0,-0.4,-0.65,8.0,6.1,1.9,0.39,0.03,Matches
Borja Sánchez Laborde,es ESP,"MF,DF",27-307,8,354.0,44.0,23.1,3.9,3,67.0,1,5,30.0,4,1.1,8.0,3.0,5.0,1.27,1.58,6.8,3.3,3.5,0.89,0.69,Matches
Víctor Dávila,cl CHI,FW,26-056,3,256.0,85.0,16.7,2.8,3,85.0,2,0,,0,1.0,4.0,3.0,1.0,0.35,0.35,4.1,3.8,0.3,0.11,-0.31,Matches
Omar Fernández Frasica,co COL,"MF,FW",30-322,14,357.0,26.0,23.3,4.0,2,57.0,0,12,20.0,0,1.11,5.0,8.0,-3.0,-0.76,-1.06,5.9,4.3,1.7,0.43,0.08,Matches
Jesús Angulo,mx MEX,MF,26-313,2,160.0,80.0,10.5,1.8,2,80.0,1,0,,0,1.5,5.0,1.0,4.0,2.25,2.45,3.3,2.1,1.2,0.7,0.37,Matches
Héctor Uribe,mx MEX,"MF,DF",19-209,6,135.0,23.0,8.8,1.5,1,74.0,0,5,12.0,8,1.0,2.0,1.0,1.0,0.67,0.67,1.4,1.7,-0.3,-0.2,-0.62,Matches
Sebastian Santos,mx MEX,"FW,MF",20-343,3,125.0,42.0,8.2,1.4,1,70.0,0,2,28.0,10,1.4,1.0,0.0,1.0,0.72,0.72,1.8,1.1,0.8,0.54,0.19,Matches
Alfonso Blanco Antúnez,mx MEX,GK,36-152,1,90.0,90.0,5.9,1.0,1,90.0,1,0,,15,3.0,2.0,1.0,1.0,1.0,1.0,1.4,1.9,-0.5,-0.52,-0.94,Matches
Luís Cervantes,mx MEX,DF,22-324,4,40.0,10.0,2.6,0.4,0,,0,4,10.0,5,1.4,1.0,3.0,-2.0,-4.5,-4.68,1.5,0.9,0.6,1.34,1.0,Matches
Oscar Villa,mx MEX,DF,22-309,2,40.0,20.0,2.6,0.4,0,,0,2,20.0,11,1.5,0.0,1.0,-1.0,-2.25,-2.37,0.3,0.2,0.1,0.2,-0.17,Matches
Pedro Budib,mx MEX,DF,19-267,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
Oscar Garcia,mx MEX,GK,20-326,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jose Salazar,mx MEX,FW,21-112,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Squad Total,,,29.0,17,1530.0,90.0,100.0,17.0,187,80.0,108,78,22.0,89,1.35,23.0,22.0,1.0,0.06,,24.2,17.9,6.3,0.37,,
Opponent Total,,,28.1,17,1530.0,90.0,100.0,17.0,187,80.0,109,72,23.0,96,1.35,22.0,23.0,-1.0,-0.06,,17.9,24.2,-6.3,-0.37,,
