Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Rodolfo Cota,mx MEX,GK,36-180,16.0,2,0.12,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Adonis Frías,ar ARG,DF,25-288,16.0,23,1.44,20,0,1,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Ángel Mena,ec ECU,"FW,MF",35-343,13.7,84,6.14,57,17,7,1,1,1,10,0.73,8,1,1,0,0,0,Matches
Iván Moreno,mx MEX,"DF,MF",25-347,12.0,35,2.91,29,4,1,1,0,0,4,0.33,4,0,0,0,0,0,Matches
Osvaldo Rodríguez del Portal,mx MEX,DF,27-111,11.5,22,1.91,12,6,0,1,2,1,2,0.17,1,1,0,0,0,0,Matches
Lucas Romero,ar ARG,MF,29-256,10.8,36,3.32,32,1,2,1,0,0,1,0.09,1,0,0,0,0,0,Matches
José Iván Rodríguez,mx MEX,MF,27-196,11.2,18,1.61,17,0,0,0,0,1,2,0.18,1,0,0,0,0,1,Matches
William Tesillo,co COL,DF,33-331,10.8,19,1.77,16,0,1,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Alfonso Alvarado,mx MEX,"FW,MF",23-292,9.9,19,1.91,11,1,2,4,1,0,2,0.2,2,0,0,0,0,0,Matches
Federico Viñas,uy URU,FW,25-183,8.8,28,3.18,17,0,3,6,2,0,4,0.45,2,0,0,1,1,0,Matches
Elías Hernández,mx MEX,"MF,DF",35-245,7.8,35,4.49,24,9,0,2,0,0,4,0.51,3,1,0,0,0,0,Matches
Nicolás López,uy URU,"FW,MF",30-090,7.7,44,5.75,26,9,3,4,2,0,0,0.0,0,0,0,0,0,0,Matches
Fidel Ambríz,mx MEX,MF,20-284,7.8,23,2.94,20,0,2,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Jaine Barreiro,co COL,DF,29-194,7.0,18,2.58,16,0,0,2,0,0,1,0.14,1,0,0,0,0,0,Matches
Paul Bellón,mx MEX,DF,26-209,6.5,3,0.46,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
José David Ramírez,mx MEX,"DF,MF",28-016,6.4,23,3.59,21,1,1,0,0,0,1,0.16,1,0,0,0,0,0,Matches
Brian Rubio,mx MEX,FW,27-051,4.9,16,3.24,10,0,2,3,1,0,2,0.4,1,0,1,0,0,0,Matches
Borja Sánchez Laborde,es ESP,"MF,DF",27-307,3.9,17,4.32,16,0,0,0,1,0,2,0.51,2,0,0,0,0,0,Matches
Víctor Dávila,cl CHI,FW,26-056,2.8,15,5.27,13,0,0,1,1,0,2,0.7,2,0,0,0,0,0,Matches
Omar Fernández Frasica,co COL,"MF,FW",30-322,4.0,16,4.04,15,0,1,0,0,0,2,0.51,1,0,1,0,0,0,Matches
Jesús Angulo,mx MEX,MF,26-313,1.8,5,2.81,4,0,0,1,0,0,2,1.13,2,0,0,0,0,0,Matches
Héctor Uribe,mx MEX,"MF,DF",19-209,1.5,3,2.0,1,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Sebastian Santos,mx MEX,"FW,MF",20-343,1.4,3,2.16,2,0,0,0,1,0,1,0.72,1,0,0,0,0,0,Matches
Alfonso Blanco Antúnez,mx MEX,GK,36-152,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luís Cervantes,mx MEX,DF,22-324,0.4,1,2.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Oscar Villa,mx MEX,DF,22-309,0.4,1,2.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,29.0,17.0,509,29.94,385,49,26,32,13,4,42,2.47,33,3,3,1,1,1,
Opponent Total,,,28.1,17.0,360,21.18,271,26,22,15,21,5,39,2.29,30,3,2,2,2,0,
