Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Diogo Costa,pt POR,GK,24-102,15,1350.0,90.0,100.0,15.0,15,90.0,15,0,,0,2.27,22.0,11.0,11.0,0.73,,24.0,14.2,9.8,0.65,,Matches
Pepê,br BRA,"MF,DF",26-309,15,1185.0,79.0,87.8,13.2,13,88.0,11,2,21.0,0,2.27,19.0,9.0,10.0,0.76,0.21,21.0,12.3,8.7,0.66,0.06,Matches
Stephen Eustáquio,ca CAN,MF,27-009,15,1178.0,79.0,87.3,13.1,13,86.0,10,2,33.0,0,2.27,18.0,10.0,8.0,0.61,-0.96,20.3,13.1,7.2,0.55,-0.82,Matches
Mehdi Taremi,ir IRN,FW,31-165,15,1162.0,77.0,86.1,12.9,13,81.0,5,2,56.0,0,2.27,18.0,9.0,9.0,0.7,-0.26,18.1,11.1,7.0,0.54,-0.82,Matches
João Mário Lopes,pt POR,DF,23-361,12,951.0,79.0,70.4,10.6,12,79.0,5,0,,1,2.08,8.0,8.0,0.0,0.0,-2.48,14.5,9.5,4.9,0.47,-0.64,Matches
Alan Varela,ar ARG,MF,22-179,12,830.0,69.0,61.5,9.2,11,71.0,3,1,45.0,1,2.08,13.0,6.0,7.0,0.76,0.07,11.8,9.5,2.3,0.25,-1.05,Matches
Galeno,br BRA,"MF,DF",26-069,13,908.0,70.0,67.3,10.1,9,87.0,7,4,31.0,0,2.38,13.0,9.0,4.0,0.4,-1.03,14.5,9.6,4.9,0.48,-0.53,Matches
Pepe,pt POR,DF,40-307,8,649.0,81.0,48.1,7.2,8,81.0,5,0,,0,2.25,13.0,4.0,9.0,1.25,0.99,11.7,7.6,4.1,0.58,-0.15,Matches
Evanilson,br BRA,FW,24-085,10,628.0,63.0,46.5,7.0,8,69.0,0,2,37.0,0,2.2,10.0,5.0,5.0,0.72,-0.03,11.4,7.1,4.2,0.6,-0.09,Matches
Fábio Cardoso,pt POR,DF,29-255,11,621.0,56.0,46.0,6.9,7,80.0,6,4,16.0,2,2.27,11.0,5.0,6.0,0.87,0.25,11.3,5.4,5.9,0.86,0.38,Matches
David Carmo,pt POR,DF,24-164,7,608.0,87.0,45.0,6.8,7,87.0,5,0,,4,2.14,8.0,4.0,4.0,0.59,-0.26,10.0,7.3,2.7,0.4,-0.46,Matches
Wendell,br BRA,DF,30-163,8,620.0,78.0,45.9,6.9,6,85.0,2,2,56.0,0,2.38,9.0,3.0,6.0,0.87,0.25,9.5,4.9,4.6,0.67,0.04,Matches
Iván Marcano,es ESP,DF,36-190,5,367.0,73.0,27.2,4.1,5,73.0,4,0,,0,2.6,7.0,4.0,3.0,0.74,0.0,8.3,2.5,5.8,1.42,1.06,Matches
Zé Pedro Figueiredo,pt POR,DF,26-207,5,426.0,85.0,31.6,4.7,4,90.0,4,1,66.0,0,1.8,5.0,4.0,1.0,0.21,-0.76,6.4,4.9,1.5,0.32,-0.49,Matches
André Franco,pt POR,"MF,FW",25-262,12,370.0,31.0,27.4,4.1,4,71.0,1,8,11.0,3,2.5,9.0,3.0,6.0,1.46,1.0,9.9,5.4,4.6,1.11,0.62,Matches
Nicolás González,es ESP,MF,21-361,7,367.0,52.0,27.2,4.1,4,78.0,0,3,18.0,2,2.29,3.0,4.0,-1.0,-0.25,-1.34,5.4,2.5,2.8,0.69,0.05,Matches
Toni Martínez,es ESP,FW,26-183,10,363.0,36.0,26.9,4.0,4,64.0,1,6,18.0,2,2.5,6.0,4.0,2.0,0.5,-0.32,6.0,2.5,3.5,0.86,0.28,Matches
Jorge Eduardo Sánchez,mx MEX,DF,26-020,6,348.0,58.0,25.8,3.9,4,83.0,3,2,8.0,1,2.5,8.0,1.0,7.0,1.81,1.45,7.5,3.5,4.0,1.03,0.5,Matches
Zaidu Sanusi,ng NGA,DF,26-200,4,254.0,64.0,18.8,2.8,4,64.0,0,0,,3,2.25,2.0,5.0,-3.0,-1.06,-2.21,2.2,4.6,-2.5,-0.87,-1.88,Matches
Francisco Conceição,pt POR,"MF,FW",21-016,8,335.0,42.0,24.8,3.7,3,79.0,0,5,19.0,2,1.88,6.0,2.0,4.0,1.07,0.45,6.6,4.5,2.2,0.59,-0.09,Matches
Ivan Jaime Pajuelo,es ESP,MF,23-095,7,259.0,37.0,19.2,2.9,3,71.0,0,4,12.0,2,2.29,6.0,1.0,5.0,1.74,1.24,6.2,1.5,4.7,1.62,1.2,Matches
João Miguel,pt POR,DF,23-261,3,191.0,64.0,14.1,2.1,2,90.0,2,1,11.0,3,3.0,6.0,1.0,5.0,2.36,1.89,3.8,2.8,1.0,0.49,-0.19,Matches
Romário Baró,pt POR,"MF,FW",23-339,4,122.0,31.0,9.0,1.4,2,44.0,0,2,18.0,3,2.25,2.0,0.0,2.0,1.48,0.82,1.6,1.3,0.3,0.2,-0.5,Matches
Gonçalo Borges,pt POR,"MF,DF",22-276,9,210.0,23.0,15.6,2.3,1,69.0,0,8,18.0,4,2.11,7.0,3.0,4.0,1.71,1.16,8.0,1.9,6.1,2.6,2.31,Matches
Fran Navarro,es ESP,"FW,MF",25-330,6,174.0,29.0,12.9,1.9,1,90.0,1,5,17.0,2,2.17,6.0,1.0,5.0,2.59,2.13,6.8,1.8,5.0,2.59,2.22,Matches
Marko Grujić,rs SRB,MF,27-261,5,120.0,24.0,8.9,1.3,1,55.0,0,4,16.0,6,3.0,2.0,2.0,0.0,0.0,-0.8,2.4,1.9,0.5,0.38,-0.3,Matches
