Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Nícolas Andrade,BRA,GK,Pisa,35-271,1988,19.0,1.11,0.00,0.00,0.16,0.05,1.18,0.32,0.13,+0.13,4.26,11.4,37.3,30.4,2.84,31.5,32.1,5.00,36.8,31.8,14.2,1.37,9.6,0.95,0.95,13.1,https://fbref.com/en/players/326d09ef/Nicolas-Andrade,326d09ef,Serie B
2,Lorenzo Andrenacci,ITA,GK,Brescia,29-006,1995,2.0,2.00,0.00,0.00,0.50,0.00,1.40,0.26,-0.60,-0.59,4.50,12.0,37.5,20.5,3.00,43.9,33.1,6.50,46.2,39.5,12.5,0.50,4.0,0.00,0.00,7.4,https://fbref.com/en/players/fe471a89/Lorenzo-Andrenacci,fe471a89,Serie B
3,Francesco Bardi,ITA,GK,Reggiana,31-355,1992,19.0,1.26,0.11,0.00,0.21,0.00,1.19,0.22,-0.07,-0.07,3.74,11.6,32.3,19.4,4.74,39.1,33.7,8.58,46.6,35.3,17.3,0.68,4.0,0.16,0.16,7.7,https://fbref.com/en/players/0acda699/Francesco-Bardi,0acda699,Serie B
4,Davide Barosi,ITA,GK,Ascoli,23-284,2000,2.3,0.87,0.00,0.00,0.00,0.00,0.83,0.27,-0.04,-0.06,4.35,10.9,40.0,22.2,3.91,29.4,29.4,8.70,50.0,35.8,19.1,1.30,6.8,1.74,1.75,13.3,https://fbref.com/en/players/fea55381/Davide-Barosi,fea55381,Serie B
5,Brenno,BRA,GK,Bari,24-282,1999,18.7,1.02,0.05,0.05,0.16,0.05,0.94,0.24,-0.02,-0.02,2.99,9.57,31.3,15.3,3.37,34.1,34.6,7.59,57.0,42.3,15.1,0.48,3.2,0.53,0.54,13.8,https://fbref.com/en/players/f002e8eb/Brenno,f002e8eb,Serie B
6,Bruno,BRA,GK,Venezia,25-222,1998,9.0,1.11,0.33,0.00,0.22,0.00,0.98,0.22,-0.13,-0.13,4.89,11.7,41.9,27.9,3.89,33.1,33.4,6.89,35.5,31.7,14.2,0.44,3.1,0.67,0.67,13.8,https://fbref.com/en/players/e51336b7/Bruno,e51336b7,Serie B
7,Leandro Chichizola,ARG,GK,Parma,33-287,1990,19.0,0.89,0.05,0.05,0.21,0.00,0.84,0.32,-0.06,-0.06,7.05,20.9,33.7,37.6,4.79,45.7,38.4,5.89,64.3,49.8,16.8,1.42,8.4,1.58,1.58,16.0,https://fbref.com/en/players/8d957256/Leandro-Chichizola,8d957256,Serie B
8,Bartłomiej Drągowski,POL,GK,Spezia,26-142,1997,13.0,1.54,0.15,0.08,0.46,0.08,1.41,0.28,-0.05,-0.05,3.54,9.15,38.7,21.9,3.92,30.5,31.8,6.62,37.2,36.6,12.6,0.38,3.0,0.69,0.69,14.2,https://fbref.com/en/players/085e71a7/Bartlomiej-Dragowski,085e71a7,Serie B
9,Andrea Fulignati,ITA,GK,Catanzaro,29-069,1994,19.0,1.26,0.21,0.00,0.11,0.00,1.47,0.27,0.21,+0.21,4.11,12.3,33.3,45.6,4.89,23.9,28.5,4.37,32.5,30.1,15.2,1.05,6.9,0.63,0.63,11.5,https://fbref.com/en/players/195f5e38/Andrea-Fulignati,195f5e38,Serie B
10,Riccardo Gagno,ITA,GK,Modena,26-166,1997,14.5,1.03,0.07,0.00,0.07,0.00,0.97,0.31,-0.06,-0.06,5.17,13.1,39.5,30.8,3.45,34.2,33.6,5.52,46.3,38.2,14.5,1.03,7.1,1.24,1.24,14.2,https://fbref.com/en/players/92c46fe2/Riccardo-Gagno,92c46fe2,Serie B
11,Antony Iannarilli,ITA,GK,Ternana,33-021,1990,19.0,1.42,0.26,0.05,0.21,0.05,1.35,0.25,-0.02,-0.02,5.32,17.2,30.9,18.5,3.21,59.7,41.2,8.63,71.3,48.1,15.7,0.79,5.0,0.32,0.32,10.4,https://fbref.com/en/players/731193c9/Antony-Iannarilli,731193c9,Serie B
12,Jesse Joronen,FIN,GK,Venezia,30-293,1993,10.0,1.00,0.20,0.00,0.30,0.00,1.18,0.28,0.18,+0.18,2.90,9.20,31.5,23.2,4.20,30.6,31.0,5.70,36.8,31.5,11.2,0.20,1.8,0.80,0.80,16.9,https://fbref.com/en/players/7f66ea09/Jesse-Joronen,7f66ea09,Serie B
13,Andreas Jungdal,DEN,GK,Cremonese,21-320,2002,7.0,0.57,0.00,0.14,0.14,0.00,0.69,0.19,0.11,+0.12,4.00,10.4,38.4,29.4,6.86,28.6,31.3,5.14,38.9,37.4,15.1,1.29,8.5,0.57,0.57,9.8,https://fbref.com/en/players/66c6680a/Andreas-Jungdal,66c6680a,Serie B
