Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Wéverton,br BRA,GK,35.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gustavo Gómez,py PAR,DF,29.0,32,32,2760.0,30.7,2.0,3.0,5.0,2.0,0.0,0.0,10.0,2.0,2.2,2.2,2.8,4.9,13.0,86.0,19.0,0.07,0.1,0.16,0.07,0.16,0.07,0.09,0.16,0.07,0.16,Matches
Zé Rafael,br BRA,MF,29.0,31,31,2565.0,28.5,3.0,3.0,6.0,3.0,0.0,0.0,10.0,0.0,2.1,2.1,1.9,4.0,42.0,142.0,39.0,0.11,0.11,0.21,0.11,0.21,0.07,0.07,0.14,0.07,0.14,Matches
Raphael Veiga,br BRA,MF,27.0,31,30,2453.0,27.3,9.0,7.0,16.0,8.0,1.0,2.0,5.0,0.0,7.2,5.7,7.1,12.8,80.0,186.0,121.0,0.33,0.26,0.59,0.29,0.55,0.26,0.26,0.53,0.21,0.47,Matches
Joaquín Piquerez,uy URU,DF,24.0,29,29,2526.0,28.1,3.0,5.0,8.0,2.0,1.0,1.0,5.0,0.0,2.0,1.3,3.7,4.9,55.0,128.0,163.0,0.11,0.18,0.29,0.07,0.25,0.07,0.13,0.2,0.04,0.18,Matches
Mayke,br BRA,"DF,FW",30.0,33,28,2498.0,27.8,1.0,6.0,7.0,1.0,0.0,0.0,7.0,0.0,0.9,0.9,4.3,5.2,56.0,144.0,170.0,0.04,0.22,0.25,0.04,0.25,0.03,0.16,0.19,0.03,0.19,Matches
Murilo Cerqueira,br BRA,DF,25.0,25,24,2165.0,24.1,3.0,2.0,5.0,3.0,0.0,0.0,6.0,1.0,1.0,1.0,1.7,2.7,14.0,81.0,1.0,0.12,0.08,0.21,0.12,0.21,0.04,0.07,0.11,0.04,0.11,Matches
Artur,br BRA,FW,24.0,31,22,1896.0,21.1,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,5.0,5.0,3.4,8.4,85.0,81.0,218.0,0.24,0.09,0.33,0.24,0.33,0.24,0.16,0.4,0.24,0.4,Matches
Luan Garcia,br BRA,DF,29.0,23,21,1819.0,20.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.9,1.9,0.6,2.5,12.0,80.0,0.0,0.05,0.05,0.1,0.05,0.1,0.1,0.03,0.12,0.1,0.12,Matches
Gabriel Menino,br BRA,MF,22.0,24,21,1593.0,17.7,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,1.7,1.7,1.3,3.0,44.0,137.0,54.0,0.11,0.17,0.28,0.11,0.28,0.09,0.08,0.17,0.09,0.17,Matches
Richard Ríos,co COL,MF,22.0,37,20,1853.0,20.6,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,1.2,1.2,1.0,2.1,41.0,63.0,67.0,0.1,0.05,0.15,0.1,0.15,0.06,0.05,0.1,0.06,0.1,Matches
Rony,br BRA,FW,27.0,30,19,1639.0,18.2,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,6.1,6.1,1.6,7.7,17.0,11.0,99.0,0.27,0.0,0.27,0.27,0.27,0.34,0.09,0.42,0.34,0.42,Matches
Endrick,br BRA,FW,16.0,31,18,1558.0,17.3,11.0,0.0,11.0,11.0,0.0,1.0,4.0,0.0,8.1,7.3,1.8,9.1,58.0,45.0,100.0,0.64,0.0,0.64,0.64,0.64,0.47,0.11,0.57,0.42,0.53,Matches
Marcos Rocha,br BRA,DF,34.0,20,15,1264.0,14.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.9,1.2,20.0,95.0,31.0,0.07,0.07,0.14,0.07,0.14,0.03,0.06,0.09,0.03,0.09,Matches
Breno,br BRA,FW,27.0,31,14,1365.0,15.2,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,6.8,6.8,1.1,7.9,44.0,37.0,110.0,0.33,0.2,0.53,0.33,0.53,0.45,0.08,0.52,0.45,0.52,Matches
Dudu,br BRA,FW,31.0,14,14,1076.0,12.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,2.4,2.4,3.4,5.8,78.0,74.0,127.0,0.25,0.25,0.5,0.25,0.5,0.2,0.28,0.49,0.2,0.49,Matches
Vanderlan,br BRA,DF,20.0,14,9,909.0,10.1,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,1.3,1.6,20.0,21.0,61.0,0.0,0.2,0.2,0.0,0.2,0.03,0.13,0.16,0.03,0.16,Matches
