Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Diego De Buen,mx MEX,"MF,DF",32-180,17.0,5,20,9,45.0,1.18,0.53,0.25,0.56,18.9,2.0,0,0,1.6,1.6,0.08,3.4,3.4,Matches
Jesús Rodríguez,mx MEX,GK,30-223,17.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Gastón Silva,uy URU,DF,29-300,17.0,1,9,4,44.4,0.53,0.24,0.11,0.25,13.0,0.0,0,0,1.4,1.4,0.15,-0.4,-0.4,Matches
Brayan Angulo,co COL,"DF,MF",34-058,16.8,2,16,5,31.3,0.95,0.3,0.13,0.4,18.0,1.0,0,0,1.2,1.2,0.07,0.8,0.8,Matches
Guillermo Martínez Ayala,mx MEX,FW,28-290,15.0,10,44,20,45.5,2.92,1.33,0.18,0.4,13.9,0.0,2,2,5.9,4.4,0.1,4.1,3.6,Matches
Gustavo Ferrareis,br BRA,DF,27-362,14.4,0,12,3,25.0,0.83,0.21,0.0,0.0,28.4,0.0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Pablo González Díaz,mx MEX,MF,31-176,14.3,0,9,1,11.1,0.63,0.07,0.0,0.0,33.0,0.0,0,0,0.1,0.1,0.01,-0.1,-0.1,Matches
Kevin Velasco,co COL,MF,26-244,13.1,2,23,11,47.8,1.75,0.84,0.09,0.18,20.9,0.0,0,0,2.3,2.3,0.1,-0.3,-0.3,Matches
Sebastián Olmedo,py PAR,DF,22-192,14.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Álvarez López,mx MEX,"MF,FW",29-161,9.4,0,16,5,31.3,1.69,0.53,0.0,0.0,21.6,1.0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
Martín Barragán,mx MEX,FW,32-169,9.3,0,34,11,32.4,3.65,1.18,0.0,0.0,16.1,0.0,0,0,3.3,3.3,0.1,-3.3,-3.3,Matches
Carlos Baltazar,mx MEX,MF,26-309,6.1,1,13,3,23.1,2.13,0.49,0.08,0.33,22.9,0.0,0,0,0.6,0.6,0.05,0.4,0.4,Matches
Luis García,mx MEX,"DF,MF",30-280,4.0,0,3,0,0.0,0.76,0.0,0.0,,20.5,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ángel Robles,mx MEX,"FW,MF",22-042,3.2,0,6,2,33.3,1.89,0.63,0.0,0.0,17.3,0.0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches
Miguel Sansores,mx MEX,"FW,MF",32-246,3.5,1,4,2,50.0,1.14,0.57,0.25,0.5,11.5,0.0,0,0,0.3,0.3,0.08,0.7,0.7,Matches
Federico Mancuello,ar ARG,MF,34-279,3.0,1,7,3,42.9,2.33,1.0,0.14,0.33,30.2,1.0,0,0,0.2,0.2,0.03,0.8,0.8,Matches
Alberto Herrera,mx MEX,"DF,MF",22-310,1.5,0,1,0,0.0,0.67,0.0,0.0,,8.3,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Efraín Orona,mx MEX,"DF,MF",24-311,1.2,0,1,0,0.0,0.87,0.0,0.0,,33.3,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Diego Zago,mx MEX,MF,21-250,1.0,0,2,0,0.0,1.98,0.0,0.0,,34.1,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Gabriel Carabajal,ar ARG,"MF,FW",32-021,1.6,0,8,0,0.0,5.11,0.0,0.0,,26.5,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Lucas de los Santos,uy URU,"MF,FW",22-157,1.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Aguilar,mx MEX,"FW,MF",25-327,1.3,0,4,1,25.0,3.19,0.8,0.0,0.0,24.7,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Facundo Waller,uy URU,MF,26-265,0.9,0,1,0,0.0,1.08,0.0,0.0,,9.6,0.0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Fernando Arce Jr.,us USA,"MF,DF",27-033,0.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
S. González,mx MEX,FW,20-173,0.1,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches
Squad Total,,,29.5,17.0,23,233,80,34.3,13.71,4.71,0.09,0.26,19.6,5.0,2,2,19.3,17.8,0.08,3.7,3.2,
Opponent Total,,,28.2,17.0,25,298,92,30.9,17.53,5.41,0.07,0.23,19.1,4.0,4,5,32.9,28.9,0.1,-7.9,-7.9,
