Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Julio José González,mx MEX,GK,32-251,17,17,1530.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nathan Silva,br BRA,DF,26-238,16,16,1407.0,15.6,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.1,1.1,0.2,1.3,19.0,73.0,7.0,0.13,0.06,0.19,0.13,0.19,0.07,0.01,0.08,0.07,0.08,Matches
Eduardo Salvio,ar ARG,"FW,MF",33-170,16,16,1348.0,15.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,3.7,3.7,4.1,7.8,76.0,55.0,117.0,0.07,0.13,0.2,0.07,0.2,0.25,0.27,0.52,0.25,0.52,Matches
César Huerta,mx MEX,"MF,FW",23-027,15,15,1262.0,14.0,8.0,2.0,10.0,5.0,3.0,3.0,6.0,1.0,7.4,5.0,3.0,8.0,78.0,45.0,119.0,0.57,0.14,0.71,0.36,0.5,0.53,0.22,0.74,0.36,0.57,Matches
Lisandro Magallán,ar ARG,DF,30-094,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.0,0.6,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches
Gabriel Fernández,uy URU,FW,29-231,16,14,1145.0,12.7,5.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,3.8,3.8,1.7,5.5,22.0,26.0,89.0,0.39,0.08,0.47,0.39,0.47,0.3,0.14,0.43,0.3,0.43,Matches
Adrián Aldrete,mx MEX,DF,35-199,15,14,1141.0,12.7,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,1.6,1.7,5.0,52.0,12.0,0.0,0.08,0.08,0.0,0.08,0.01,0.12,0.13,0.01,0.13,Matches
Ulises Rivas,mx MEX,MF,27-339,16,14,1131.0,12.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,0.2,1.6,7.0,38.0,17.0,0.16,0.0,0.16,0.16,0.16,0.11,0.02,0.13,0.11,0.13,Matches
José Caicedo,co COL,MF,21-221,10,10,831.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.4,0.6,5.0,55.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches
Gustavo Del Prete,ar ARG,"MF,FW",27-201,15,9,692.0,7.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.1,2.1,1.8,3.9,23.0,35.0,47.0,0.26,0.13,0.39,0.26,0.39,0.27,0.23,0.51,0.27,0.51,Matches
