Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Julio José González,mx MEX,GK,32-251,17.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Nathan Silva,br BRA,DF,26-238,15.6,2,9,4,44.4,0.58,0.26,0.22,0.5,8.8,0.0,0,0,1.1,1.1,0.12,0.9,0.9,Matches
Eduardo Salvio,ar ARG,"FW,MF",33-170,15.0,1,40,15,37.5,2.67,1.0,0.03,0.07,22.3,2.0,0,0,3.7,3.7,0.09,-2.7,-2.7,Matches
César Huerta,mx MEX,"MF,FW",23-027,14.0,8,38,15,39.5,2.71,1.07,0.13,0.33,16.3,0.0,3,3,7.4,5.0,0.14,0.6,0.0,Matches
Lisandro Magallán,ar ARG,DF,30-094,14.0,0,8,2,25.0,0.57,0.14,0.0,0.0,11.6,0.0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Gabriel Fernández,uy URU,FW,29-231,12.7,5,41,13,31.7,3.22,1.02,0.12,0.38,17.2,2.0,0,0,3.8,3.8,0.09,1.2,1.2,Matches
Adrián Aldrete,mx MEX,DF,35-199,12.7,0,5,1,20.0,0.39,0.08,0.0,0.0,27.8,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ulises Rivas,mx MEX,MF,27-339,12.6,2,14,5,35.7,1.11,0.4,0.14,0.4,21.0,0.0,0,0,1.4,1.4,0.1,0.6,0.6,Matches
José Caicedo,co COL,MF,21-221,9.2,0,6,0,0.0,0.65,0.0,0.0,,23.7,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Gustavo Del Prete,ar ARG,"MF,FW",27-201,7.7,2,15,4,26.7,1.95,0.52,0.13,0.5,13.4,0.0,0,0,2.1,2.1,0.14,-0.1,-0.1,Matches
Pablo Bennevendo Peña,mx MEX,DF,23-361,9.0,0,1,0,0.0,0.11,0.0,0.0,,29.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Juan Ignacio Dinenno,ar ARG,"FW,MF",29-124,8.8,6,33,11,33.3,3.74,1.25,0.06,0.18,18.0,1.0,4,4,5.9,2.8,0.08,0.1,-0.8,Matches
Pablo Monroy,mx MEX,DF,21-161,7.3,0,8,1,12.5,1.1,0.14,0.0,0.0,23.4,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Arturo Ortiz,mx MEX,DF,31-127,5.4,0,4,0,0.0,0.74,0.0,0.0,,30.5,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Jesús Molina,mx MEX,MF,35-276,4.1,0,4,1,25.0,0.98,0.24,0.0,0.0,9.5,0.0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
Jesús Rivas,mx MEX,DF,21-062,3.9,0,2,0,0.0,0.52,0.0,0.0,,15.8,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Rodrigo López,mx MEX,MF,22-048,3.6,0,7,1,14.3,1.94,0.28,0.0,0.0,,,0,0,,,,,,Matches
Santiago Trigos,mx MEX,MF,21-342,4.4,0,6,3,50.0,1.38,0.69,0.0,0.0,24.5,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Christian Tabó,uy URU,"MF,FW",30-037,2.8,0,4,2,50.0,1.45,0.73,0.0,0.0,14.7,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Robert Ergas,uy URU,"FW,DF",25-349,3.5,0,6,1,16.7,1.7,0.28,0.0,0.0,17.4,1.0,0,0,0.6,0.6,0.1,-0.6,-0.6,Matches
Carlos Gutiérrez,mx MEX,"MF,FW",24-328,1.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Jorge Ruvalcaba,mx MEX,"MF,FW",22-160,0.7,0,1,0,0.0,1.43,0.0,0.0,,15.4,0.0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Emanuel Montejano Arroyo,mx MEX,FW,22-171,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Marco Hernández,mx MEX,MF,18-273,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
José Galindo,mx MEX,DF,25-351,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.2,17.0,26,252,79,31.3,14.82,4.65,0.08,0.24,18.6,7.0,7,7,28.0,22.5,0.09,-2.0,-3.5,
Opponent Total,,,28.2,17.0,16,204,68,33.3,12.0,4.0,0.07,0.21,20.3,9.0,2,4,17.1,14.0,0.07,-1.1,0.0,
