Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Nahuel Guzmán,ar ARG,GK,37-323,16.0,740,542,724,17,0,0,740,2,1,50.0,1,50.0,425,2163,1290,0,0,0,1,0,421,0,Matches
Javier Aquino,mx MEX,DF,33-322,15.3,1226,38,307,581,350,12,1226,33,18,54.5,8,24.2,677,3060,1669,31,28,4,22,16,839,95,Matches
Jesús Alberto Angulo,mx MEX,DF,25-334,14.6,942,45,284,510,159,11,942,10,2,20.0,7,70.0,432,1825,890,16,9,4,16,4,510,26,Matches
Luis Enrique Quiñones,co COL,"FW,MF",32-187,14.6,880,15,61,320,509,53,880,64,29,45.3,32,50.0,537,2767,1139,35,23,16,38,17,653,184,Matches
Rafael Carioca,br BRA,MF,34-195,14.9,1085,32,225,730,147,1,1085,27,17,63.0,9,33.3,642,2706,1264,12,10,0,11,20,744,17,Matches
Guido Pizarro,ar ARG,DF,33-307,14.6,1112,99,474,580,69,16,1112,5,3,60.0,2,40.0,675,3839,2554,33,16,2,12,4,798,14,Matches
Fernando Gorriarán,uy URU,"MF,FW",29-033,12.9,864,12,86,446,334,36,864,20,7,35.0,12,60.0,463,2053,847,25,13,4,15,16,633,75,Matches
André-Pierre Gignac,fr FRA,FW,38-025,11.2,350,9,12,168,172,61,347,14,7,50.0,7,50.0,220,1116,404,14,9,6,29,9,268,76,Matches
Francisco Sebastián Córdova,mx MEX,"MF,FW",26-201,8.7,406,7,33,199,183,23,406,31,14,45.2,14,45.2,273,1436,544,12,19,1,32,30,314,53,Matches
Samir Santos,br BRA,DF,29-025,11.6,725,69,344,353,28,6,725,6,2,33.3,4,66.7,414,1991,1301,6,5,1,5,2,499,3,Matches
Diego Reyes,mx MEX,DF,31-102,9.5,569,65,294,260,16,5,569,2,1,50.0,1,50.0,336,1751,967,7,3,1,3,2,367,2,Matches
Diego Lainez,mx MEX,FW,23-204,8.0,384,2,48,162,183,19,384,33,12,36.4,17,51.5,257,1936,986,33,24,8,10,13,266,63,Matches
Juan Pablo Vigón,mx MEX,MF,32-163,8.4,491,7,61,311,125,25,491,18,14,77.8,4,22.2,308,1453,651,14,11,5,14,7,367,33,Matches
Nicolás Ibáñez,ar ARG,FW,29-129,7.0,210,4,4,85,121,45,210,16,5,31.3,11,68.8,91,464,172,5,3,5,10,3,131,39,Matches
Raymundo Fulgencio,mx MEX,FW,23-321,5.4,235,2,27,121,89,15,235,15,9,60.0,6,40.0,164,938,347,9,7,5,6,10,183,37,Matches
Ozziel Herrera,mx MEX,"MF,FW",22-221,3.2,169,1,21,73,76,13,169,10,2,20.0,7,70.0,115,548,205,4,6,0,8,5,135,32,Matches
Sebastián Fierro,mx MEX,MF,22-135,1.9,122,2,15,98,9,0,122,0,0,,0,,76,366,134,5,0,0,1,1,92,3,Matches
Marcelo Flores,mx MEX,"FW,MF",20-090,2.0,116,0,13,41,62,10,116,11,5,45.5,6,54.5,77,486,237,8,6,2,9,4,73,19,Matches
Fernando Ordóñez,mx MEX,DF,22-211,1.7,114,6,33,59,22,1,114,0,0,,0,,62,251,91,3,3,0,3,0,73,5,Matches
Jesús Garza,mx MEX,"DF,MF",23-207,1.5,94,4,26,34,34,1,94,1,1,100.0,0,0.0,48,232,84,2,1,0,3,0,49,12,Matches
Carlos Felipe Rodríguez,mx MEX,GK,34-271,1.0,35,29,35,0,0,0,35,0,0,,0,,21,51,36,0,0,0,0,0,21,0,Matches
Vladimir Loroña,mx MEX,DF,25-044,1.1,83,2,20,29,34,4,83,4,3,75.0,1,25.0,43,232,125,2,4,0,2,1,55,10,Matches
Nicolás López,uy URU,FW,30-090,0.8,54,0,3,17,34,3,54,4,0,0.0,4,100.0,32,198,70,1,2,1,1,2,38,13,Matches
Fernando González,mx MEX,"FW,MF",22-248,0.4,34,1,4,15,16,1,34,1,1,100.0,0,0.0,17,82,28,1,1,0,1,0,24,5,Matches
Eugenio Pizzuto,mx MEX,MF,21-231,0.3,30,0,5,18,7,0,30,1,0,0.0,0,0.0,13,95,67,1,0,0,0,0,25,1,Matches
Leonel Prieto,mx MEX,MF,22-138,0.2,14,0,1,9,4,1,14,0,0,,0,,5,25,13,0,0,0,1,1,8,1,Matches
Squad Total,,,31.0,17.0,11084,993,3160,5236,2783,362,11081,328,153,46.6,153,46.6,6423,32064,16115,279,203,65,253,167,7586,818,
Opponent Total,,,27.8,17.0,9317,1044,3164,4302,1968,311,9316,321,159,49.5,142,44.2,4977,27066,13366,227,229,53,290,141,5733,565,
