Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Omar Campos,mx MEX,DF,21-163,16.7,0,7,2,28.6,0.42,0.12,0.0,0.0,20.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Harold Preciado,co COL,FW,29-212,15.7,11,49,20,40.8,3.13,1.28,0.16,0.4,14.7,0,3,3,9.7,7.3,0.15,1.3,0.7,Matches
Alan Cervantes,mx MEX,MF,25-347,15.4,0,17,5,29.4,1.11,0.33,0.0,0.0,24.6,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Emerson Rodríguez,co COL,"FW,MF",23-127,13.6,2,17,7,41.2,1.25,0.52,0.12,0.29,15.7,0,0,0,2.3,2.3,0.14,-0.3,-0.3,Matches
Juan Brunetta,ar ARG,"MF,FW",26-232,15.7,8,57,24,42.1,3.64,1.53,0.14,0.33,21.6,12,0,0,5.1,5.1,0.09,2.9,2.9,Matches
Félix Torres Caicedo,ec ECU,DF,26-353,15.1,5,17,6,35.3,1.12,0.4,0.29,0.83,9.7,0,0,0,2.5,2.5,0.15,2.5,2.5,Matches
Duván Vergara,co COL,"FW,MF",27-112,11.0,1,24,6,25.0,2.18,0.54,0.04,0.17,22.1,0,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches
Pedro Aquino,pe PER,MF,28-261,9.8,1,4,1,25.0,0.41,0.1,0.25,1.0,7.7,0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
Gibran Lajud,mx MEX,GK,30-005,9.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Dória,br BRA,DF,29-052,9.0,0,15,4,26.7,1.67,0.44,0.0,0.0,19.7,2,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Ismael Govea,mx MEX,DF,26-313,7.8,0,3,0,0.0,0.38,0.0,0.0,,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Aldo López,mx MEX,MF,23-221,9.3,0,5,1,20.0,0.54,0.11,0.0,0.0,26.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Raúl López Gómez,mx MEX,DF,30-310,9.1,0,4,2,50.0,0.44,0.22,0.0,0.0,27.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Carlos Acevedo,mx MEX,GK,27-255,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Hugo Isaác Rodríguez,mx MEX,DF,33-205,5.2,0,4,1,25.0,0.78,0.19,0.0,0.0,11.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Ronaldo Prieto,mx MEX,DF,26-302,4.9,0,4,0,0.0,0.82,0.0,0.0,,9.2,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
Diego Medina,mx MEX,"FW,MF",22-293,5.9,1,6,2,33.3,1.02,0.34,0.17,0.5,16.2,0,0,0,0.4,0.4,0.07,0.6,0.6,Matches
Héctor Holguín,mx MEX,GK,22-250,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Javier Marcelo Correa,ar ARG,"FW,DF",31-068,1.8,1,19,8,42.1,10.75,4.53,0.05,0.13,18.4,1,0,0,2.4,2.4,0.13,-1.4,-1.4,Matches
Santiago Muñóz,mx MEX,"MF,FW",21-138,1.4,0,2,0,0.0,1.44,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Jair González,mx MEX,"FW,MF",21-301,1.0,0,2,1,50.0,1.96,0.98,0.0,0.0,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Salvador Mariscal,mx MEX,MF,20-252,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Emmanuel Echeverría,mx MEX,DF,20-087,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alberto Ocejo,mx MEX,"FW,DF",25-197,0.2,0,1,0,0.0,6.43,0.0,0.0,,19.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Squad Total,,,26.7,17.0,30,257,90,35.0,15.12,5.29,0.11,0.3,18.5,15,3,3,27.0,24.8,0.1,3.0,2.2,
Opponent Total,,,27.9,17.0,34,265,93,35.1,15.59,5.47,0.12,0.33,19.7,17,3,4,26.6,23.6,0.09,7.4,7.4,
