Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Omar Campos,mx MEX,DF,21-163,16.7,870,40,308,399,173,23,870,31,14,45.2,14,45.2,385,2281,1041,33,20,13,16,13,413,44,Matches
Harold Preciado,co COL,FW,29-212,15.7,523,21,31,219,280,91,520,44,11,25.0,27,61.4,299,1415,715,24,28,12,48,22,403,95,Matches
Alan Cervantes,mx MEX,MF,25-347,15.4,741,36,128,470,150,14,741,24,14,58.3,7,29.2,386,1904,933,19,16,1,24,7,457,29,Matches
Emerson Rodríguez,co COL,"FW,MF",23-127,13.6,490,11,80,172,253,57,490,53,20,37.7,32,60.4,309,2262,1198,48,24,26,48,32,329,109,Matches
Juan Brunetta,ar ARG,"MF,FW",26-232,15.7,919,2,65,425,459,55,919,84,48,57.1,28,33.3,507,3831,1910,66,50,19,47,32,594,98,Matches
Félix Torres Caicedo,ec ECU,DF,26-353,15.1,789,131,388,378,26,21,789,5,4,80.0,1,20.0,373,2102,1416,7,5,0,4,2,380,2,Matches
Duván Vergara,co COL,"FW,MF",27-112,11.0,478,2,61,215,216,26,478,53,23,43.4,26,49.1,299,2182,1080,33,23,10,25,15,327,82,Matches
Pedro Aquino,pe PER,MF,28-261,9.8,689,38,150,502,49,6,689,13,8,61.5,4,30.8,361,1643,667,10,7,0,16,7,395,10,Matches
Gibran Lajud,mx MEX,GK,30-005,9.0,257,233,257,0,0,0,257,0,0,,0,,104,627,390,0,0,0,0,0,62,0,Matches
Dória,br BRA,DF,29-052,9.0,460,58,242,202,22,12,460,1,1,100.0,0,0.0,221,1191,591,0,4,0,3,0,252,1,Matches
Ismael Govea,mx MEX,DF,26-313,7.8,407,39,128,187,93,7,407,2,0,0.0,2,100.0,148,666,292,6,6,1,3,7,161,19,Matches
Aldo López,mx MEX,MF,23-221,9.3,388,24,83,255,52,1,388,3,3,100.0,0,0.0,183,775,300,2,4,0,10,10,217,9,Matches
Raúl López Gómez,mx MEX,DF,30-310,9.1,458,39,138,212,114,5,458,17,9,52.9,8,47.1,207,1021,481,11,8,0,7,3,244,26,Matches
Carlos Acevedo,mx MEX,GK,27-255,6.0,166,151,165,1,0,0,166,0,0,,0,,73,361,250,0,0,0,0,0,45,0,Matches
Hugo Isaác Rodríguez,mx MEX,DF,33-205,5.2,232,34,123,105,6,6,232,1,1,100.0,0,0.0,122,397,192,0,1,1,1,2,136,0,Matches
Ronaldo Prieto,mx MEX,DF,26-302,4.9,298,46,151,129,21,5,298,2,1,50.0,1,50.0,145,645,323,0,2,0,4,2,152,2,Matches
Diego Medina,mx MEX,"FW,MF",22-293,5.9,251,3,34,78,146,28,251,20,9,45.0,11,55.0,176,1114,569,24,12,14,22,15,184,65,Matches
Héctor Holguín,mx MEX,GK,22-250,2.0,62,50,62,0,0,0,62,0,0,,0,,27,140,75,0,0,0,1,0,19,0,Matches
Javier Marcelo Correa,ar ARG,"FW,DF",31-068,1.8,108,2,7,50,56,17,108,13,6,46.2,7,53.8,60,413,224,7,6,3,11,1,77,20,Matches
Santiago Muñóz,mx MEX,"MF,FW",21-138,1.4,95,1,5,43,48,7,95,6,3,50.0,3,50.0,63,340,118,3,2,1,6,8,73,14,Matches
Jair González,mx MEX,"FW,MF",21-301,1.0,48,2,12,18,18,3,48,4,1,25.0,3,75.0,31,269,192,8,3,2,3,1,30,4,Matches
Salvador Mariscal,mx MEX,MF,20-252,0.3,17,3,6,10,1,0,17,0,0,,0,,8,41,10,0,0,0,0,0,11,0,Matches
Emmanuel Echeverría,mx MEX,DF,20-087,0.2,10,1,3,7,0,0,10,0,0,,0,,7,47,34,0,0,0,0,0,7,0,Matches
Alberto Ocejo,mx MEX,"FW,DF",25-197,0.2,5,0,0,1,4,0,5,0,0,,0,,2,7,0,0,0,0,0,0,3,2,Matches
Squad Total,,,26.7,17.0,8761,967,2627,4078,2187,384,8758,376,176,46.8,174,46.3,4496,25674,13001,301,221,103,299,179,4971,631,
Opponent Total,,,27.9,17.0,10605,1014,3178,4970,2562,375,10601,285,135,47.4,123,43.2,5716,30800,15173,301,235,67,262,159,6797,738,
