Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Marllon Borges,br BRA,DF,30.0,36.0,1464,1385,78,76,0,9,1,2,0,0,0,0,1265,1,18,Matches
Walter,br BRA,GK,35.0,35.0,934,576,355,91,0,1,0,0,0,0,0,0,699,3,0,Matches
Deyverson,br BRA,FW,31.0,32.3,671,612,54,2,1,10,16,7,0,0,0,0,380,5,12,Matches
Raniele,br BRA,"MF,DF",26.0,32.1,1102,1047,47,36,4,10,15,10,0,0,0,0,827,8,22,Matches
Matheus Alexandre,br BRA,DF,23.0,33.1,1543,1214,327,26,0,3,72,301,0,0,0,0,1213,2,45,Matches
Alan Empereur,br BRA,DF,28.0,32.8,1670,1528,137,127,3,45,13,10,0,0,0,0,1426,5,4,Matches
Rikelme,br BRA,DF,19.0,26.0,1068,847,215,16,1,4,84,198,1,0,1,0,760,6,27,Matches
Denilson,br BRA,MF,21.0,21.2,1087,1008,73,34,4,7,80,6,30,10,13,1,888,6,21,Matches
Jonathan Cafu,br BRA,"FW,MF",31.0,19.0,557,545,8,2,1,1,49,3,1,0,0,0,399,4,26,Matches
Clayson,br BRA,"FW,MF",27.0,18.2,632,543,78,22,2,4,102,7,48,13,18,5,433,11,36,Matches
Fernando Sobral,br BRA,MF,28.0,21.1,925,861,59,34,3,8,48,13,2,0,1,0,702,5,26,Matches
Allyson Aires dos Santos,br BRA,DF,32.0,12.6,503,478,25,21,0,1,1,4,0,0,0,0,452,0,2,Matches
Wellington Silva,br BRA,FW,30.0,14.8,409,397,6,1,4,2,30,5,0,0,0,0,317,6,11,Matches
Pablo Ceppelini,uy URU,MF,31.0,11.1,615,477,134,57,0,2,120,11,62,22,32,0,454,4,7,Matches
Filipe Augusto,br BRA,MF,29.0,11.8,799,747,50,27,1,10,35,0,23,9,9,0,696,2,5,Matches
Isidro Pitta,py PAR,FW,23.0,9.1,237,223,11,0,1,0,18,2,1,0,0,0,156,3,9,Matches
Lucas Mineiro,br BRA,MF,26.0,6.8,225,211,13,10,0,1,5,2,0,0,0,0,185,1,6,Matches
Derik Lacerda,br BRA,"FW,MF",23.0,7.3,164,160,4,2,1,1,8,2,0,0,0,0,129,0,6,Matches
Patric Calmon,br BRA,DF,28.0,5.8,288,232,55,1,0,3,29,53,1,0,0,0,209,1,5,Matches
Emerson Negueba,br BRA,FW,22.0,5.4,143,142,1,0,0,0,9,0,1,0,0,0,107,0,7,Matches
Matheusinho,br BRA,DF,24.0,4.8,232,196,36,7,0,0,23,29,0,0,0,0,170,0,5,Matches
Ronald,br BRA,MF,25.0,6.5,353,325,26,12,0,0,24,4,9,7,2,0,284,2,6,Matches
Iury de Castilho,br BRA,FW,27.0,4.4,85,80,4,0,0,1,10,3,1,0,0,0,56,1,6,Matches
Uendel,br BRA,DF,34.0,4.0,146,115,30,6,0,0,17,23,1,0,1,0,109,1,2,Matches
João Carlos,br BRA,GK,34.0,3.0,66,37,29,4,0,0,0,0,0,0,0,0,51,0,0,Matches
Nicolás Quagliata,uy URU,"FW,MF",23.0,2.6,147,139,8,0,0,1,18,1,6,2,3,0,111,0,6,Matches
Pablinho,br BRA,FW,19.0,0.4,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Rafael Gava,br BRA,MF,29.0,0.2,6,4,2,1,0,0,1,0,1,0,1,0,5,0,0,Matches
Vitão,br BRA,DF,22.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ricardo,br BRA,MF,20.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Squad Total,,,28.1,38.0,16082,14140,1865,615,26,124,828,696,188,63,81,6,12493,77,320,
Opponent Total,,,27.6,38.0,20644,18669,1911,526,41,199,754,822,189,74,67,1,17040,64,362,
