Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Team,Championship,Player_Team
Luis Ángel Malagón,MEX,GK,26,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Luis Ángel Malagón (América)
Kevin Álvarez,MEX,DF,24,13.2,37.0,2.81,29.0,0.0,2.0,4.0,2.0,0.0,5.0,0.38,4.0,0.0,0.0,0.0,1.0,0.0,América,Brasileiro,Kevin Álvarez (América)
Álvaro Fidalgo,ESP,MF,26,13.0,36.0,2.77,34.0,1.0,0.0,0.0,1.0,0.0,5.0,0.38,5.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Álvaro Fidalgo (América)
Jonathan dos Santos,MEX,MF,33,12.8,15.0,1.17,14.0,0.0,1.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Jonathan dos Santos (América)
Julián Quiñones,COL,"FW,MF",26,11.8,43.0,3.63,34.0,1.0,1.0,6.0,1.0,0.0,8.0,0.68,5.0,0.0,0.0,3.0,0.0,0.0,América,Brasileiro,Julián Quiñones (América)
Luis Fernando Fuentes,MEX,DF,37,11.1,11.0,0.99,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Luis Fernando Fuentes (América)
Brian Rodríguez,URU,FW,23,10.0,44.0,4.41,30.0,1.0,8.0,4.0,0.0,1.0,8.0,0.8,4.0,0.0,2.0,2.0,0.0,0.0,América,Brasileiro,Brian Rodríguez (América)
Diego Valdés,CHI,"MF,FW",29,8.8,42.0,4.77,33.0,0.0,5.0,2.0,2.0,0.0,6.0,0.68,4.0,0.0,1.0,0.0,1.0,0.0,América,Brasileiro,Diego Valdés (América)
Alejandro Zendejas,USA,"FW,MF",25,9.5,30.0,3.17,22.0,3.0,1.0,2.0,2.0,0.0,7.0,0.74,7.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Alejandro Zendejas (América)
Igor Lichnovsky,CHI,DF,29,8.8,6.0,0.68,5.0,0.0,1.0,0.0,0.0,0.0,2.0,0.23,1.0,0.0,1.0,0.0,0.0,0.0,América,Brasileiro,Igor Lichnovsky (América)
Richard Sánchez,PAR,MF,27,9.2,45.0,4.9,37.0,5.0,1.0,0.0,2.0,0.0,6.0,0.65,4.0,1.0,0.0,0.0,1.0,0.0,América,Brasileiro,Richard Sánchez (América)
Ramón Juárez,MEX,DF,22,8.2,3.0,0.36,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Ramón Juárez (América)
Sebastián Cáceres,URU,DF,24,7.9,4.0,0.51,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.13,0.0,1.0,0.0,0.0,0.0,0.0,América,Brasileiro,Sebastián Cáceres (América)
Leonardo Suárez,ARG,"FW,MF",27,7.2,41.0,5.73,26.0,8.0,1.0,2.0,4.0,0.0,6.0,0.84,4.0,1.0,0.0,1.0,0.0,0.0,América,Brasileiro,Leonardo Suárez (América)
Henry Martín,MEX,FW,31,7.0,27.0,3.86,23.0,0.0,2.0,1.0,1.0,0.0,6.0,0.86,4.0,0.0,1.0,1.0,0.0,0.0,América,Brasileiro,Henry Martín (América)
Jonathan Rodríguez,URU,"FW,MF",30,6.7,19.0,2.85,14.0,0.0,3.0,1.0,1.0,0.0,2.0,0.3,1.0,0.0,0.0,1.0,0.0,0.0,América,Brasileiro,Jonathan Rodríguez (América)
Miguel Layún,MEX,"DF,FW",35,5.8,9.0,1.55,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Miguel Layún (América)
Salvador Reyes Chávez,MEX,DF,25,5.9,3.0,0.51,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Salvador Reyes Chávez (América)
Israel Reyes,MEX,DF,23,5.0,2.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Israel Reyes (América)
Oscar Jiménez,MEX,GK,35,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Oscar Jiménez (América)
Emilio Lara,MEX,DF,21,2.5,3.0,1.18,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.39,1.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Emilio Lara (América)
Néstor Araujo,MEX,DF,32,2.0,3.0,1.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Néstor Araujo (América)
Santiago Naveda,MEX,MF,22,1.5,1.0,0.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Santiago Naveda (América)
Román Martínez,MEX,FW,21,0.7,3.0,4.09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Román Martínez (América)
Patricio Salas,MEX,"FW,MF",19,0.3,2.0,5.81,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Patricio Salas (América)
Juan Cantú,MEX,FW,19,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Juan Cantú (América)
Mauro Laínez,MEX,FW,27,0.3,1.0,3.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Mauro Laínez (América)
Bruce El-Mesmari,MEX,"FW,DF",21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Bruce El-Mesmari (América)
Sergio De los Ríos,MEX,FW,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Sergio De los Ríos (América)
Sebastián Martínez,MEX,MF,20,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América,Brasileiro,Sebastián Martínez (América)
José Abella,MEX,DF,29,17.0,36.0,2.12,26.0,9.0,0.0,0.0,0.0,1.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,José Abella (Atlas)
Hugo Nervo,ARG,DF,32,17.0,12.0,0.71,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Hugo Nervo (Atlas)
Camilo Vargas,COL,GK,34,17.0,6.0,0.35,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Camilo Vargas (Atlas)
Luis Ricardo Reyes,MEX,DF,32,15.8,49.0,3.14,29.0,16.0,1.0,0.0,1.0,2.0,5.0,0.32,3.0,1.0,0.0,0.0,0.0,1.0,Atlas,Brasileiro,Luis Ricardo Reyes (Atlas)
Jordy Caicedo,ECU,FW,26,12.8,27.0,2.11,15.0,0.0,2.0,7.0,3.0,0.0,2.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0,Atlas,Brasileiro,Jordy Caicedo (Atlas)
Aldo Rocha,MEX,MF,31,12.2,18.0,1.48,15.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Aldo Rocha (Atlas)
Juan Zapata,COL,MF,23,11.2,29.0,2.58,20.0,4.0,1.0,3.0,1.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Juan Zapata (Atlas)
Augusto Solari,ARG,"FW,MF",31,7.9,7.0,0.89,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Augusto Solari (Atlas)
Ángel Márquez,MEX,MF,23,8.4,19.0,2.25,13.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Ángel Márquez (Atlas)
Anderson Santamaría,PER,DF,31,8.0,4.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Anderson Santamaría (Atlas)
Edgar Zaldívar,MEX,MF,27,5.6,8.0,1.44,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Atlas,Brasileiro,Edgar Zaldívar (Atlas)
