Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Team,Championship,Player_Team
Luis Ángel Malagón,MEX,GK,26,14,14,1215,13.5,11,0.81,36,25,69.4,10,4,0,6,42.9,0,0,0,0,0.0,América,Brasileiro,Luis Ángel Malagón (América)
Oscar Jiménez,MEX,GK,35,4,3,315,3.5,3,0.86,16,13,81.3,2,0,1,2,66.7,0,0,0,0,0.0,América,Brasileiro,Oscar Jiménez (América)
Camilo Vargas,COL,GK,34,17,17,1530,17.0,24,1.41,73,49,72.6,4,5,8,5,29.4,4,4,0,0,0.0,Atlas,Brasileiro,Camilo Vargas (Atlas)
Andrés Sánchez,MEX,GK,26,9,9,810,9.0,16,1.78,31,15,48.4,2,2,5,1,11.1,0,0,0,0,0.0,Atlético,Brasileiro,Andrés Sánchez (Atlético)
Diego Urtiaga,MEX,GK,25,8,8,720,8.0,10,1.25,41,31,78.0,5,0,3,3,37.5,1,1,0,0,0.0,Atlético,Brasileiro,Diego Urtiaga (Atlético)
Andrés Gudiño,MEX,GK,26,14,13,1219,13.5,22,1.62,69,48,73.9,4,2,7,2,15.4,4,4,0,0,0.0,Cruz Azul,Brasileiro,Andrés Gudiño (Cruz Azul)
Sebastián Jurado,MEX,GK,26,4,4,308,3.4,7,2.05,12,5,50.0,1,0,3,0,0.0,1,1,0,0,0.0,Cruz Azul,Brasileiro,Sebastián Jurado (Cruz Azul)
Alfredo Talavera,MEX,GK,41,17,17,1469,16.3,33,2.02,86,53,65.1,5,3,9,0,0.0,3,3,0,0,0.0,FC Juárez,Brasileiro,Alfredo Talavera (FC Juárez)
Ramón Pasquel,MEX,GK,27,1,0,60,0.7,1,1.5,2,1,100.0,0,0,0,0,0.0,1,1,0,0,0.0,FC Juárez,Brasileiro,Ramón Pasquel (FC Juárez)
Miguel Jiménez Ponce,MEX,GK,33,16,15,1425,15.8,21,1.33,68,46,75.0,7,2,6,5,33.3,5,4,1,0,20.0,Guadalajara,Brasileiro,Miguel Jiménez Ponce (Guadalajara)
