Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Team,Championship,Player_Team
Luis Ángel Malagón,MEX,GK,26,13.5,398.0,262.0,136.0,29.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,América,Brasileiro,Luis Ángel Malagón (América)
Kevin Álvarez,MEX,DF,24,13.2,709.0,598.0,107.0,4.0,1.0,9.0,42,103.0,0.0,0.0,0.0,0.0,563.0,4.0,17.0,América,Brasileiro,Kevin Álvarez (América)
Álvaro Fidalgo,ESP,MF,26,13.0,1184.0,1138.0,41.0,38.0,5.0,11.0,9,2.0,0.0,0.0,0.0,0.0,1083.0,5.0,7.0,América,Brasileiro,Álvaro Fidalgo (América)
Jonathan dos Santos,MEX,MF,33,12.8,1061.0,1042.0,19.0,16.0,0.0,14.0,1,2.0,0.0,0.0,0.0,0.0,1002.0,0.0,5.0,América,Brasileiro,Jonathan dos Santos (América)
Julián Quiñones,COL,"FW,MF",26,11.8,325.0,304.0,19.0,1.0,4.0,6.0,7,5.0,0.0,0.0,0.0,0.0,243.0,2.0,13.0,América,Brasileiro,Julián Quiñones (América)
Luis Fernando Fuentes,MEX,DF,37,11.1,672.0,579.0,92.0,10.0,0.0,2.0,17,82.0,0.0,0.0,0.0,0.0,579.0,1.0,6.0,América,Brasileiro,Luis Fernando Fuentes (América)
Brian Rodríguez,URU,FW,23,10.0,384.0,359.0,21.0,3.0,0.0,7.0,37,3.0,15.0,8.0,0.0,0.0,292.0,4.0,9.0,América,Brasileiro,Brian Rodríguez (América)
Diego Valdés,CHI,"MF,FW",29,8.8,397.0,372.0,23.0,13.0,9.0,5.0,13,1.0,3.0,2.0,1.0,0.0,328.0,2.0,10.0,América,Brasileiro,Diego Valdés (América)
Alejandro Zendejas,USA,"FW,MF",25,9.5,447.0,419.0,26.0,7.0,1.0,3.0,22,5.0,14.0,9.0,0.0,0.0,360.0,2.0,8.0,América,Brasileiro,Alejandro Zendejas (América)
Igor Lichnovsky,CHI,DF,29,8.8,443.0,430.0,13.0,9.0,0.0,1.0,0,4.0,0.0,0.0,0.0,0.0,405.0,0.0,1.0,América,Brasileiro,Igor Lichnovsky (América)
Richard Sánchez,PAR,MF,27,9.2,741.0,700.0,39.0,20.0,1.0,0.0,31,2.0,17.0,10.0,4.0,0.0,667.0,2.0,4.0,América,Brasileiro,Richard Sánchez (América)
Ramón Juárez,MEX,DF,22,8.2,332.0,327.0,5.0,4.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,289.0,0.0,3.0,América,Brasileiro,Ramón Juárez (América)
Sebastián Cáceres,URU,DF,24,7.9,438.0,425.0,13.0,10.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,375.0,0.0,4.0,América,Brasileiro,Sebastián Cáceres (América)
Leonardo Suárez,ARG,"FW,MF",27,7.2,428.0,392.0,34.0,5.0,4.0,4.0,34,7.0,22.0,9.0,5.0,0.0,352.0,2.0,6.0,América,Brasileiro,Leonardo Suárez (América)
Henry Martín,MEX,FW,31,7.0,179.0,169.0,8.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,131.0,2.0,9.0,América,Brasileiro,Henry Martín (América)
Jonathan Rodríguez,URU,"FW,MF",30,6.7,152.0,149.0,3.0,0.0,0.0,0.0,2,3.0,0.0,0.0,0.0,0.0,120.0,0.0,4.0,América,Brasileiro,Jonathan Rodríguez (América)
Miguel Layún,MEX,"DF,FW",35,5.8,351.0,301.0,50.0,5.0,1.0,10.0,22,32.0,13.0,8.0,0.0,0.0,299.0,0.0,7.0,América,Brasileiro,Miguel Layún (América)
Salvador Reyes Chávez,MEX,DF,25,5.9,318.0,256.0,62.0,5.0,0.0,1.0,13,57.0,0.0,0.0,0.0,0.0,263.0,0.0,7.0,América,Brasileiro,Salvador Reyes Chávez (América)
Israel Reyes,MEX,DF,23,5.0,341.0,334.0,7.0,6.0,0.0,2.0,0,1.0,0.0,0.0,0.0,0.0,313.0,0.0,2.0,América,Brasileiro,Israel Reyes (América)
Oscar Jiménez,MEX,GK,35,3.5,86.0,61.0,25.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,América,Brasileiro,Oscar Jiménez (América)
Emilio Lara,MEX,DF,21,2.5,140.0,135.0,5.0,1.0,0.0,1.0,2,4.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,América,Brasileiro,Emilio Lara (América)
Néstor Araujo,MEX,DF,32,2.0,129.0,125.0,4.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,1.0,América,Brasileiro,Néstor Araujo (América)
Santiago Naveda,MEX,MF,22,1.5,67.0,66.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,55.0,0.0,1.0,América,Brasileiro,Santiago Naveda (América)
Román Martínez,MEX,FW,21,0.7,16.0,15.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,América,Brasileiro,Román Martínez (América)
Patricio Salas,MEX,"FW,MF",19,0.3,9.0,9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,América,Brasileiro,Patricio Salas (América)
Juan Cantú,MEX,FW,19,0.3,5.0,3.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,América,Brasileiro,Juan Cantú (América)
Mauro Laínez,MEX,FW,27,0.3,15.0,14.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,América,Brasileiro,Mauro Laínez (América)
Bruce El-Mesmari,MEX,"FW,DF",21,0.2,15.0,14.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,América,Brasileiro,Bruce El-Mesmari (América)
Sergio De los Ríos,MEX,FW,20,0.2,6.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,América,Brasileiro,Sergio De los Ríos (América)
