Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Team,Championship,Player_Team
Luis Ángel Malagón,MEX,GK,26,13.5,2,0,0,0,4,0,0,0,0,0.0,0.0,0,16.0,3.0,0.0,100.0,América,Brasileiro,Luis Ángel Malagón (América)
Kevin Álvarez,MEX,DF,24,13.2,5,1,1,24,10,1,42,10,14,0.0,0.0,0,54.0,12.0,10.0,54.5,América,Brasileiro,Kevin Álvarez (América)
Álvaro Fidalgo,ESP,MF,26,13.0,1,0,0,2,24,0,9,10,12,0.0,0.0,0,95.0,2.0,3.0,40.0,América,Brasileiro,Álvaro Fidalgo (América)
Jonathan dos Santos,MEX,MF,33,12.8,3,0,0,13,5,0,1,27,24,0.0,0.0,0,98.0,9.0,9.0,50.0,América,Brasileiro,Jonathan dos Santos (América)
Julián Quiñones,COL,"FW,MF",26,11.8,3,0,0,13,19,7,7,4,5,0.0,0.0,0,43.0,10.0,23.0,30.3,América,Brasileiro,Julián Quiñones (América)
Luis Fernando Fuentes,MEX,DF,37,11.1,1,0,0,15,14,1,17,5,12,0.0,0.0,0,55.0,15.0,11.0,57.7,América,Brasileiro,Luis Fernando Fuentes (América)
Brian Rodríguez,URU,FW,23,10.0,0,0,0,8,14,1,37,2,4,0.0,0.0,0,44.0,1.0,3.0,25.0,América,Brasileiro,Brian Rodríguez (América)
Diego Valdés,CHI,"MF,FW",29,8.8,0,0,0,10,18,2,13,8,1,1.0,0.0,0,28.0,9.0,16.0,36.0,América,Brasileiro,Diego Valdés (América)
Alejandro Zendejas,USA,"FW,MF",25,9.5,2,0,0,13,18,2,22,12,20,0.0,0.0,0,48.0,3.0,12.0,20.0,América,Brasileiro,Alejandro Zendejas (América)
Igor Lichnovsky,CHI,DF,29,8.8,5,0,0,8,3,0,0,17,6,0.0,0.0,0,37.0,29.0,13.0,69.0,América,Brasileiro,Igor Lichnovsky (América)
Richard Sánchez,PAR,MF,27,9.2,3,0,0,9,5,1,31,5,7,0.0,0.0,0,60.0,1.0,6.0,14.3,América,Brasileiro,Richard Sánchez (América)
Ramón Juárez,MEX,DF,22,8.2,1,0,0,11,0,0,0,10,6,0.0,0.0,0,31.0,29.0,20.0,59.2,América,Brasileiro,Ramón Juárez (América)
Sebastián Cáceres,URU,DF,24,7.9,3,0,0,7,4,0,0,8,5,0.0,0.0,0,37.0,18.0,9.0,66.7,América,Brasileiro,Sebastián Cáceres (América)
Leonardo Suárez,ARG,"FW,MF",27,7.2,3,0,0,3,11,1,34,5,9,0.0,0.0,0,33.0,1.0,2.0,33.3,América,Brasileiro,Leonardo Suárez (América)
