Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Team,Championship,Player_Team
Luis Ángel Malagón,MEX,GK,26,13.5,411.0,387.0,411.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,208.0,1043.0,502.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,América,Brasileiro,Luis Ángel Malagón (América)
Kevin Álvarez,MEX,DF,24,13.2,844.0,23.0,200.0,361.0,293.0,32.0,844.0,30.0,15.0,50.0,13.0,43.3,488.0,2533.0,1509.0,35.0,28.0,5.0,15.0,13.0,559.0,89.0,América,Brasileiro,Kevin Álvarez (América)
Álvaro Fidalgo,ESP,MF,26,13.0,1295.0,45.0,224.0,885.0,206.0,15.0,1295.0,27.0,16.0,59.3,8.0,29.6,881.0,5038.0,2745.0,41.0,41.0,5.0,25.0,18.0,1082.0,32.0,América,Brasileiro,Álvaro Fidalgo (América)
Jonathan dos Santos,MEX,MF,33,12.8,1178.0,34.0,280.0,796.0,108.0,1.0,1178.0,14.0,9.0,64.3,5.0,35.7,656.0,2589.0,1238.0,13.0,12.0,1.0,7.0,4.0,911.0,10.0,América,Brasileiro,Jonathan dos Santos (América)
Julián Quiñones,COL,"FW,MF",26,11.8,469.0,12.0,31.0,195.0,251.0,79.0,467.0,27.0,8.0,29.6,17.0,63.0,293.0,1513.0,550.0,16.0,15.0,6.0,38.0,30.0,365.0,84.0,América,Brasileiro,Julián Quiñones (América)
Luis Fernando Fuentes,MEX,DF,37,11.1,760.0,33.0,253.0,369.0,139.0,4.0,760.0,8.0,2.0,25.0,6.0,75.0,375.0,1653.0,732.0,10.0,15.0,1.0,6.0,5.0,506.0,37.0,América,Brasileiro,Luis Fernando Fuentes (América)
Brian Rodríguez,URU,FW,23,10.0,506.0,2.0,42.0,188.0,290.0,55.0,506.0,76.0,37.0,48.7,37.0,48.7,356.0,2954.0,1699.0,67.0,36.0,31.0,20.0,11.0,392.0,126.0,América,Brasileiro,Brian Rodríguez (América)
Diego Valdés,CHI,"MF,FW",29,8.8,501.0,6.0,23.0,265.0,217.0,40.0,501.0,26.0,12.0,46.2,13.0,50.0,352.0,1781.0,862.0,25.0,31.0,7.0,23.0,12.0,418.0,69.0,América,Brasileiro,Diego Valdés (América)
Alejandro Zendejas,USA,"FW,MF",25,9.5,579.0,7.0,70.0,287.0,229.0,31.0,579.0,27.0,11.0,40.7,13.0,48.1,398.0,1979.0,789.0,16.0,14.0,4.0,18.0,11.0,445.0,76.0,América,Brasileiro,Alejandro Zendejas (América)
Igor Lichnovsky,CHI,DF,29,8.8,539.0,69.0,272.0,252.0,16.0,10.0,539.0,1.0,1.0,100.0,0.0,0.0,304.0,1454.0,864.0,5.0,2.0,1.0,3.0,0.0,355.0,0.0,América,Brasileiro,Igor Lichnovsky (América)
Richard Sánchez,PAR,MF,27,9.2,807.0,18.0,144.0,512.0,159.0,5.0,807.0,15.0,12.0,80.0,2.0,13.3,521.0,2516.0,1212.0,15.0,21.0,1.0,6.0,8.0,627.0,15.0,América,Brasileiro,Richard Sánchez (América)
Ramón Juárez,MEX,DF,22,8.2,410.0,63.0,257.0,147.0,6.0,4.0,410.0,0.0,0.0,0.0,0.0,0.0,203.0,682.0,240.0,0.0,0.0,0.0,2.0,1.0,260.0,0.0,América,Brasileiro,Ramón Juárez (América)
Sebastián Cáceres,URU,DF,24,7.9,507.0,43.0,306.0,194.0,13.0,4.0,507.0,6.0,3.0,50.0,2.0,33.3,308.0,1257.0,540.0,0.0,2.0,0.0,0.0,2.0,356.0,2.0,América,Brasileiro,Sebastián Cáceres (América)
Leonardo Suárez,ARG,"FW,MF",27,7.2,499.0,3.0,42.0,255.0,208.0,20.0,499.0,15.0,4.0,26.7,7.0,46.7,312.0,1527.0,726.0,18.0,15.0,6.0,8.0,8.0,381.0,57.0,América,Brasileiro,Leonardo Suárez (América)
Henry Martín,MEX,FW,31,7.0,251.0,4.0,10.0,119.0,127.0,40.0,251.0,9.0,3.0,33.3,5.0,55.6,137.0,561.0,268.0,10.0,13.0,3.0,22.0,5.0,180.0,52.0,América,Brasileiro,Henry Martín (América)
Jonathan Rodríguez,URU,"FW,MF",30,6.7,223.0,6.0,21.0,94.0,113.0,32.0,222.0,15.0,8.0,53.3,6.0,40.0,116.0,830.0,529.0,17.0,8.0,8.0,15.0,6.0,156.0,40.0,América,Brasileiro,Jonathan Rodríguez (América)
Miguel Layún,MEX,"DF,FW",35,5.8,399.0,8.0,83.0,235.0,84.0,3.0,399.0,10.0,6.0,60.0,3.0,30.0,214.0,979.0,392.0,3.0,10.0,0.0,5.0,1.0,272.0,18.0,América,Brasileiro,Miguel Layún (América)
Salvador Reyes Chávez,MEX,DF,25,5.9,375.0,13.0,99.0,177.0,104.0,10.0,375.0,10.0,4.0,40.0,5.0,50.0,187.0,943.0,411.0,12.0,5.0,1.0,3.0,7.0,221.0,34.0,América,Brasileiro,Salvador Reyes Chávez (América)
Israel Reyes,MEX,DF,23,5.0,374.0,29.0,176.0,193.0,5.0,2.0,374.0,2.0,1.0,50.0,0.0,0.0,260.0,1466.0,783.0,2.0,0.0,0.0,2.0,1.0,300.0,0.0,América,Brasileiro,Israel Reyes (América)
Oscar Jiménez,MEX,GK,35,3.5,92.0,87.0,92.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,48.0,186.0,134.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,América,Brasileiro,Oscar Jiménez (América)
Emilio Lara,MEX,DF,21,2.5,162.0,14.0,81.0,69.0,13.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,94.0,398.0,197.0,3.0,1.0,0.0,2.0,0.0,100.0,4.0,América,Brasileiro,Emilio Lara (América)
Néstor Araujo,MEX,DF,32,2.0,154.0,13.0,87.0,67.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,88.0,325.0,194.0,1.0,0.0,0.0,0.0,1.0,104.0,0.0,América,Brasileiro,Néstor Araujo (América)
Santiago Naveda,MEX,MF,22,1.5,88.0,3.0,21.0,52.0,15.0,3.0,88.0,2.0,2.0,100.0,0.0,0.0,49.0,194.0,61.0,2.0,0.0,0.0,1.0,1.0,54.0,1.0,América,Brasileiro,Santiago Naveda (América)
Román Martínez,MEX,FW,21,0.7,22.0,0.0,0.0,3.0,19.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,13.0,40.0,9.0,0.0,1.0,0.0,1.0,2.0,15.0,4.0,América,Brasileiro,Román Martínez (América)
Patricio Salas,MEX,"FW,MF",19,0.3,14.0,0.0,0.0,6.0,8.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,33.0,9.0,0.0,0.0,0.0,1.0,2.0,13.0,3.0,América,Brasileiro,Patricio Salas (América)
Juan Cantú,MEX,FW,19,0.3,7.0,0.0,0.0,5.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,América,Brasileiro,Juan Cantú (América)
