Player,Nation,Pos,Age,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Team,Championship,Player_Team
Luis Ángel Malagón,MEX,GK,26,13.5,11,0,1,1,0,13.2,0.37,2.2,0.16,49,144,34.0,291,45,34.4,34.6,107,41.1,36.6,191,8,4.2,2,0.15,10.1,América,Brasileiro,Luis Ángel Malagón (América)
Oscar Jiménez,MEX,GK,35,3.5,3,0,0,0,0,4.7,0.3,1.7,0.49,5,12,41.7,61,14,18.0,27.8,25,4.0,14.0,29,0,0.0,1,0.29,12.2,América,Brasileiro,Oscar Jiménez (América)
Camilo Vargas,COL,GK,34,17.0,24,4,0,4,0,23.2,0.26,-0.8,-0.05,89,246,36.2,491,65,34.0,33.8,147,53.7,45.4,214,13,6.1,24,1.41,16.8,Atlas,Brasileiro,Camilo Vargas (Atlas)
Andrés Sánchez,MEX,GK,26,9.0,16,0,0,2,0,9.6,0.31,-6.4,-0.71,17,36,47.2,185,47,14.6,25.3,79,11.4,19.0,131,8,6.1,11,1.22,15.2,Atlético,Brasileiro,Andrés Sánchez (Atlético)
Diego Urtiaga,MEX,GK,25,8.0,10,1,0,1,0,11.0,0.25,1.0,0.13,21,57,36.8,154,38,27.3,31.3,74,20.3,23.2,141,3,2.1,0,0.0,8.7,Atlético,Brasileiro,Diego Urtiaga (Atlético)
Andrés Gudiño,MEX,GK,26,13.5,22,4,0,1,1,18.8,0.23,-2.2,-0.16,64,200,32.0,257,49,50.6,40.3,117,59.8,47.9,187,12,6.4,8,0.59,11.8,Cruz Azul,Brasileiro,Andrés Gudiño (Cruz Azul)
Sebastián Jurado,MEX,GK,26,3.4,7,1,0,0,0,6.2,0.44,-0.8,-0.25,10,40,25.0,85,5,35.3,33.1,29,34.5,31.8,41,2,4.9,3,0.88,16.1,Cruz Azul,Brasileiro,Sebastián Jurado (Cruz Azul)
Alfredo Talavera,MEX,GK,41,16.3,33,3,1,2,0,29.5,0.32,-3.5,-0.21,77,230,33.5,405,73,37.8,35.0,143,53.8,43.4,264,9,3.4,9,0.55,13.5,FC Juárez,Brasileiro,Alfredo Talavera (FC Juárez)
Ramón Pasquel,MEX,GK,27,0.7,1,1,0,0,0,1.1,0.07,0.1,0.21,2,7,28.6,16,3,12.5,23.8,8,62.5,46.1,10,0,0.0,0,0.0,15.5,FC Juárez,Brasileiro,Ramón Pasquel (FC Juárez)
Miguel Jiménez Ponce,MEX,GK,33,15.8,21,4,0,1,0,22.6,0.26,1.6,0.1,61,180,33.9,297,56,36.4,35.8,126,57.1,46.4,203,4,2.0,11,0.69,15.5,Guadalajara,Brasileiro,Miguel Jiménez Ponce (Guadalajara)
José Rangel Aguilar,MEX,GK,23,1.2,1,0,0,0,0,1.7,0.24,0.7,0.61,5,18,27.8,25,6,36.0,34.6,12,75.0,60.2,12,0,0.0,1,0.86,15.3,Guadalajara,Brasileiro,José Rangel Aguilar (Guadalajara)
Rodolfo Cota,MEX,GK,36,16.0,21,2,0,2,1,19.3,0.32,-0.7,-0.05,33,84,39.3,296,94,21.6,30.3,121,16.5,27.0,187,13,7.0,25,1.56,16.1,León,Brasileiro,Rodolfo Cota (León)
Alfonso Blanco Antúnez,MEX,GK,36,1.0,1,0,0,0,0,1.7,0.42,0.7,0.67,3,4,75.0,17,7,11.8,23.5,5,40.0,32.8,10,1,10.0,1,1.0,19.5,León,Brasileiro,Alfonso Blanco Antúnez (León)
Hugo González Durán,MEX,GK,33,15.3,23,0,0,2,0,25.7,0.31,2.7,0.18,103,260,39.6,437,87,37.1,35.7,143,68.5,51.6,285,21,7.4,13,0.85,13.4,Mazatlán,Brasileiro,Hugo González Durán (Mazatlán)
Ricardo Gutiérrez,MEX,GK,26,1.7,4,0,0,0,0,4.2,0.33,0.2,0.12,7,17,41.2,48,6,25.0,30.4,11,45.5,41.4,32,1,3.1,0,0.0,3.0,Mazatlán,Brasileiro,Ricardo Gutiérrez (Mazatlán)
Esteban Andrada,ARG,GK,32,16.0,15,3,0,1,0,18.6,0.23,3.6,0.23,91,196,46.4,585,93,26.7,31.1,80,50.0,44.4,219,25,11.4,18,1.13,14.0,Monterrey,Brasileiro,Esteban Andrada (Monterrey)
Luis Cárdenas,MEX,GK,30,1.0,0,0,0,0,0,1.2,0.43,1.2,1.24,7,13,53.8,52,4,17.3,27.0,5,80.0,44.6,11,2,18.2,1,1.0,11.9,Monterrey,Brasileiro,Luis Cárdenas (Monterrey)
Raúl Gudiño,MEX,GK,27,9.5,15,1,0,2,4,13.5,0.31,2.5,0.26,55,158,34.8,196,26,49.0,40.7,96,64.6,50.8,166,4,2.4,1,0.11,8.7,Necaxa,Brasileiro,Raúl Gudiño (Necaxa)
Ezequiel Unsain,ARG,GK,28,7.5,12,1,0,3,0,12.5,0.33,0.5,0.06,43,124,34.7,136,21,55.1,44.2,70,70.0,58.0,109,8,7.3,1,0.13,9.1,Necaxa,Brasileiro,Ezequiel Unsain (Necaxa)
Carlos Moreno,MEX,GK,25,14.0,21,3,1,0,0,24.5,0.29,3.5,0.25,98,251,39.0,258,46,55.8,41.6,145,73.8,52.8,195,6,3.1,11,0.79,14.0,Pachuca,Brasileiro,Carlos Moreno (Pachuca)
Óscar Ustari,ARG,GK,37,3.0,6,0,0,0,0,5.5,0.43,-0.5,-0.15,20,47,42.6,58,13,51.7,39.7,29,58.6,44.6,46,1,2.2,7,2.33,21.9,Pachuca,Brasileiro,Óscar Ustari (Pachuca)
Jesús Rodríguez,MEX,GK,30,17.0,25,4,0,2,0,30.6,0.27,5.6,0.33,95,225,42.2,470,82,28.3,31.2,179,51.4,43.8,291,17,5.8,9,0.53,11.9,Puebla,Brasileiro,Jesús Rodríguez (Puebla)
Guillermo Allison,MEX,GK,33,12.0,17,3,0,2,1,22.2,0.28,6.2,0.52,97,230,42.2,235,32,60.4,45.1,119,73.9,55.0,187,10,5.3,3,0.25,11.3,Querétaro,Brasileiro,Guillermo Allison (Querétaro)
Fernando Tapia Méndez,MEX,GK,22,5.0,12,2,0,3,0,10.5,0.32,-1.5,-0.29,30,84,35.7,100,16,55.0,41.8,39,74.4,52.2,63,1,1.6,1,0.2,11.1,Querétaro,Brasileiro,Fernando Tapia Méndez (Querétaro)
Gibran Lajud,MEX,GK,30,9.0,19,2,1,1,0,14.9,0.27,-4.1,-0.45,35,133,26.3,151,30,55.6,43.5,76,64.5,50.3,139,6,4.3,6,0.67,13.4,Santos,Brasileiro,Gibran Lajud (Santos)
Carlos Acevedo,MEX,GK,27,6.0,12,1,0,2,0,12.0,0.32,0.0,-0.01,29,89,32.6,95,18,51.6,41.1,52,76.9,54.7,104,5,4.8,2,0.33,8.8,Santos,Brasileiro,Carlos Acevedo (Santos)
Héctor Holguín,MEX,GK,22,2.0,3,0,0,1,0,4.4,0.27,1.4,0.72,14,28,50.0,35,6,51.4,35.2,18,55.6,47.1,27,1,3.7,1,0.5,9.3,Santos,Brasileiro,Héctor Holguín (Santos)
José Antonio Rodríguez,MEX,GK,31,14.0,21,0,0,1,1,21.4,0.31,1.4,0.1,93,204,45.6,370,45,39.2,35.7,103,57.3,44.5,156,9,5.8,11,0.79,13.5,Tijuana,Brasileiro,José Antonio Rodríguez (Tijuana)
José Corona,MEX,GK,42,3.0,5,1,1,1,0,4.5,0.26,-0.5,-0.17,12,28,42.9,67,9,29.9,31.8,18,44.4,44.3,29,2,6.9,1,0.33,10.7,Tijuana,Brasileiro,José Corona (Tijuana)
Tiago Volpi,BRA,GK,33,17.0,19,1,0,0,0,20.5,0.24,1.5,0.09,76,195,39.0,471,69,30.6,34.5,113,45.1,41.8,234,12,5.1,18,1.06,14.1,Toluca,Brasileiro,Tiago Volpi (Toluca)
