Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Unai Bilbao,es ESP,DF,29-329,16.3,814,903,90.1,16984,6558,267,279,95.7,403,439,91.8,140,178,78.7,0,0.4,0.5,-0.4,5,44,4,1,39,Matches
Dieter Villalpando,mx MEX,"MF,FW",32-148,15.7,746,905,82.4,13644,4896,347,388,89.4,278,330,84.2,105,149,70.5,4,3.0,3.2,1.0,35,113,25,1,143,Matches
Jhon Murillo,ve VEN,"FW,MF",28-039,14.6,380,455,83.5,5910,1032,200,219,91.3,159,176,90.3,15,27,55.6,2,1.6,1.3,0.4,19,17,6,4,25,Matches
Javier Güemez,mx MEX,MF,32-074,15.3,849,1030,82.4,15816,5664,351,390,90.0,384,435,88.3,96,172,55.8,1,0.4,1.5,0.6,15,137,15,0,133,Matches
Rodrigo Dourado,br BRA,MF,29-196,15.2,857,951,90.1,15202,5920,373,404,92.3,392,414,94.7,80,101,79.2,1,0.4,0.3,0.6,12,72,3,0,82,Matches
Ricardo Chávez Soto,mx MEX,DF,29-041,14.8,700,858,81.6,11872,3719,353,385,91.7,284,340,83.5,54,101,53.5,1,2.2,2.1,-1.2,18,45,14,7,60,Matches
Julio Domínguez,mx MEX,DF,36-052,14.7,660,713,92.6,11853,4038,270,282,95.7,344,364,94.5,42,60,70.0,1,0.3,0.1,0.7,2,29,1,0,39,Matches
Juan Sanabria,uy URU,DF,23-276,15.5,656,872,75.2,12000,4164,308,336,91.7,260,337,77.2,83,164,50.6,4,2.2,2.0,1.8,36,39,15,9,52,Matches
Léo Bonatini,br BRA,FW,29-277,12.4,163,221,73.8,2217,428,87,109,79.8,51,68,75.0,7,13,53.8,0,0.3,0.6,-0.3,6,8,3,0,16,Matches
Mateo Klimowicz,de GER,"FW,MF",23-177,8.1,173,226,76.5,2693,654,98,112,87.5,57,76,75.0,13,23,56.5,0,0.5,0.4,-0.5,10,14,7,0,22,Matches
Andrés Sánchez,mx MEX,GK,26-088,9.0,239,265,90.2,4850,3501,62,62,100.0,114,116,98.3,39,62,62.9,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Diego Urtiaga,mx MEX,GK,25-082,8.0,187,228,82.0,4156,3087,50,50,100.0,76,77,98.7,41,81,50.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Vitinho,br BRA,"FW,MF",22-251,9.5,287,367,78.2,4738,934,145,170,85.3,110,133,82.7,26,38,68.4,1,1.3,1.2,-0.3,15,16,13,1,31,Matches
Ángel Zaldívar,mx MEX,FW,29-325,2.6,46,52,88.5,644,139,26,30,86.7,12,13,92.3,3,3,100.0,0,0.1,0.2,-0.1,2,3,2,0,6,Matches
Uziel García,mx MEX,"DF,FW",22-265,2.1,62,81,76.5,1015,309,35,37,94.6,22,31,71.0,5,11,45.5,0,0.0,0.0,0.0,0,6,0,0,5,Matches
Sebastien Salles-Lamonge,fr FRA,"FW,MF",27-336,2.9,173,214,80.8,3044,651,78,85,91.8,70,87,80.5,19,31,61.3,0,0.2,0.3,-0.2,5,23,2,0,19,Matches
Iker Moreno,mx MEX,DF,20-107,1.8,104,125,83.2,1693,423,56,64,87.5,39,46,84.8,6,9,66.7,0,0.4,0.1,-0.4,2,5,1,0,8,Matches
Jordan Silva,mx MEX,"DF,FW",29-153,1.7,95,105,90.5,1977,643,27,30,90.0,52,53,98.1,15,19,78.9,0,0.4,0.5,-0.4,2,4,0,0,9,Matches
Eduardo Águila,mx MEX,"DF,FW",21-227,1.1,61,70,87.1,1026,393,28,30,93.3,31,31,100.0,2,7,28.6,0,0.0,0.0,0.0,0,4,0,0,6,Matches
Jürgen Damm,mx MEX,FW,31-053,2.5,92,120,76.7,1421,258,46,51,90.2,40,42,95.2,3,14,21.4,2,1.2,1.3,0.8,10,3,5,4,8,Matches
Juan David Castro,mx MEX,"FW,MF",32-009,1.2,61,65,93.8,888,208,41,42,97.6,18,20,90.0,2,2,100.0,1,0.3,0.1,0.7,1,5,1,0,6,Matches
Andrés Iniestra,mx MEX,MF,27-294,0.3,11,15,73.3,187,78,3,4,75.0,5,6,83.3,1,2,50.0,0,0.0,0.0,0.0,1,0,0,0,1,Matches
Benjamín Galdames,mx MEX,FW,22-309,0.3,9,10,90.0,126,39,6,6,100.0,3,3,100.0,0,0,,0,0.2,0.2,-0.2,1,1,1,0,1,Matches
Diego Abitia,mx MEX,FW,20-258,0.0,1,1,100.0,20,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,28.8,17.0,7426,8852,83.9,133976,47736,3257,3565,91.4,3205,3638,88.1,797,1267,62.9,18,15.2,16.2,2.8,197,592,118,27,711,
Opponent Total,,,27.8,17.0,6330,7811,81.0,118000,43116,2643,2948,89.7,2834,3222,88.0,720,1278,56.3,17,14.2,14.6,2.8,184,532,122,42,621,
