Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Fabijan Buntić,hr CRO,GK,26-309,15.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,4,0,Matches
Anderson Jesus,br BRA,DF,28-303,14.9,13,11,11,2,0,9,20,45.0,11,21,15,6,10,23,60,0,Matches
Samuel Essende,fr FRA,FW,25-341,14.6,5,5,1,1,3,1,3,33.3,2,12,5,7,2,7,6,0,Matches
Samu,pt POR,"MF,FW",27-253,14.6,31,17,16,10,5,14,33,42.4,19,30,5,25,13,44,24,0,Matches
Bruno Wilson,pt POR,DF,27-003,14.0,14,8,9,5,0,10,13,76.9,3,18,12,6,18,32,59,0,Matches
Tomás Costa Silva,pt POR,DF,24-076,13.5,44,31,26,13,5,29,40,72.5,11,16,4,12,18,62,39,0,Matches
Nuno Gonçalo Moreira,pt POR,"FW,MF",24-197,9.9,13,8,6,6,1,4,13,30.8,9,14,2,12,10,23,8,1,Matches
Matías Lacava,ve VEN,"FW,MF",21-067,9.0,27,16,15,7,5,11,18,61.1,7,9,0,9,6,33,3,0,Matches
Matheus Pereira,br BRA,"DF,MF",23-009,10.6,14,9,8,6,0,7,12,58.3,5,14,5,9,8,22,22,0,Matches
Diogo Nascimento,pt POR,MF,21-058,10.2,10,6,2,8,0,4,12,33.3,8,3,0,3,5,15,13,0,Matches
João Escoval,pt POR,DF,26-236,6.4,12,4,10,1,1,7,9,77.8,2,6,3,3,10,22,19,0,Matches
Rafael Bustamante,co COL,MF,24-089,5.9,13,8,8,4,1,6,24,25.0,18,14,3,11,11,24,5,0,Matches
Pedro Ortiz,es ESP,MF,23-133,5.7,15,9,4,9,2,7,13,53.8,6,4,1,3,4,19,12,0,Matches
Aleksandar Busnić,rs SRB,"MF,FW",26-026,4.9,10,6,7,3,0,5,10,50.0,5,7,1,6,6,16,13,0,Matches
Alberto Soro,es ESP,"MF,FW",24-296,2.5,7,4,4,3,0,1,4,25.0,3,5,0,5,0,7,0,0,Matches
Alexis Méndez,us USA,"MF,FW",23-115,2.5,3,2,0,3,0,2,3,66.7,1,1,0,1,1,4,1,0,Matches
Kiko Bondoso,pt POR,"FW,MF",28-043,2.1,5,3,1,2,2,4,6,66.7,2,2,0,2,1,6,2,0,Matches
Orest Lebedenko,ua UKR,DF,25-098,2.1,2,0,2,0,0,1,3,33.3,2,5,2,3,3,5,10,0,Matches
Hugo Oliveira,pt POR,"MF,DF",21-323,1.5,2,2,1,1,0,1,3,33.3,2,1,0,1,3,5,4,0,Matches
Dylan Saint-Louis,cg CGO,"FW,MF",28-248,2.1,4,1,3,1,0,2,5,40.0,3,3,1,2,0,4,2,0,Matches
Jardel,gw GNB,"FW,MF",26-101,1.8,2,1,1,1,0,1,2,50.0,1,0,0,0,2,4,2,0,Matches
Iker Unzueta,es ESP,FW,25-148,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Osama Rashid,iq IRQ,"MF,FW",31-351,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
Squad Total,,,25.4,15.0,246,151,135,86,25,126,247,51.0,121,186,59,127,131,377,310,1,
Opponent Total,,,26.9,15.0,244,155,105,105,34,108,221,48.9,113,163,49,114,113,357,320,5,
