Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Fabijan Buntić,hr CRO,GK,26-309,15.0,448,374,445,3,0,0,448,0,0,,0,,211,1253,643,0,0,0,0,0,138,0,Matches
Anderson Jesus,br BRA,DF,28-303,14.9,702,130,428,260,16,14,702,1,0,0.0,0,0.0,374,1608,740,1,0,0,7,1,450,0,Matches
Samuel Essende,fr FRA,FW,25-341,14.6,416,12,29,196,193,73,416,29,11,37.9,18,62.1,225,1151,412,21,9,12,51,21,310,69,Matches
Samu,pt POR,"MF,FW",27-253,14.6,940,42,166,452,333,35,937,23,11,47.8,10,43.5,446,1728,762,8,14,2,21,12,545,56,Matches
Bruno Wilson,pt POR,DF,27-003,14.0,828,143,450,345,36,22,828,0,0,,0,,471,2246,1296,4,4,1,6,0,567,8,Matches
Tomás Costa Silva,pt POR,DF,24-076,13.5,880,45,262,352,277,13,880,15,6,40.0,7,46.7,425,1855,945,21,24,2,18,7,481,100,Matches
Nuno Gonçalo Moreira,pt POR,"FW,MF",24-197,9.9,451,9,60,178,221,35,451,39,14,35.9,22,56.4,247,1269,604,16,15,4,21,14,281,65,Matches
Matías Lacava,ve VEN,"FW,MF",21-067,9.0,341,4,72,122,161,25,341,25,14,56.0,10,40.0,224,1154,482,17,8,7,30,26,228,56,Matches
Matheus Pereira,br BRA,"DF,MF",23-009,10.6,660,34,219,289,166,10,660,17,10,58.8,2,11.8,353,2120,1197,24,10,1,23,5,399,47,Matches
Diogo Nascimento,pt POR,MF,21-058,10.2,593,13,105,353,142,15,593,28,16,57.1,11,39.3,359,1734,591,9,7,2,21,16,429,33,Matches
João Escoval,pt POR,DF,26-236,6.4,342,28,158,142,44,12,342,1,0,0.0,1,100.0,133,832,448,4,2,1,2,1,181,4,Matches
Rafael Bustamante,co COL,MF,24-089,5.9,305,11,107,166,37,2,305,3,2,66.7,1,33.3,147,562,257,2,3,1,6,6,178,6,Matches
Pedro Ortiz,es ESP,MF,23-133,5.7,269,19,76,180,18,3,269,4,4,100.0,0,0.0,115,514,193,2,2,0,2,4,157,1,Matches
Aleksandar Busnić,rs SRB,"MF,FW",26-026,4.9,227,13,76,139,12,0,227,3,2,66.7,0,0.0,108,591,254,0,4,0,3,3,113,2,Matches
Alberto Soro,es ESP,"MF,FW",24-296,2.5,129,0,18,60,53,5,129,3,1,33.3,2,66.7,78,416,168,3,5,0,8,4,86,19,Matches
Alexis Méndez,us USA,"MF,FW",23-115,2.5,157,1,17,85,58,4,157,4,2,50.0,1,25.0,82,391,207,4,6,1,3,4,108,12,Matches
Kiko Bondoso,pt POR,"FW,MF",28-043,2.1,98,1,14,35,51,10,98,9,4,44.4,5,55.6,62,320,117,5,3,2,5,0,69,22,Matches
Orest Lebedenko,ua UKR,DF,25-098,2.1,128,15,45,57,33,1,128,6,3,50.0,3,50.0,62,429,296,10,2,0,4,2,61,7,Matches
Hugo Oliveira,pt POR,"MF,DF",21-323,1.5,123,5,36,48,39,2,123,9,4,44.4,3,33.3,57,501,268,8,5,2,5,2,62,6,Matches
Dylan Saint-Louis,cg CGO,"FW,MF",28-248,2.1,110,5,19,39,53,5,110,10,4,40.0,5,50.0,70,476,202,5,2,0,8,3,81,29,Matches
Jardel,gw GNB,"FW,MF",26-101,1.8,97,3,10,45,42,6,97,13,5,38.5,7,53.8,69,493,182,6,2,2,9,4,78,17,Matches
Iker Unzueta,es ESP,FW,25-148,0.3,18,0,0,10,8,1,18,0,0,,0,,10,40,14,0,0,0,1,0,16,5,Matches
Osama Rashid,iq IRQ,"MF,FW",31-351,0.2,30,3,6,21,4,0,30,0,0,,0,,17,88,27,0,1,0,0,1,20,0,Matches
Squad Total,,,25.4,15.0,8292,910,2818,3577,1997,293,8289,242,113,46.7,108,44.6,4345,21771,10305,170,128,40,254,136,5038,564,
Opponent Total,,,26.9,15.0,9053,902,2825,4179,2143,333,9050,268,121,45.1,126,47.0,5016,26088,14018,281,187,72,252,120,5756,614,
