Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Team,Championship,Player_Team
Lucas Villalba,ARG,DF,28.0,23.8,1379.0,1807.0,76.3,30048.0,13479.0,417.0,476.0,87.6,674.0,792.0,85.1,277.0,479.0,57.8,1,1.2,1.9,-0.2,10.0,179.0,27.0,10.0,219.0,Argentinos Jun,Brasileiro,Lucas Villalba (Argentinos Jun)
Gabriel Ávalos,PAR,FW,32.0,19.7,303.0,490.0,61.8,4085.0,934.0,173.0,254.0,68.1,99.0,144.0,68.8,11.0,23.0,47.8,2,3.1,2.2,-1.1,33.0,26.0,12.0,0.0,43.0,Argentinos Jun,Brasileiro,Gabriel Ávalos (Argentinos Jun)
Kevin Mac Allister,ARG,DF,25.0,19.2,947.0,1256.0,75.4,16760.0,7642.0,386.0,442.0,87.3,460.0,584.0,78.8,84.0,182.0,46.2,0,0.4,0.9,-0.4,8.0,106.0,7.0,1.0,142.0,Argentinos Jun,Brasileiro,Kevin Mac Allister (Argentinos Jun)
Francisco González,ARG,MF,25.0,17.6,470.0,620.0,75.8,6797.0,2128.0,249.0,300.0,83.0,159.0,199.0,79.9,26.0,52.0,50.0,2,1.9,1.7,0.1,20.0,51.0,17.0,3.0,87.0,Argentinos Jun,Brasileiro,Francisco González (Argentinos Jun)
Javier Cabrera,URU,"DF,MF",30.0,17.3,475.0,731.0,65.0,7800.0,3232.0,234.0,290.0,80.7,180.0,269.0,66.9,42.0,93.0,45.2,2,3.8,4.8,-1.8,44.0,41.0,43.0,17.0,78.0,Argentinos Jun,Brasileiro,Javier Cabrera (Argentinos Jun)
Santiago Gabriel,ARG,"DF,MF",22.0,18.0,557.0,848.0,65.7,10116.0,3060.0,237.0,283.0,83.7,236.0,319.0,74.0,69.0,162.0,42.6,2,1.8,2.0,0.2,16.0,39.0,19.0,9.0,65.0,Argentinos Jun,Brasileiro,Santiago Gabriel (Argentinos Jun)
Franco Moyano,ARG,MF,25.0,17.4,965.0,1113.0,86.7,17431.0,4308.0,393.0,435.0,90.3,453.0,504.0,89.9,102.0,148.0,68.9,1,1.3,1.1,-0.3,23.0,74.0,5.0,3.0,79.0,Argentinos Jun,Brasileiro,Franco Moyano (Argentinos Jun)
Miguel Ángel Torrén,ARG,DF,34.0,13.8,806.0,970.0,83.1,18414.0,7477.0,194.0,207.0,93.7,431.0,488.0,88.3,177.0,264.0,67.0,1,0.6,0.6,0.4,7.0,45.0,7.0,1.0,76.0,Argentinos Jun,Brasileiro,Miguel Ángel Torrén (Argentinos Jun)
Gastón Verón,ARG,"FW,MF",21.0,14.5,385.0,514.0,74.9,5762.0,1438.0,212.0,267.0,79.4,122.0,151.0,80.8,27.0,38.0,71.1,0,2.1,1.9,-2.1,16.0,38.0,17.0,1.0,74.0,Argentinos Jun,Brasileiro,Gastón Verón (Argentinos Jun)
Federico Lanzillota,ARG,GK,30.0,14.0,353.0,423.0,83.5,8422.0,5708.0,95.0,96.0,99.0,153.0,153.0,100.0,89.0,158.0,56.3,0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Federico Lanzillota (Argentinos Jun)
