Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Team,Championship,Player_Team
Lucas Villalba,ARG,DF,28.0,24,2146.0,89.0,88.3,23.8,24,89.0,23,0,0.0,3,1.63,29.0,16.0,13.0,0.55,1.81,34.8,21.1,13.7,0.58,0.68,Argentinos Jun,Brasileiro,Lucas Villalba (Argentinos Jun)
Gabriel Ávalos,PAR,FW,32.0,25,1773.0,71.0,73.0,19.7,21,80.0,10,4,25.0,0,1.48,27.0,15.0,12.0,0.61,1.02,29.5,18.6,10.9,0.55,0.21,Argentinos Jun,Brasileiro,Gabriel Ávalos (Argentinos Jun)
Kevin Mac Allister,ARG,DF,25.0,20,1728.0,86.0,71.1,19.2,20,86.0,18,0,0.0,0,1.45,22.0,14.0,8.0,0.42,0.29,27.9,18.4,9.5,0.49,-0.01,Argentinos Jun,Brasileiro,Kevin Mac Allister (Argentinos Jun)
Francisco González,ARG,MF,25.0,25,1581.0,63.0,65.1,17.6,19,74.0,6,6,31.0,2,1.56,25.0,11.0,14.0,0.8,1.33,28.0,14.5,13.6,0.77,0.79,Argentinos Jun,Brasileiro,Francisco González (Argentinos Jun)
Javier Cabrera,URU,"DF,MF",30.0,23,1558.0,68.0,64.1,17.3,19,78.0,3,4,21.0,1,1.48,22.0,11.0,11.0,0.64,0.84,24.8,14.2,10.6,0.61,0.32,Argentinos Jun,Brasileiro,Javier Cabrera (Argentinos Jun)
Santiago Gabriel,ARG,"DF,MF",22.0,24,1619.0,67.0,66.6,18.0,17,83.0,8,7,29.0,1,1.54,25.0,13.0,12.0,0.67,1.0,25.6,15.8,9.9,0.55,0.16,Argentinos Jun,Brasileiro,Santiago Gabriel (Argentinos Jun)
Franco Moyano,ARG,MF,25.0,21,1567.0,75.0,64.5,17.4,16,89.0,15,5,29.0,4,1.62,21.0,10.0,11.0,0.63,0.84,24.0,16.7,7.3,0.42,-0.22,Argentinos Jun,Brasileiro,Franco Moyano (Argentinos Jun)
Miguel Ángel Torrén,ARG,DF,34.0,15,1238.0,83.0,50.9,13.8,15,83.0,12,0,0.0,1,1.6,14.0,11.0,3.0,0.22,-0.23,19.6,11.0,8.6,0.62,0.26,Argentinos Jun,Brasileiro,Miguel Ángel Torrén (Argentinos Jun)
Gastón Verón,ARG,"FW,MF",21.0,24,1308.0,55.0,53.8,14.5,14,70.0,2,10,32.0,1,1.5,18.0,9.0,9.0,0.62,0.62,23.9,13.3,10.7,0.73,0.51,Argentinos Jun,Brasileiro,Gastón Verón (Argentinos Jun)
Federico Lanzillota,ARG,GK,30.0,14,1260.0,90.0,51.9,14.0,14,90.0,14,0,0.0,13,1.29,19.0,15.0,4.0,0.29,-0.1,23.3,11.4,11.9,0.85,0.73,Argentinos Jun,Brasileiro,Federico Lanzillota (Argentinos Jun)
Federico Redondo,ARG,MF,20.0,21,1282.0,61.0,52.8,14.2,13,79.0,8,8,31.0,1,1.62,16.0,12.0,4.0,0.28,-0.11,18.2,13.0,5.3,0.37,-0.27,Argentinos Jun,Brasileiro,Federico Redondo (Argentinos Jun)
Alexis Martin Arias,ARG,GK,30.0,13,1170.0,90.0,48.1,13.0,13,90.0,13,0,0.0,14,1.69,12.0,7.0,5.0,0.38,0.1,16.0,14.5,1.5,0.12,-0.73,Argentinos Jun,Brasileiro,Alexis Martin Arias (Argentinos Jun)
Alan Rodríguez,URU,MF,23.0,19,1164.0,61.0,47.9,12.9,12,83.0,8,7,24.0,1,1.63,13.0,9.0,4.0,0.31,-0.05,18.2,13.0,5.2,0.4,-0.18,Argentinos Jun,Brasileiro,Alan Rodríguez (Argentinos Jun)
Marco Di Cesare,ARG,DF,22.0,13,1091.0,84.0,44.9,12.1,12,87.0,11,1,45.0,14,1.46,14.0,8.0,6.0,0.49,0.29,16.3,13.1,3.2,0.26,-0.42,Argentinos Jun,Brasileiro,Marco Di Cesare (Argentinos Jun)
Thiago Nuss,ARG,"FW,MF",21.0,19,910.0,48.0,37.4,10.1,12,65.0,1,7,18.0,8,1.37,5.0,7.0,-2.0,-0.2,-0.85,14.7,8.7,6.0,0.59,0.15,Argentinos Jun,Brasileiro,Thiago Nuss (Argentinos Jun)
Luciano Sánchez,ARG,"DF,FW",29.0,16,853.0,53.0,35.1,9.5,9,80.0,6,7,19.0,11,1.69,10.0,11.0,-1.0,-0.11,-0.68,12.0,10.6,1.4,0.15,-0.53,Argentinos Jun,Brasileiro,Luciano Sánchez (Argentinos Jun)
Rodrigo Cabral,ARG,"DF,MF",22.0,20,783.0,39.0,32.2,8.7,8,70.0,2,12,19.0,6,1.15,8.0,13.0,-5.0,-0.57,-1.34,12.8,11.6,1.1,0.13,-0.54,Argentinos Jun,Brasileiro,Rodrigo Cabral (Argentinos Jun)
Fabricio Domínguez,URU,"MF,DF",24.0,19,771.0,41.0,31.7,8.6,8,59.0,0,11,27.0,8,1.47,10.0,10.0,0.0,0.0,-0.49,11.4,7.5,3.9,0.46,-0.06,Argentinos Jun,Brasileiro,Fabricio Domínguez (Argentinos Jun)
Leonardo Heredia,ARG,"FW,MF",27.0,18,658.0,37.0,27.1,7.3,7,60.0,0,11,21.0,7,1.17,7.0,10.0,-3.0,-0.41,-1.02,10.5,9.8,0.7,0.1,-0.54,Argentinos Jun,Brasileiro,Leonardo Heredia (Argentinos Jun)
Matías Vera,ARG,MF,27.0,9,519.0,58.0,21.4,5.8,7,68.0,1,2,21.0,11,1.22,6.0,9.0,-3.0,-0.52,-1.09,9.4,6.4,3.0,0.52,0.03,Argentinos Jun,Brasileiro,Matías Vera (Argentinos Jun)
Leonel González,ARG,DF,28.0,7,384.0,55.0,15.8,4.3,5,74.0,3,2,8.0,20,1.14,2.0,8.0,-6.0,-1.41,-2.07,5.9,6.6,-0.6,-0.15,-0.77,Argentinos Jun,Brasileiro,Leonel González (Argentinos Jun)
Mariano Bíttolo,ARG,"DF,MF",32.0,5,350.0,70.0,14.4,3.9,5,70.0,2,0,0.0,13,1.4,3.0,2.0,1.0,0.26,-0.09,4.8,3.6,1.1,0.29,-0.24,Argentinos Jun,Brasileiro,Mariano Bíttolo (Argentinos Jun)
