Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Team,Championship,Player_Team
Lucas Villalba,ARG,DF,28.0,23.8,33.0,1.38,22.0,2.0,4.0,3.0,1.0,1.0,3.0,0.13,2.0,0.0,0.0,0.0,0.0,1.0,Argentinos Jun,Brasileiro,Lucas Villalba (Argentinos Jun)
Gabriel Ávalos,PAR,FW,32.0,19.7,67.0,3.4,53.0,0.0,2.0,6.0,5.0,1.0,4.0,0.2,3.0,0.0,0.0,0.0,1.0,0.0,Argentinos Jun,Brasileiro,Gabriel Ávalos (Argentinos Jun)
Kevin Mac Allister,ARG,DF,25.0,19.2,37.0,1.93,25.0,4.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Kevin Mac Allister (Argentinos Jun)
Francisco González,ARG,MF,25.0,17.6,57.0,3.24,38.0,7.0,4.0,3.0,3.0,2.0,9.0,0.51,7.0,0.0,0.0,0.0,2.0,0.0,Argentinos Jun,Brasileiro,Francisco González (Argentinos Jun)
Javier Cabrera,URU,"DF,MF",30.0,17.3,74.0,4.28,45.0,15.0,3.0,5.0,5.0,1.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Javier Cabrera (Argentinos Jun)
Santiago Gabriel,ARG,"DF,MF",22.0,18.0,48.0,2.67,23.0,12.0,3.0,7.0,3.0,0.0,4.0,0.22,3.0,0.0,1.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Santiago Gabriel (Argentinos Jun)
Franco Moyano,ARG,MF,25.0,17.4,37.0,2.12,23.0,13.0,0.0,0.0,0.0,1.0,3.0,0.17,3.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Franco Moyano (Argentinos Jun)
Miguel Ángel Torrén,ARG,DF,34.0,13.8,25.0,1.82,16.0,6.0,0.0,1.0,1.0,1.0,2.0,0.15,1.0,1.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Miguel Ángel Torrén (Argentinos Jun)
Gastón Verón,ARG,"FW,MF",21.0,14.5,48.0,3.3,33.0,0.0,4.0,6.0,4.0,1.0,3.0,0.21,1.0,0.0,0.0,0.0,2.0,0.0,Argentinos Jun,Brasileiro,Gastón Verón (Argentinos Jun)
Federico Lanzillota,ARG,GK,30.0,14.0,3.0,0.21,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Federico Lanzillota (Argentinos Jun)
Federico Redondo,ARG,MF,20.0,14.2,22.0,1.54,19.0,1.0,0.0,1.0,1.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Federico Redondo (Argentinos Jun)
Alexis Martin Arias,ARG,GK,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Alexis Martin Arias (Argentinos Jun)
Alan Rodríguez,URU,MF,23.0,12.9,28.0,2.16,21.0,0.0,2.0,3.0,2.0,0.0,3.0,0.23,2.0,0.0,0.0,1.0,0.0,0.0,Argentinos Jun,Brasileiro,Alan Rodríguez (Argentinos Jun)
Marco Di Cesare,ARG,DF,22.0,12.1,7.0,0.58,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,1.0,0.0,0.0,Argentinos Jun,Brasileiro,Marco Di Cesare (Argentinos Jun)
Thiago Nuss,ARG,"FW,MF",21.0,10.1,23.0,2.27,11.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Thiago Nuss (Argentinos Jun)
Luciano Sánchez,ARG,"DF,FW",29.0,9.5,13.0,1.37,10.0,3.0,0.0,0.0,0.0,0.0,1.0,0.11,0.0,1.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Luciano Sánchez (Argentinos Jun)
Rodrigo Cabral,ARG,"DF,MF",22.0,8.7,25.0,2.88,18.0,0.0,2.0,3.0,2.0,0.0,2.0,0.23,1.0,0.0,0.0,1.0,0.0,0.0,Argentinos Jun,Brasileiro,Rodrigo Cabral (Argentinos Jun)
Fabricio Domínguez,URU,"MF,DF",24.0,8.6,40.0,4.68,28.0,4.0,5.0,1.0,2.0,0.0,5.0,0.58,4.0,0.0,1.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Fabricio Domínguez (Argentinos Jun)
Leonardo Heredia,ARG,"FW,MF",27.0,7.3,25.0,3.43,21.0,1.0,0.0,2.0,1.0,0.0,2.0,0.27,1.0,0.0,0.0,1.0,0.0,0.0,Argentinos Jun,Brasileiro,Leonardo Heredia (Argentinos Jun)
Matías Vera,ARG,MF,27.0,5.8,7.0,1.22,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Matías Vera (Argentinos Jun)
Leonel González,ARG,DF,28.0,4.3,5.0,1.17,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Leonel González (Argentinos Jun)
Mariano Bíttolo,ARG,"DF,MF",32.0,3.9,11.0,2.83,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Mariano Bíttolo (Argentinos Jun)
Pablo Minissale,ARG,DF,22.0,4.1,4.0,0.98,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Pablo Minissale (Argentinos Jun)
José Herrera,ARG,"DF,FW",17.0,3.5,14.0,4.03,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,José Herrera (Argentinos Jun)
