Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Team,Championship,Player_Team
Lucas Villalba,ARG,DF,28.0,23.8,2,0,0,24,22,1,45,49,26,0.0,1.0,0,175.0,64.0,49.0,56.6,Argentinos Jun,Brasileiro,Lucas Villalba (Argentinos Jun)
Gabriel Ávalos,PAR,FW,32.0,19.7,4,0,0,23,27,10,9,3,4,0.0,1.0,0,48.0,78.0,80.0,49.4,Argentinos Jun,Brasileiro,Gabriel Ávalos (Argentinos Jun)
Kevin Mac Allister,ARG,DF,25.0,19.2,5,1,0,32,33,1,17,27,38,0.0,1.0,0,120.0,58.0,34.0,63.0,Argentinos Jun,Brasileiro,Kevin Mac Allister (Argentinos Jun)
Francisco González,ARG,MF,25.0,17.6,2,0,0,25,24,7,40,7,22,2.0,0.0,0,89.0,22.0,31.0,41.5,Argentinos Jun,Brasileiro,Francisco González (Argentinos Jun)
Javier Cabrera,URU,"DF,MF",30.0,17.3,6,0,0,16,27,11,132,10,25,0.0,0.0,0,104.0,14.0,23.0,37.8,Argentinos Jun,Brasileiro,Javier Cabrera (Argentinos Jun)
Santiago Gabriel,ARG,"DF,MF",22.0,18.0,5,2,1,14,33,1,104,15,22,0.0,0.0,0,125.0,14.0,27.0,34.1,Argentinos Jun,Brasileiro,Santiago Gabriel (Argentinos Jun)
Franco Moyano,ARG,MF,25.0,17.4,1,0,0,13,10,0,42,14,18,0.0,0.0,0,127.0,17.0,22.0,43.6,Argentinos Jun,Brasileiro,Franco Moyano (Argentinos Jun)
Miguel Ángel Torrén,ARG,DF,34.0,13.8,3,0,0,6,7,0,10,13,11,0.0,0.0,0,117.0,28.0,14.0,66.7,Argentinos Jun,Brasileiro,Miguel Ángel Torrén (Argentinos Jun)
Gastón Verón,ARG,"FW,MF",21.0,14.5,7,1,1,28,29,4,7,3,9,2.0,1.0,0,46.0,61.0,42.0,59.2,Argentinos Jun,Brasileiro,Gastón Verón (Argentinos Jun)
Federico Lanzillota,ARG,GK,30.0,14.0,1,0,0,0,3,0,0,1,0,0.0,0.0,0,33.0,2.0,2.0,50.0,Argentinos Jun,Brasileiro,Federico Lanzillota (Argentinos Jun)
Federico Redondo,ARG,MF,20.0,14.2,3,1,0,17,17,1,4,11,19,0.0,0.0,0,125.0,25.0,16.0,61.0,Argentinos Jun,Brasileiro,Federico Redondo (Argentinos Jun)
Alexis Martin Arias,ARG,GK,30.0,13.0,1,0,0,0,1,0,0,0,1,0.0,0.0,0,19.0,2.0,0.0,100.0,Argentinos Jun,Brasileiro,Alexis Martin Arias (Argentinos Jun)
Alan Rodríguez,URU,MF,23.0,12.9,1,0,0,24,20,0,11,11,25,0.0,0.0,0,99.0,10.0,25.0,28.6,Argentinos Jun,Brasileiro,Alan Rodríguez (Argentinos Jun)
Marco Di Cesare,ARG,DF,22.0,12.1,3,0,0,21,9,1,0,14,12,0.0,1.0,0,72.0,42.0,31.0,57.5,Argentinos Jun,Brasileiro,Marco Di Cesare (Argentinos Jun)
Thiago Nuss,ARG,"FW,MF",21.0,10.1,5,0,0,23,21,6,33,1,4,0.0,0.0,0,36.0,17.0,29.0,37.0,Argentinos Jun,Brasileiro,Thiago Nuss (Argentinos Jun)
