Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Team,Championship,Player_Team
Lucas Villalba,ARG,DF,28.0,23.8,2063.0,137.0,811.0,1083.0,187.0,20.0,2063.0,29.0,22.0,75.9,5.0,17.2,1210.0,6649.0,4511.0,49.0,34.0,3.0,19.0,9.0,1347.0,20.0,Argentinos Jun,Brasileiro,Lucas Villalba (Argentinos Jun)
Gabriel Ávalos,PAR,FW,32.0,19.7,691.0,15.0,21.0,293.0,381.0,127.0,687.0,28.0,11.0,39.3,14.0,50.0,351.0,1295.0,463.0,17.0,15.0,12.0,67.0,27.0,533.0,178.0,Argentinos Jun,Brasileiro,Gabriel Ávalos (Argentinos Jun)
Kevin Mac Allister,ARG,DF,25.0,19.2,1478.0,65.0,435.0,812.0,237.0,39.0,1478.0,7.0,3.0,42.9,3.0,42.9,711.0,2565.0,1525.0,19.0,12.0,1.0,11.0,1.0,787.0,34.0,Argentinos Jun,Brasileiro,Kevin Mac Allister (Argentinos Jun)
Francisco González,ARG,MF,25.0,17.6,829.0,7.0,78.0,411.0,351.0,58.0,829.0,48.0,20.0,41.7,25.0,52.1,447.0,2139.0,1032.0,36.0,32.0,9.0,35.0,21.0,539.0,111.0,Argentinos Jun,Brasileiro,Francisco González (Argentinos Jun)
Javier Cabrera,URU,"DF,MF",30.0,17.3,906.0,20.0,121.0,296.0,496.0,70.0,906.0,40.0,27.0,67.5,9.0,22.5,534.0,2478.0,1094.0,51.0,21.0,15.0,33.0,17.0,602.0,223.0,Argentinos Jun,Brasileiro,Javier Cabrera (Argentinos Jun)
Santiago Gabriel,ARG,"DF,MF",22.0,18.0,1064.0,19.0,211.0,480.0,390.0,40.0,1063.0,62.0,29.0,46.8,25.0,40.3,531.0,2970.0,1711.0,52.0,34.0,14.0,29.0,17.0,556.0,114.0,Argentinos Jun,Brasileiro,Santiago Gabriel (Argentinos Jun)
Franco Moyano,ARG,MF,25.0,17.4,1241.0,46.0,269.0,821.0,157.0,0.0,1241.0,7.0,6.0,85.7,1.0,14.3,686.0,3006.0,1385.0,18.0,9.0,0.0,12.0,5.0,802.0,18.0,Argentinos Jun,Brasileiro,Franco Moyano (Argentinos Jun)
Miguel Ángel Torrén,ARG,DF,34.0,13.8,1078.0,110.0,527.0,539.0,25.0,1.0,1078.0,5.0,3.0,60.0,2.0,40.0,590.0,3563.0,2410.0,4.0,1.0,0.0,2.0,2.0,644.0,0.0,Argentinos Jun,Brasileiro,Miguel Ángel Torrén (Argentinos Jun)
Gastón Verón,ARG,"FW,MF",21.0,14.5,694.0,13.0,45.0,381.0,272.0,56.0,694.0,39.0,19.0,48.7,14.0,35.9,447.0,1752.0,662.0,16.0,18.0,4.0,42.0,38.0,573.0,101.0,Argentinos Jun,Brasileiro,Gastón Verón (Argentinos Jun)
Federico Lanzillota,ARG,GK,30.0,14.0,444.0,365.0,436.0,8.0,0.0,0.0,444.0,0.0,0.0,0.0,0.0,0.0,247.0,1097.0,577.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,Argentinos Jun,Brasileiro,Federico Lanzillota (Argentinos Jun)
Federico Redondo,ARG,MF,20.0,14.2,1033.0,23.0,217.0,666.0,167.0,13.0,1033.0,30.0,19.0,63.3,10.0,33.3,576.0,2686.0,1338.0,24.0,20.0,1.0,24.0,18.0,716.0,32.0,Argentinos Jun,Brasileiro,Federico Redondo (Argentinos Jun)
Alexis Martin Arias,ARG,GK,30.0,13.0,422.0,365.0,422.0,1.0,0.0,0.0,422.0,0.0,0.0,0.0,0.0,0.0,237.0,1131.0,626.0,0.0,0.0,0.0,2.0,0.0,172.0,0.0,Argentinos Jun,Brasileiro,Alexis Martin Arias (Argentinos Jun)
Alan Rodríguez,URU,MF,23.0,12.9,677.0,15.0,100.0,368.0,216.0,32.0,677.0,45.0,28.0,62.2,14.0,31.1,393.0,1836.0,879.0,19.0,17.0,4.0,27.0,17.0,426.0,53.0,Argentinos Jun,Brasileiro,Alan Rodríguez (Argentinos Jun)
Marco Di Cesare,ARG,DF,22.0,12.1,990.0,152.0,601.0,376.0,18.0,12.0,990.0,2.0,2.0,100.0,0.0,0.0,561.0,2836.0,1678.0,2.0,1.0,0.0,2.0,1.0,618.0,3.0,Argentinos Jun,Brasileiro,Marco Di Cesare (Argentinos Jun)
