Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team,Championship,Player_Team
Lucas Villalba,ARG,DF,28.0,23.8,0,20,0,0.0,0.84,0.0,0.0,0.0,22.2,1.0,0,0,0.9,0.9,0.05,-0.9,-0.9,Argentinos Jun,Brasileiro,Lucas Villalba (Argentinos Jun)
Gabriel Ávalos,PAR,FW,32.0,19.7,12,53,17,32.1,2.69,0.86,0.15,0.47,14.5,1.0,4,4,9.3,6.1,0.12,2.7,1.9,Argentinos Jun,Brasileiro,Gabriel Ávalos (Argentinos Jun)
Kevin Mac Allister,ARG,DF,25.0,19.2,4,30,10,33.3,1.56,0.52,0.13,0.4,13.1,0.0,0,0,3.2,3.2,0.11,0.8,0.8,Argentinos Jun,Brasileiro,Kevin Mac Allister (Argentinos Jun)
Francisco González,ARG,MF,25.0,17.6,5,46,16,34.8,2.62,0.91,0.11,0.31,17.1,4.0,0,0,5.4,5.4,0.12,-0.4,-0.4,Argentinos Jun,Brasileiro,Francisco González (Argentinos Jun)
Javier Cabrera,URU,"DF,MF",30.0,17.3,0,28,8,28.6,1.62,0.46,0.0,0.0,15.6,0.0,0,0,2.3,2.3,0.08,-2.3,-2.3,Argentinos Jun,Brasileiro,Javier Cabrera (Argentinos Jun)
Santiago Gabriel,ARG,"DF,MF",22.0,18.0,2,31,8,25.8,1.72,0.44,0.03,0.13,21.2,2.0,1,1,2.4,1.6,0.05,-0.4,-0.6,Argentinos Jun,Brasileiro,Santiago Gabriel (Argentinos Jun)
Franco Moyano,ARG,MF,25.0,17.4,0,11,1,9.1,0.63,0.06,0.0,0.0,28.4,1.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Argentinos Jun,Brasileiro,Franco Moyano (Argentinos Jun)
Miguel Ángel Torrén,ARG,DF,34.0,13.8,0,4,1,25.0,0.29,0.07,0.0,0.0,29.7,4.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Argentinos Jun,Brasileiro,Miguel Ángel Torrén (Argentinos Jun)
Gastón Verón,ARG,"FW,MF",21.0,14.5,0,31,9,29.0,2.13,0.62,0.0,0.0,14.6,0.0,0,0,2.2,2.2,0.07,-2.2,-2.2,Argentinos Jun,Brasileiro,Gastón Verón (Argentinos Jun)
Federico Lanzillota,ARG,GK,30.0,14.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Argentinos Jun,Brasileiro,Federico Lanzillota (Argentinos Jun)
