Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition,Playing Time_90s
1,Alisson,BRA,GK,Liverpool,eng Premier League,31-098,1992,18,18,1620,18.0,0.83,0.83,3.44,2.67,77.4,0.61,0.33,0.06,0.33,33.3,0.06,0.06,0.0,0.0,0.0,https://fbref.com/en/players/7a2e46a8/Alisson,7a2e46a8,Big 5 combined,
2,Alphonse Areola,FRA,GK,West Ham,eng Premier League,30-315,1993,17,17,1530,17.0,1.41,1.41,5.35,3.94,76.9,0.47,0.24,0.29,0.24,23.5,0.24,0.18,0.06,0.0,25.0,https://fbref.com/en/players/2f965a72/Alphonse-Areola,2f965a72,Big 5 combined,
3,Kepa Arrizabalaga,ESP,GK,Real Madrid,es La Liga,29-097,1994,11,11,990,11.0,0.64,0.64,2.91,2.36,78.1,0.73,0.18,0.09,0.55,54.5,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga,28d596a0,Big 5 combined,
4,Noah Atubolu,GER,GK,Freiburg,de Bundesliga,21-228,2002,16,16,1440,16.0,1.63,1.62,3.81,2.25,60.7,0.44,0.19,0.38,0.38,37.5,0.13,0.13,0.0,0.0,0.0,https://fbref.com/en/players/dbd1b101/Noah-Atubolu,dbd1b101,Big 5 combined,
5,Francisco Barbosa,ESP,GK,Betis,es La Liga,24-246,1999,3,2,225,2.5,1.6,1.6,5.6,4.0,71.4,0.4,0.4,0.0,0.4,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/2ae958ab/Francisco-Barbosa,2ae958ab,Big 5 combined,
6,Augusto Batalla,ARG,GK,Granada,es La Liga,27-253,1996,1,1,90,1.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/fc627681/Augusto-Batalla,fc627681,Big 5 combined,
7,Daniel Batz,GER,GK,Mainz 05,de Bundesliga,32-361,1991,4,4,360,4.0,0.75,0.75,4.25,3.5,82.4,0.0,0.5,0.5,0.25,25.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/ec759ba1/Daniel-Batz,ec759ba1,Big 5 combined,
8,Oliver Baumann,GER,GK,Hoffenheim,de Bundesliga,33-220,1990,16,16,1440,16.0,1.88,1.87,5.81,3.81,68.8,0.44,0.19,0.38,0.06,6.3,0.25,0.06,0.19,0.0,75.0,https://fbref.com/en/players/47064058/Oliver-Baumann,47064058,Big 5 combined,
9,Daniel Bentley,ENG,GK,Wolves,eng Premier League,30-179,1993,3,2,248,2.8,1.07,1.09,3.57,2.5,70.0,0.36,0.0,0.36,0.36,50.0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/68db6358/Daniel-Bentley,68db6358,Big 5 combined,
10,Etrit Berisha,ALB,GK,Empoli,it Serie A,34-304,1989,14,14,1260,14.0,1.79,1.79,5.29,3.5,68.9,0.21,0.21,0.57,0.29,28.6,0.21,0.14,0.07,0.0,33.3,https://fbref.com/en/players/ee833569/Etrit-Berisha,ee833569,Big 5 combined,
