Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Ricardo Batista,pt POR,GK,37-041,14.0,466,302,164,47,0,2,0,0,0,0,0,0,318,0,0,Matches
Nermin Zolotić,ba BIH,DF,30-176,13.8,725,689,33,31,1,5,3,2,0,0,0,0,628,3,4,Matches
Leonardo Lelo,pt POR,"MF,DF",23-275,13.7,657,468,187,15,3,4,60,138,34,21,12,0,475,2,21,Matches
Fernando Varela,cv CPV,DF,36-034,12.9,486,458,27,26,2,9,0,0,0,0,0,0,393,1,2,Matches
Yuki Soma,jp JPN,"FW,MF",26-308,10.2,222,189,32,9,4,3,35,7,16,11,2,0,136,1,12,Matches
Larra,es ESP,"MF,DF",26-013,9.7,442,325,116,4,0,1,22,104,8,4,3,0,333,1,10,Matches
Clayton,br BRA,FW,24-353,9.7,176,155,20,0,2,0,6,0,0,0,0,0,118,1,8,Matches
Vasco Fernandes,pt POR,DF,37-048,10.0,441,413,25,25,1,1,2,0,0,0,0,0,359,3,3,Matches
Neto,br BRA,MF,32-119,8.9,382,363,17,12,1,2,6,1,4,2,2,0,301,2,7,Matches
Pablo Roberto,br BRA,MF,24-046,8.9,312,301,9,8,6,4,5,1,0,0,0,0,234,2,9,Matches
Beni,ao ANG,MF,21-223,7.2,298,288,7,4,2,2,5,1,0,0,0,0,267,3,2,Matches
Felippe Cardoso,br BRA,FW,25-087,5.7,78,67,9,0,0,1,3,0,0,0,0,0,56,2,4,Matches
João Nunes,pt POR,DF,28-041,4.1,194,180,14,10,0,1,1,4,0,0,0,0,159,0,1,Matches
Saviour Godwin,ng NGA,"FW,MF",27-130,3.8,80,80,0,0,0,0,15,0,0,0,0,0,44,0,7,Matches
Samuel Justo,pt POR,MF,19-272,3.8,180,174,5,4,1,1,3,0,1,0,1,0,139,1,3,Matches
Tiago Dias,pt POR,"MF,FW",25-240,3.8,141,116,25,7,0,0,42,10,8,3,4,0,96,0,5,Matches
Fernando,br BRA,FW,30-356,4.1,91,83,8,0,1,0,8,7,1,0,0,0,63,0,8,Matches
Jajá,br BRA,FW,22-259,3.9,84,79,4,2,0,1,5,2,0,0,0,0,48,1,6,Matches
André Geraldes,pt POR,"MF,DF",32-242,4.0,186,136,50,4,0,0,5,46,0,0,0,0,133,0,3,Matches
Artur Serobyan,am ARM,MF,20-181,0.7,14,14,0,0,0,0,0,0,0,0,0,0,8,0,1,Matches
Telasco Segovia,ve VEN,MF,20-272,0.3,13,13,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
Rafael Martins,br BRA,MF,34-288,0.3,12,12,0,0,0,0,0,0,0,0,0,0,10,0,1,Matches
Duplexe Tchamba,cm CMR,"DF,FW",25-173,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Diogo Pinto,pt POR,MF,24-184,0.1,5,4,1,1,0,0,1,0,0,0,0,0,3,0,0,Matches
Squad Total,,,28.9,14.0,5687,4911,753,209,24,37,227,323,72,41,24,0,4333,23,117,
Opponent Total,,,26.7,14.0,7411,6639,744,225,18,57,269,306,76,38,25,1,6032,28,144,
