Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Lucas Villalba,ar ARG,DF,28.0,23.8,1379,1807,76.3,30048,13479,417,476,87.6,674,792,85.1,277,479,57.8,1,1.2,1.9,-0.2,10,179,27,10,219,Matches
Gabriel Ávalos,py PAR,FW,32.0,19.7,303,490,61.8,4085,934,173,254,68.1,99,144,68.8,11,23,47.8,2,3.1,2.2,-1.1,33,26,12,0,43,Matches
Kevin Mac Allister,ar ARG,DF,25.0,19.2,947,1256,75.4,16760,7642,386,442,87.3,460,584,78.8,84,182,46.2,0,0.4,0.9,-0.4,8,106,7,1,142,Matches
Francisco González,ar ARG,MF,25.0,17.6,470,620,75.8,6797,2128,249,300,83.0,159,199,79.9,26,52,50.0,2,1.9,1.7,0.1,20,51,17,3,87,Matches
Javier Cabrera,uy URU,"DF,MF",30.0,17.3,475,731,65.0,7800,3232,234,290,80.7,180,269,66.9,42,93,45.2,2,3.8,4.8,-1.8,44,41,43,17,78,Matches
Santiago Gabriel,ar ARG,"DF,MF",22.0,18.0,557,848,65.7,10116,3060,237,283,83.7,236,319,74.0,69,162,42.6,2,1.8,2.0,0.2,16,39,19,9,65,Matches
Franco Moyano,ar ARG,MF,25.0,17.4,965,1113,86.7,17431,4308,393,435,90.3,453,504,89.9,102,148,68.9,1,1.3,1.1,-0.3,23,74,5,3,79,Matches
Miguel Ángel Torrén,ar ARG,DF,34.0,13.8,806,970,83.1,18414,7477,194,207,93.7,431,488,88.3,177,264,67.0,1,0.6,0.6,0.4,7,45,7,1,76,Matches
Gastón Verón,ar ARG,"FW,MF",21.0,14.5,385,514,74.9,5762,1438,212,267,79.4,122,151,80.8,27,38,71.1,0,2.1,1.9,-2.1,16,38,17,1,74,Matches
Federico Lanzillota,ar ARG,GK,30.0,14.0,353,423,83.5,8422,5708,95,96,99.0,153,153,100.0,89,158,56.3,0,0.0,0.0,0.0,0,9,0,0,0,Matches
