Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Lucas Villalba,ar ARG,DF,28.0,24,24,2146.0,23.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,1.2,2.1,49.0,219.0,20.0,0.0,0.04,0.04,0.0,0.04,0.04,0.05,0.09,0.04,0.09,Matches
Gabriel Ávalos,py PAR,FW,32.0,25,21,1773.0,19.7,12.0,2.0,14.0,8.0,4.0,4.0,4.0,0.0,9.3,6.1,3.1,9.3,17.0,43.0,178.0,0.61,0.1,0.71,0.41,0.51,0.47,0.16,0.63,0.31,0.47,Matches
Kevin Mac Allister,ar ARG,DF,25.0,20,20,1728.0,19.2,4.0,0.0,4.0,4.0,0.0,0.0,5.0,1.0,3.2,3.2,0.4,3.6,19.0,142.0,34.0,0.21,0.0,0.21,0.21,0.21,0.17,0.02,0.19,0.17,0.19,Matches
Francisco González,ar ARG,MF,25.0,25,19,1581.0,17.6,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,5.4,5.4,1.9,7.2,36.0,87.0,111.0,0.28,0.11,0.4,0.28,0.4,0.31,0.11,0.41,0.31,0.41,Matches
Javier Cabrera,uy URU,"DF,MF",30.0,23,19,1558.0,17.3,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,2.3,2.3,3.8,6.1,51.0,78.0,223.0,0.0,0.12,0.12,0.0,0.12,0.13,0.22,0.35,0.13,0.35,Matches
Santiago Gabriel,ar ARG,"DF,MF",22.0,24,17,1619.0,18.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0,2.0,2.4,1.6,1.8,3.4,52.0,65.0,114.0,0.11,0.11,0.22,0.06,0.17,0.13,0.1,0.23,0.09,0.19,Matches
Franco Moyano,ar ARG,MF,25.0,21,16,1567.0,17.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.3,1.6,18.0,79.0,18.0,0.0,0.06,0.06,0.0,0.06,0.02,0.07,0.09,0.02,0.09,Matches
Miguel Ángel Torrén,ar ARG,DF,34.0,15,15,1238.0,13.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.6,0.8,4.0,76.0,0.0,0.0,0.07,0.07,0.0,0.07,0.02,0.04,0.06,0.02,0.06,Matches
Gastón Verón,ar ARG,"FW,MF",21.0,24,14,1308.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.2,2.2,2.1,4.3,16.0,74.0,101.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.3,0.15,0.3,Matches
Federico Lanzillota,ar ARG,GK,30.0,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Federico Redondo,ar ARG,MF,20.0,21,13,1282.0,14.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.7,0.7,1.2,1.8,24.0,106.0,32.0,0.07,0.07,0.14,0.07,0.14,0.05,0.08,0.13,0.05,0.13,Matches
Alexis Martin Arias,ar ARG,GK,30.0,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
