Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1,Max Aarons,ENG,DF,Bournemouth,eng Premier League,24-117,2000,13.0,51.7,3.23,18.7,22.2,11.5,0.85,51.7,2.46,1.00,40.6,0.85,34.4,26.6,160.8,83.0,1.62,0.92,0.54,0.85,0.62,26.9,1.92,https://fbref.com/en/players/774cf58b/Max-Aarons,774cf58b,Big 5 combined
2,Brenden Aaronson,USA,"MF,FW",Union Berlin,de Bundesliga,23-191,2000,12.1,48.3,0.91,8.26,22.0,19.9,3.31,48.3,4.88,2.07,42.4,2.73,55.9,27.9,188.1,94.8,2.56,1.90,0.41,2.89,2.31,31.9,5.95,https://fbref.com/en/players/5bc43860/Brenden-Aaronson,5bc43860,Big 5 combined
3,Paxten Aaronson,USA,MF,Eint Frankfurt,de Bundesliga,20-248,2003,1.1,65.5,0.00,5.45,35.5,25.5,4.55,65.5,6.36,1.82,28.6,3.64,57.1,39.1,175.5,45.5,1.82,0.00,0.91,4.55,3.64,41.8,6.36,https://fbref.com/en/players/4cd41883/Paxten-Aaronson,4cd41883,Big 5 combined
4,Keyliane Abdallah,FRA,FW,Marseille,fr Ligue 1,18-025,2006,0.0,1,0,0,1,0,0,1,0,0,,0,,1,3,0,0,0,0,0,0,1,0,https://fbref.com/en/players/7310786d/Keyliane-Abdallah,7310786d,Big 5 combined
5,Yunis Abdelhamid,MAR,DF,Reims,fr Ligue 1,36-215,1987,27.9,73.1,8.89,31.5,38.4,4.05,1.22,73.1,0.54,0.29,53.3,0.25,46.7,50.8,294.2,167.5,1.25,0.68,0.00,0.75,0.14,47.9,0.32,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,32c2d95f,Big 5 combined
6,Salis Abdul Samed,GHA,MF,Lens,fr Ligue 1,24-035,2000,16.7,60.4,1.20,9.82,38.3,12.9,0.42,60.4,1.14,0.42,36.8,0.66,57.9,48.7,256.6,97.7,0.48,1.92,0.00,1.32,0.66,46.1,1.20,https://fbref.com/en/players/82464ce3/Salis-Abdul-Samed,82464ce3,Big 5 combined
7,Laurent Abergel,FRA,MF,Lorient,fr Ligue 1,31-089,1993,28.8,68.5,3.37,17.7,41.4,10.3,0.35,68.5,2.08,1.49,71.7,0.52,25.0,51.8,267.7,119.6,1.18,1.32,0.10,1.01,0.94,48.0,1.67,https://fbref.com/en/players/31626657/Laurent-Abergel,31626657,Big 5 combined
8,Matthis Abline,FRA,FW,Nantes,fr Ligue 1,21-033,2003,9.1,34.1,0.88,3.19,13.5,18.4,5.82,34.1,2.42,1.43,59.1,0.99,40.9,26.0,165.7,74.2,2.31,1.98,1.32,4.73,1.32,25.8,8.02,https://fbref.com/en/players/0e46fa2f/Matthis-Abline,0e46fa2f,Big 5 combined
9,Abner,BRA,DF,Betis,es La Liga,23-339,2000,14.0,62.5,4.29,22.2,25.6,15.4,1.93,62.5,0.93,0.50,53.8,0.36,38.5,29.9,120.9,63.1,0.93,0.71,0.36,1.14,0.79,32.9,4.07,https://fbref.com/en/players/7f9c5d2d/Abner,7f9c5d2d,Big 5 combined
10,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,fr Ligue 1,24-072,2000,7.0,35.1,0.14,3.71,15.1,17.0,4.57,35.0,3.43,0.71,20.8,2.57,75.0,25.7,179.1,83.4,2.71,1.57,0.86,2.71,1.29,26.9,8.71,https://fbref.com/en/players/c2a6033c/Zakaria-Aboukhlal,c2a6033c,Big 5 combined
11,Abdel Abqar,MAR,DF,Alavés,es La Liga,25-051,1999,21.2,41.7,7.74,23.3,16.9,1.56,0.80,41.7,0.24,0.14,60.0,0.05,20.0,20.6,103.9,60.7,0.24,0.28,0.00,0.61,0.05,20.8,0.00,https://fbref.com/en/players/2bc7f211/Abdel-Abqar,2bc7f211,Big 5 combined
12,Tammy Abraham,ENG,FW,Roma,it Serie A,26-211,1997,1.2,23.3,2.50,2.50,12.5,8.33,1.67,23.3,2.50,0.00,0.0,2.50,100.0,11.7,71.7,33.3,1.67,0.83,0.83,4.17,0.00,18.3,3.33,https://fbref.com/en/players/f586779e/Tammy-Abraham,f586779e,Big 5 combined
13,Francesco Acerbi,ITA,DF,Inter,it Serie A,36-080,1988,24.5,74.5,8.33,34.7,36.5,3.67,0.98,74.5,0.12,0.08,66.7,0.04,33.3,45.0,215.9,115.8,0.78,0.33,0.00,0.12,0.04,54.0,0.90,https://fbref.com/en/players/b96b595c/Francesco-Acerbi,b96b595c,Big 5 combined
14,Marcos Acuña,ARG,DF,Sevilla,es La Liga,32-185,1991,11.2,67.8,1.96,19.1,33.8,16.0,0.63,67.8,1.52,0.80,52.9,0.45,29.4,33.1,156.9,86.1,1.70,1.34,0.27,1.43,0.80,37.9,2.50,https://fbref.com/en/players/81442ecb/Marcos-Acuna,81442ecb,Big 5 combined
15,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,eng Premier League,21-152,2002,4.3,26.0,0.47,4.42,11.4,11.2,2.09,26.0,5.12,1.16,22.7,3.49,68.2,16.7,107.4,40.5,1.63,1.16,0.70,2.33,1.63,16.0,3.26,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,Big 5 combined
16,Bénie Adama Traore,CIV,"FW,MF",Nantes,fr Ligue 1,21-152,2002,3.6,39.4,1.11,4.44,15.8,20.6,4.72,39.4,4.44,2.50,56.3,1.67,37.5,30.3,233.9,113.3,4.72,3.61,1.39,3.33,1.94,27.8,10.3,https://fbref.com/en/players/77816c91/Benie-Adama-Traore,77816c91,Big 5 combined
17,Akor Adams,NGA,FW,Montpellier,fr Ligue 1,24-092,2000,23.1,25.3,0.69,2.55,10.4,12.9,4.76,25.3,1.73,0.56,32.5,1.04,60.0,17.7,109.0,41.4,1.69,0.95,0.91,2.60,1.21,18.9,5.28,https://fbref.com/en/players/2ccd39ed/Akor-Adams,2ccd39ed,Big 5 combined
18,Tyler Adams,USA,MF,Bournemouth,eng Premier League,25-076,1999,1.2,68.3,2.50,18.3,40.0,10.0,2.50,68.3,1.67,0.83,50.0,0.00,0.0,30.8,134.2,86.7,2.50,0.83,0.83,2.50,0.00,36.7,0.83,https://fbref.com/en/players/2b09d998/Tyler-Adams,2b09d998,Big 5 combined
19,Junior Adamu,AUT,"FW,MF",Freiburg,de Bundesliga,22-329,2001,1.1,46.4,0.91,4.55,27.3,16.4,5.45,46.4,2.73,0.00,0.0,1.82,66.7,24.5,124.5,43.6,0.91,0.91,0.00,4.55,3.64,27.3,4.55,https://fbref.com/en/players/82e12fe7/Junior-Adamu,82e12fe7,Big 5 combined
20,Sargis Adamyan,ARM,"FW,MF",Köln,de Bundesliga,30-343,1993,8.3,35.7,0.96,3.61,17.2,15.4,5.66,35.7,2.05,0.84,41.2,1.08,52.9,19.0,97.0,41.4,1.81,1.08,0.60,3.01,2.05,21.1,4.94,https://fbref.com/en/players/22919e97/Sargis-Adamyan,22919e97,Big 5 combined
21,Tosin Adarabioyo,ENG,DF,Fulham,eng Premier League,26-219,1997,18.0,77.2,10.1,39.6,35.1,2.67,1.61,77.2,0.17,0.06,33.3,0.00,0.0,45.4,253.3,147.8,0.56,0.67,0.06,0.22,0.22,56.1,0.28,https://fbref.com/en/players/c81d773d/Tosin-Adarabioyo,c81d773d,Big 5 combined
22,Elijah Adebayo,ENG,FW,Luton Town,eng Premier League,26-114,1998,13.1,30.7,1.83,3.51,11.8,15.7,5.73,30.7,4.20,1.15,27.3,2.82,67.3,17.3,98.7,27.2,1.07,0.92,0.84,4.35,2.06,22.1,6.87,https://fbref.com/en/players/0480ebc7/Elijah-Adebayo,0480ebc7,Big 5 combined
23,Karim Adeyemi,GER,"FW,MF",Dortmund,de Bundesliga,22-103,2002,9.2,43.7,1.09,7.28,16.3,20.9,5.98,43.7,5.54,1.41,25.5,3.15,56.9,29.0,226.6,105.9,4.67,1.74,2.61,3.04,2.17,29.3,9.46,https://fbref.com/en/players/501055d8/Karim-Adeyemi,501055d8,Big 5 combined
24,Simon Adingra,CIV,FW,Brighton,eng Premier League,22-120,2002,20.9,46.9,1.15,7.03,15.1,25.6,5.89,46.9,5.12,2.15,42.1,2.63,51.4,31.4,203.2,117.7,4.35,1.91,2.39,1.96,1.24,32.5,11.7,https://fbref.com/en/players/4dcec659/Simon-Adingra,4dcec659,Big 5 combined
25,Nathaniel Adjei,GHA,DF,Lorient,fr Ligue 1,21-253,2002,12.1,60.2,6.61,27.6,29.7,3.39,0.74,60.2,0.41,0.41,100.0,0.00,0.0,40.2,253.8,121.2,0.83,0.91,0.00,0.91,0.33,38.2,0.33,https://fbref.com/en/players/c55de1f5/Nathaniel-Adjei,c55de1f5,Big 5 combined
26,Amine Adli,MAR,"MF,FW",Leverkusen,de Bundesliga,23-356,2000,9.0,56.6,0.56,5.44,22.2,29.6,6.22,56.6,2.78,1.33,48.0,1.00,36.0,34.0,175.6,98.9,3.33,2.33,1.67,1.78,0.78,45.4,13.4,https://fbref.com/en/players/dcfb17f4/Amine-Adli,dcfb17f4,Big 5 combined
27,Yacine Adli,FRA,MF,Milan,it Serie A,23-276,2000,15.2,91.4,2.43,16.8,57.8,17.9,0.53,91.4,1.97,1.32,66.7,0.53,26.7,55.6,302.2,135.1,1.91,1.71,0.20,1.12,0.53,66.7,1.64,https://fbref.com/en/players/26777636/Yacine-Adli,26777636,Big 5 combined
28,Adryelson,BRA,"DF,FW",Lyon,fr Ligue 1,26-038,1998,0.1,90.0,20.0,90.0,0.00,0.00,0.00,90.0,0.00,0.00,,0.00,,50.0,220.0,90.0,0.00,0.00,0.00,0.00,0.00,50.0,0.00,https://fbref.com/en/players/e980e78d/Adryelson,e980e78d,Big 5 combined
29,Adson,BRA,"MF,FW",Nantes,fr Ligue 1,23-207,2000,2.6,62.7,0.00,6.92,31.2,26.2,3.85,62.7,3.08,1.92,62.5,1.15,37.5,52.7,359.2,173.5,6.92,3.46,1.54,1.54,1.54,48.8,7.31,https://fbref.com/en/players/eda38706/Adson,eda38706,Big 5 combined
30,Michel Aebischer,SUI,MF,Bologna,it Serie A,27-115,1997,21.9,67.9,1.92,15.6,41.3,11.5,1.05,67.9,1.00,0.64,63.6,0.32,31.8,41.5,180.2,89.0,0.96,0.91,0.14,1.19,0.64,52.8,2.37,https://fbref.com/en/players/f9c927de/Michel-Aebischer,f9c927de,Big 5 combined
31,Emmanuel Agbadou,CIV,DF,Reims,fr Ligue 1,26-318,1997,25.8,79.0,7.75,28.2,45.2,6.28,1.20,79.0,1.09,0.50,46.4,0.58,53.6,56.4,361.4,189.0,1.55,0.97,0.04,0.93,0.89,51.2,0.74,https://fbref.com/en/players/75f1ed80/Emmanuel-Agbadou,75f1ed80,Big 5 combined
32,Julen Agirrezabala,ESP,GK,Athletic Club,es La Liga,23-126,2000,1.0,38.0,33.0,38.0,0.00,0.00,0.00,38.0,0.00,0.00,,0.00,,23.0,138.0,74.0,0.00,0.00,0.00,0.00,0.00,16.0,0.00,https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala,a2c1a8d3,Big 5 combined
33,Lucien Agoume,FRA,MF,Inter,it Serie A,22-081,2002,0.1,60.0,0.00,10.0,40.0,10.0,0.00,60.0,10.0,0.00,0.0,10.0,100.0,20.0,70.0,50.0,0.00,10.0,0.00,0.00,0.00,40.0,0.00,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,8bc8829a,Big 5 combined
34,Lucien Agoume,FRA,MF,Sevilla,es La Liga,22-081,2002,3.8,47.1,1.84,11.3,27.1,8.68,0.26,47.1,0.00,0.00,,0.00,,21.8,100.5,58.2,0.00,0.26,0.00,0.00,0.00,28.9,1.32,https://fbref.com/en/players/8bc8829a/Lucien-Agoume,8bc8829a,Big 5 combined
35,Felix Agu,GER,"DF,MF",Werder Bremen,de Bundesliga,24-216,1999,15.3,47.7,3.46,16.5,19.5,12.1,1.18,47.7,1.90,0.72,37.9,0.92,48.3,24.2,130.8,70.1,1.76,0.78,0.39,1.70,0.65,25.3,4.71,https://fbref.com/en/players/cb6d81b3/Felix-Agu,cb6d81b3,Big 5 combined
36,Nayef Aguerd,MAR,DF,West Ham,eng Premier League,28-031,1996,20.6,66.7,9.08,34.4,30.0,2.43,1.02,66.7,0.24,0.15,60.0,0.10,40.0,41.8,204.4,115.9,0.49,0.39,0.00,0.49,0.10,44.3,0.15,https://fbref.com/en/players/288e1e13/Nayef-Aguerd,288e1e13,Big 5 combined
37,Ruben Aguilar,FRA,DF,Lens,fr Ligue 1,31-004,1993,20.3,71.8,2.81,15.0,32.8,24.5,1.77,71.8,0.94,0.30,31.6,0.54,57.9,48.5,251.6,113.1,1.77,1.77,0.10,1.43,0.44,45.7,7.59,https://fbref.com/en/players/3dd738a1/Ruben-Aguilar,3dd738a1,Big 5 combined
