Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
1,Max Aarons,ENG,DF,Bournemouth,eng Premier League,24-117,2000,18,1166,65,37.0,13.0,0.92,86,0.69,0.46,22,0.31,0.89,0.85,2.38,-1.54,-1.54,-1.95,0.98,2.02,-1.03,-1.03,-1.64,https://fbref.com/en/players/774cf58b/Max-Aarons,774cf58b,Big 5 combined
2,Brenden Aaronson,USA,"MF,FW",Union Berlin,de Bundesliga,23-191,2000,27,1090,40,39.1,12.1,0.99,68,0.17,1.24,18,0.17,1.07,0.91,1.74,-0.83,-0.83,-0.08,1.01,1.52,-0.51,-0.51,-0.31,https://fbref.com/en/players/5bc43860/Brenden-Aaronson,5bc43860,Big 5 combined
3,Paxten Aaronson,USA,MF,Eint Frankfurt,de Bundesliga,20-248,2003,7,101,14,3.6,1.1,0.91,45,0.00,5.45,9,6.36,0.86,1.82,1.82,0.00,0.00,-0.17,1.00,2.36,-1.36,-1.30,-1.12,https://fbref.com/en/players/4cd41883/Paxten-Aaronson,4cd41883,Big 5 combined
4,James Abankwah,IRL,DF,Udinese,it Serie A,20-105,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/4b7a9fcc/James-Abankwah,4b7a9fcc,Big 5 combined
5,Keyliane Abdallah,FRA,FW,Marseille,fr Ligue 1,18-025,2006,1,4,4,0.1,0.0,0,,0,1,4,1,1.00,1,0,+1,+22.50,+22.24,0.2,0.0,+0.2,+4.03,+3.45,https://fbref.com/en/players/7310786d/Keyliane-Abdallah,7310786d,Big 5 combined
6,Yunis Abdelhamid,MAR,DF,Reims,fr Ligue 1,36-215,1987,28,2511,90,90.0,27.9,1.00,90,0.97,0.00,,0.00,1.18,1.18,1.58,-0.39,-0.39,-1.68,1.29,1.41,-0.12,-0.12,-0.95,https://fbref.com/en/players/32c2d95f/Yunis-Abdelhamid,32c2d95f,Big 5 combined
7,Salis Abdul Samed,GHA,MF,Lens,fr Ligue 1,24-035,2000,25,1507,60,54.0,16.7,1.02,81,0.66,0.48,17,0.18,1.72,1.20,1.08,0.12,+0.12,-0.16,1.47,1.44,0.02,+0.03,-0.13,https://fbref.com/en/players/82464ce3/Salis-Abdul-Samed,82464ce3,Big 5 combined
8,Adam Abeddou,FRA,MF,Lens,fr Ligue 1,27-257,1996,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/5b7aa908/Adam-Abeddou,5b7aa908,Big 5 combined
9,Nabil Aberdin,FRA,DF,Getafe,es La Liga,21-251,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/cadfa7d1/Nabil-Aberdin,cadfa7d1,Big 5 combined
10,Laurent Abergel,FRA,MF,Lorient,fr Ligue 1,31-089,1993,30,2590,86,92.8,28.8,1.01,89,0.90,0.03,23,0.00,0.87,1.22,1.88,-0.66,-0.66,+1.59,0.99,1.55,-0.56,-0.56,+0.29,https://fbref.com/en/players/31626657/Laurent-Abergel,31626657,Big 5 combined
