Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Filipe Relvas,pt POR,DF,24-101,13.8,599,742,80.7,11612,4643,208,241,86.3,317,363,87.3,67,118,56.8,1,0.2,0.3,0.8,5,38,6,2,42,Matches
Carlinhos,br BRA,MF,29-191,12.9,441,582,75.8,8529,2586,187,225,83.1,173,201,86.1,74,123,60.2,2,2.1,1.8,-0.1,25,51,6,1,69,Matches
Vinicius Silvestre,br BRA,GK,29-277,12.0,283,403,70.2,8825,6644,29,29,100.0,146,152,96.1,107,220,48.6,0,0.0,0.0,0.0,0,4,1,0,0,Matches
Hélio Varela,cv CPV,"FW,MF",21-241,11.9,233,307,75.9,3453,664,140,162,86.4,69,91,75.8,15,20,75.0,0,0.2,0.7,-0.2,5,15,11,2,35,Matches
Pedrão,br BRA,DF,26-241,11.5,441,560,78.8,8986,4142,153,167,91.6,220,260,84.6,66,123,53.7,0,0.2,0.1,-0.2,6,33,5,1,42,Matches
Alemão,br BRA,DF,21-054,10.9,325,391,83.1,6748,2695,103,112,92.0,176,191,92.1,43,80,53.8,0,0.3,0.0,-0.3,2,11,0,0,14,Matches
Dener,br BRA,MF,31-292,9.8,308,376,81.9,5391,1930,138,152,90.8,137,158,86.7,27,42,64.3,1,0.3,0.4,0.7,5,30,3,0,34,Matches
Sylvester Jasper,bg BUL,"FW,MF",22-108,9.4,174,240,72.5,2412,553,100,116,86.2,58,78,74.4,5,16,31.3,2,0.9,0.8,1.1,7,11,7,2,22,Matches
Gonçalo Costa,pt POR,"DF,MF",23-315,9.9,337,477,70.6,5517,2599,171,205,83.4,139,178,78.1,23,59,39.0,3,1.7,1.2,1.3,14,32,11,9,41,Matches
Ronie Carrillo,ec ECU,FW,27-113,8.4,128,186,68.8,1786,267,83,105,79.0,39,58,67.2,3,6,50.0,0,1.0,0.7,-1.0,10,5,7,2,13,Matches
Guga,pt POR,"DF,MF",20-068,7.2,157,206,76.2,2486,864,87,105,82.9,61,75,81.3,7,16,43.8,0,0.1,0.1,-0.1,2,4,2,2,4,Matches
Igor Marques,br BRA,"DF,MF",24-356,6.4,218,290,75.2,3506,1586,103,117,88.0,92,110,83.6,13,33,39.4,1,0.9,0.7,0.1,8,16,7,6,20,Matches
Maurício,br BRA,MF,35-070,5.0,169,204,82.8,2623,642,89,101,88.1,64,73,87.7,8,14,57.1,0,0.0,0.1,0.0,2,13,1,0,16,Matches
Rildo,br BRA,"FW,MF",23-343,5.7,71,100,71.0,1106,278,41,48,85.4,22,32,68.8,6,13,46.2,1,0.7,0.4,0.3,3,6,2,0,9,Matches
Moustapha Seck,sn SEN,"DF,MF",27-310,3.3,104,159,65.4,1752,608,45,58,77.6,43,63,68.3,11,24,45.8,0,0.0,0.1,0.0,1,3,1,1,6,Matches
Paulo Estrela Moreira,pt POR,"MF,FW",24-313,4.2,191,240,79.6,3706,1217,63,76,82.9,95,104,91.3,27,51,52.9,1,0.1,0.1,0.9,3,24,1,0,22,Matches
Nonoca,br BRA,"MF,FW",25-225,3.6,115,131,87.8,2051,431,44,47,93.6,56,65,86.2,10,13,76.9,0,0.4,0.4,-0.4,4,6,1,1,4,Matches
Kosuke Nakamura,jp JPN,GK,28-306,2.0,55,74,74.3,1399,909,10,10,100.0,30,30,100.0,15,34,44.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Paulinho,pt POR,"FW,MF",24-100,1.9,21,34,61.8,254,54,11,15,73.3,7,13,53.8,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Rafael Alcobia,pt POR,DF,20-191,1.3,59,75,78.7,1234,555,18,18,100.0,31,36,86.1,9,19,47.4,0,0.1,0.0,-0.1,2,6,1,0,3,Matches
Luan Campos,br BRA,"FW,MF",21-286,1.1,13,25,52.0,228,75,4,6,66.7,6,9,66.7,2,5,40.0,0,0.2,0.1,-0.2,2,1,0,0,2,Matches
Zinho,br BRA,"FW,MF",20-235,1.3,18,26,69.2,225,57,11,14,78.6,5,9,55.6,1,1,100.0,0,0.4,0.6,-0.4,2,0,1,0,2,Matches
Midana Cassama,gw GNB,MF,21-134,0.2,3,5,60.0,29,0,3,4,75.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Jose Souza,pt POR,MF,22-204,0.1,8,8,100.0,149,71,4,4,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Dennis Adeniran,eng ENG,MF,24-362,0.1,2,2,100.0,31,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.7,14.0,4473,5843,76.6,84038,34070,1846,2138,86.3,1990,2354,84.5,540,1031,52.4,12,9.7,8.6,2.3,108,311,74,29,401,
Opponent Total,,,26.5,14.0,5846,7315,79.9,110004,41541,2337,2688,86.9,2699,3105,86.9,684,1165,58.7,23,16.6,18.7,6.4,165,472,143,49,650,
