Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Team,Championship,Player_Team
Ignacio De Arruabarrena,URU,GK,26,15,15,1350,15.0,20,1.33,60,39,73.3,4,4,7,2,13.3,6,4,1,1,20.0,Arouca,Brasileiro,Ignacio De Arruabarrena (Arouca)
Anatolii Trubin,UKR,GK,22,11,11,990,11.0,5,0.45,36,29,88.9,8,3,0,6,54.5,3,1,2,0,66.7,Benfica,Brasileiro,Anatolii Trubin (Benfica)
Samuel Soares,POR,GK,21,3,3,270,3.0,2,0.67,9,7,77.8,3,0,0,2,66.7,0,0,0,0,0.0,Benfica,Brasileiro,Samuel Soares (Benfica)
Odisseas Vlachodimos,GRE,GK,29,1,1,90,1.0,3,3.0,4,1,50.0,0,0,1,0,0.0,1,1,0,0,0.0,Benfica,Brasileiro,Odisseas Vlachodimos (Benfica)
João Gonçalves,POR,GK,23,14,14,1260,14.0,28,2.0,77,50,66.2,4,4,6,0,0.0,2,2,0,0,0.0,Boavista,Brasileiro,João Gonçalves (Boavista)
Matheus,BRA,GK,31,14,14,1260,14.0,21,1.5,57,36,64.9,9,2,3,1,7.1,2,1,0,1,0.0,Braga,Brasileiro,Matheus (Braga)
Ricardo Batista,POR,GK,37,14,14,1260,14.0,17,1.21,75,58,77.3,4,4,6,4,28.6,0,0,0,0,0.0,Casa Pia,Brasileiro,Ricardo Batista (Casa Pia)
Hugo Souza,BRA,GK,24,11,11,990,11.0,30,2.73,58,28,51.7,2,1,8,1,9.1,2,2,0,0,0.0,Chaves,Brasileiro,Hugo Souza (Chaves)
Rodrigo Nascimento,BRA,GK,27,4,4,360,4.0,9,2.25,24,15,62.5,1,0,3,0,0.0,0,0,0,0,0.0,Chaves,Brasileiro,Rodrigo Nascimento (Chaves)
Marcelo Carné,BRA,GK,33,9,9,810,9.0,11,1.22,44,33,77.3,3,2,4,3,33.3,2,1,1,0,50.0,Estoril,Brasileiro,Marcelo Carné (Estoril)
Daniel Leite,POR,GK,25,5,5,450,5.0,13,2.6,24,12,50.0,1,0,4,1,20.0,1,1,0,0,0.0,Estoril,Brasileiro,Daniel Leite (Estoril)
Bruno Brigido,BRA,GK,32,7,7,630,7.0,12,1.71,40,28,70.0,1,2,4,0,0.0,0,0,0,0,0.0,Estrela,Brasileiro,Bruno Brigido (Estrela)
Wagner Santos,BRA,GK,25,5,5,427,4.7,4,0.84,13,9,69.2,1,2,2,1,20.0,0,0,0,0,0.0,Estrela,Brasileiro,Wagner Santos (Estrela)
