Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team,Championship,Player_Team
Ignacio De Arruabarrena,URU,GK,26,15.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Ignacio De Arruabarrena (Arouca)
Rafa Mújica,ESP,FW,25,13.4,8,50,23,46.0,3.72,1.71,0.16,0.35,14.3,0.0,0,0,6.9,6.9,0.14,1.1,1.1,Arouca,Brasileiro,Rafa Mújica (Arouca)
Cristo González,ESP,"FW,MF",26,12.8,6,56,19,33.9,4.37,1.48,0.11,0.32,20.2,3.0,0,1,4.4,3.6,0.06,1.6,2.4,Arouca,Brasileiro,Cristo González (Arouca)
Morlaye Sylla,GUI,MF,25,12.0,1,17,5,29.4,1.41,0.42,0.06,0.2,26.2,1.0,0,1,2.2,1.4,0.08,-1.2,-0.4,Arouca,Brasileiro,Morlaye Sylla (Arouca)
David Simão,POR,MF,33,12.0,0,3,1,33.3,0.25,0.08,0.0,0.0,28.7,2.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Arouca,Brasileiro,David Simão (Arouca)
Jason,ESP,"MF,FW",29,11.8,3,30,10,33.3,2.54,0.85,0.1,0.3,22.6,3.0,0,0,2.6,2.6,0.09,0.4,0.4,Arouca,Brasileiro,Jason (Arouca)
Francisco Montero,ESP,DF,24,12.0,1,4,1,25.0,0.33,0.08,0.25,1.0,7.0,0.0,0,0,0.8,0.8,0.2,0.2,0.2,Arouca,Brasileiro,Francisco Montero (Arouca)
Nino Galović,CRO,DF,31,11.8,0,3,0,0.0,0.25,0.0,0.0,0.0,9.9,0.0,0,0,0.3,0.3,0.11,-0.3,-0.3,Arouca,Brasileiro,Nino Galović (Arouca)
Tiago Esgaio,POR,DF,28,11.5,0,8,1,12.5,0.7,0.09,0.0,0.0,12.7,0.0,0,0,0.5,0.5,0.06,-0.5,-0.5,Arouca,Brasileiro,Tiago Esgaio (Arouca)
Eboue Kouassi,CIV,MF,26,7.6,0,6,3,50.0,0.79,0.4,0.0,0.0,13.5,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,Arouca,Brasileiro,Eboue Kouassi (Arouca)
Weverson,BRA,"DF,MF",23,6.9,0,2,0,0.0,0.29,0.0,0.0,0.0,28.4,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Arouca,Brasileiro,Weverson (Arouca)
Rafael Fernandes,POR,DF,21,7.4,0,2,1,50.0,0.27,0.13,0.0,0.0,6.8,0.0,0,0,0.2,0.2,0.12,-0.2,-0.2,Arouca,Brasileiro,Rafael Fernandes (Arouca)
Alfonso Trezza,URU,"FW,MF",24,6.8,0,7,2,28.6,1.03,0.29,0.0,0.0,14.3,0.0,0,0,0.9,0.9,0.13,-0.9,-0.9,Arouca,Brasileiro,Alfonso Trezza (Arouca)
