Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Team,Championship,Player_Team
Ignacio De Arruabarrena,URU,GK,26,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Ignacio De Arruabarrena (Arouca)
Rafa Mújica,ESP,FW,25,15,14,1210.0,13.4,8.0,0.0,8.0,8.0,0.0,0.0,3.0,1.0,6.9,6.9,0.6,7.5,19.0,10.0,74.0,0.6,0.0,0.6,0.6,0.6,0.51,0.04,0.55,0.51,0.55,Arouca,Brasileiro,Rafa Mújica (Arouca)
Cristo González,ESP,"FW,MF",26,15,14,1154.0,12.8,6.0,2.0,8.0,6.0,0.0,1.0,2.0,0.0,4.4,3.6,2.0,5.6,31.0,54.0,96.0,0.47,0.16,0.62,0.47,0.62,0.34,0.16,0.5,0.28,0.44,Arouca,Brasileiro,Cristo González (Arouca)
Morlaye Sylla,GUI,MF,25,14,14,1084.0,12.0,1.0,4.0,5.0,1.0,0.0,1.0,6.0,0.0,2.2,1.4,1.5,2.9,19.0,67.0,33.0,0.08,0.33,0.42,0.08,0.42,0.18,0.13,0.31,0.11,0.24,Arouca,Brasileiro,Morlaye Sylla (Arouca)
David Simão,POR,MF,33,14,13,1084.0,12.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,2.2,2.3,7.0,92.0,18.0,0.0,0.25,0.25,0.0,0.25,0.01,0.18,0.19,0.01,0.19,Arouca,Brasileiro,David Simão (Arouca)
Jason,ESP,"MF,FW",29,15,13,1063.0,11.8,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.6,2.6,1.2,3.8,23.0,41.0,99.0,0.25,0.08,0.34,0.25,0.34,0.22,0.1,0.32,0.22,0.32,Arouca,Brasileiro,Jason (Arouca)
Francisco Montero,ESP,DF,24,12,12,1077.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.0,0.8,7.0,45.0,4.0,0.08,0.0,0.08,0.08,0.08,0.07,0.0,0.07,0.07,0.07,Arouca,Brasileiro,Francisco Montero (Arouca)
Nino Galović,CRO,DF,31,12,12,1064.0,11.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.9,2.0,33.0,1.0,0.0,0.08,0.08,0.0,0.08,0.03,0.04,0.07,0.03,0.07,Arouca,Brasileiro,Nino Galović (Arouca)
Tiago Esgaio,POR,DF,28,13,12,1034.0,11.5,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,1.9,2.4,14.0,56.0,44.0,0.0,0.17,0.17,0.0,0.17,0.04,0.17,0.21,0.04,0.21,Arouca,Brasileiro,Tiago Esgaio (Arouca)
Eboue Kouassi,CIV,MF,26,11,8,682.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.4,0.4,0.3,0.7,3.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Arouca,Brasileiro,Eboue Kouassi (Arouca)
Weverson,BRA,"DF,MF",23,9,8,623.0,6.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,1.2,11.0,20.0,45.0,0.0,0.14,0.14,0.0,0.14,0.0,0.17,0.18,0.0,0.18,Arouca,Brasileiro,Weverson (Arouca)
Rafael Fernandes,POR,DF,21,9,7,669.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,0.1,0.4,5.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Arouca,Brasileiro,Rafael Fernandes (Arouca)
Alfonso Trezza,URU,"FW,MF",24,12,7,611.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.3,1.2,7.0,18.0,45.0,0.0,0.0,0.0,0.0,0.0,0.13,0.04,0.17,0.13,0.17,Arouca,Brasileiro,Alfonso Trezza (Arouca)
Bogdan Milovanov,UKR,"DF,MF",25,11,6,563.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.2,0.2,8.0,21.0,28.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Arouca,Brasileiro,Bogdan Milovanov (Arouca)
Pedro Santos,POR,MF,23,11,2,233.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.1,0.4,14.0,31.0,8.0,0.39,0.0,0.39,0.39,0.39,0.1,0.04,0.14,0.1,0.14,Arouca,Brasileiro,Pedro Santos (Arouca)
