Player,Nation,Pos,Age,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Team,Championship,Player_Team
Ignacio De Arruabarrena,URU,GK,26,15.0,20,4,1,4,0,22.1,0.29,2.1,0.14,63,204,30.9,391,80,36.8,33.7,107,56.1,43.1,231,11,4.8,29,1.93,16.6,Arouca,Brasileiro,Ignacio De Arruabarrena (Arouca)
Anatolii Trubin,UKR,GK,22,11.0,5,1,0,1,0,10.0,0.2,5.0,0.46,26,73,35.6,218,41,21.6,27.5,82,31.7,30.9,131,6,4.6,9,0.82,13.1,Benfica,Brasileiro,Anatolii Trubin (Benfica)
Samuel Soares,POR,GK,21,3.0,2,0,1,0,0,2.2,0.24,0.2,0.06,4,14,28.6,61,16,14.8,26.9,20,25.0,31.5,27,4,14.8,3,1.0,14.9,Benfica,Brasileiro,Samuel Soares (Benfica)
Odisseas Vlachodimos,GRE,GK,29,1.0,3,1,0,0,0,2.7,0.56,-0.3,-0.25,3,6,50.0,15,2,26.7,29.3,5,40.0,35.4,11,1,9.1,1,1.0,16.3,Benfica,Brasileiro,Odisseas Vlachodimos (Benfica)
João Gonçalves,POR,GK,23,14.0,28,2,0,1,1,25.3,0.33,-1.7,-0.12,42,148,28.4,241,56,39.4,34.9,124,42.7,36.6,217,8,3.7,7,0.5,11.5,Boavista,Brasileiro,João Gonçalves (Boavista)
Matheus,BRA,GK,31,14.0,21,1,1,3,0,18.5,0.31,-2.5,-0.18,70,184,38.0,405,64,34.3,32.8,102,44.1,36.3,169,7,4.1,29,2.07,19.2,Braga,Brasileiro,Matheus (Braga)
Ricardo Batista,POR,GK,37,14.0,17,0,0,2,0,19.0,0.26,2.0,0.14,66,197,33.5,349,55,35.8,34.4,117,61.5,46.7,215,14,6.5,9,0.64,12.2,Casa Pia,Brasileiro,Ricardo Batista (Casa Pia)
Hugo Souza,BRA,GK,24,11.0,30,2,0,3,0,24.9,0.41,-5.1,-0.47,67,184,36.4,251,60,43.0,36.9,106,71.7,53.4,147,7,4.8,10,0.91,13.5,Chaves,Brasileiro,Hugo Souza (Chaves)
Rodrigo Nascimento,BRA,GK,27,4.0,9,0,0,0,0,7.6,0.32,-1.4,-0.35,26,68,38.2,97,25,48.5,38.6,25,84.0,55.7,53,8,15.1,0,0.0,10.3,Chaves,Brasileiro,Rodrigo Nascimento (Chaves)
Marcelo Carné,BRA,GK,33,9.0,11,1,0,3,1,12.7,0.26,2.7,0.3,33,127,26.0,220,42,35.9,35.8,103,46.6,41.5,172,9,5.2,8,0.89,11.0,Estoril,Brasileiro,Marcelo Carné (Estoril)
Daniel Leite,POR,GK,25,5.0,13,1,0,2,1,7.9,0.29,-4.1,-0.82,10,44,22.7,93,29,29.0,30.9,44,38.6,37.6,63,0,0.0,9,1.8,20.0,Estoril,Brasileiro,Daniel Leite (Estoril)
Bruno Brigido,BRA,GK,32,7.0,12,0,0,2,0,12.5,0.32,0.5,0.08,33,84,39.3,163,28,24.5,32.2,67,65.7,51.3,101,11,10.9,17,2.43,16.4,Estrela,Brasileiro,Bruno Brigido (Estrela)
Wagner Santos,BRA,GK,25,4.7,4,0,0,2,0,4.0,0.34,0.0,0.0,17,51,33.3,147,37,20.4,29.9,40,52.5,43.7,81,6,7.4,10,2.09,14.9,Estrela,Brasileiro,Wagner Santos (Estrela)
António Filipe de Carvalho,POR,GK,38,3.0,3,0,0,0,0,4.1,0.41,1.1,0.36,8,36,22.2,92,17,26.1,33.0,26,46.2,42.1,42,4,9.5,5,1.67,16.3,Estrela,Brasileiro,António Filipe de Carvalho (Estrela)
Cambila,ANG,GK,21,0.2,3,0,0,1,0,3.3,0.48,0.3,1.4,0,0,0.0,5,0,0.0,16.0,1,0.0,23.0,1,1,100.0,1,5.29,7.3,Estrela,Brasileiro,Cambila (Estrela)
Luiz Lúcio Reis Júnior,BRA,GK,22,15.0,18,0,1,2,1,22.8,0.34,5.8,0.38,62,156,39.7,397,96,27.0,31.0,103,47.6,41.0,208,23,11.1,28,1.87,15.5,Famalicão,Brasileiro,Luiz Lúcio Reis Júnior (Famalicão)
