Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Team,Championship,Player_Team
Ignacio De Arruabarrena,URU,GK,26,15.0,3,0,0,1,0,0,0,0,1,0.0,1.0,0,20.0,3.0,0.0,100.0,Arouca,Brasileiro,Ignacio De Arruabarrena (Arouca)
Rafa Mújica,ESP,FW,25,13.4,3,1,0,28,24,12,0,4,7,1.0,1.0,0,30.0,13.0,29.0,31.0,Arouca,Brasileiro,Rafa Mújica (Arouca)
Cristo González,ESP,"FW,MF",26,12.8,2,0,0,9,16,0,13,3,5,0.0,0.0,0,47.0,5.0,12.0,29.4,Arouca,Brasileiro,Cristo González (Arouca)
Morlaye Sylla,GUI,MF,25,12.0,6,0,0,22,14,2,9,14,14,0.0,0.0,0,80.0,9.0,10.0,47.4,Arouca,Brasileiro,Morlaye Sylla (Arouca)
David Simão,POR,MF,33,12.0,3,1,0,12,18,0,58,15,9,0.0,0.0,0,68.0,10.0,5.0,66.7,Arouca,Brasileiro,David Simão (Arouca)
Jason,ESP,"MF,FW",29,11.8,1,0,0,14,23,2,67,6,8,0.0,0.0,0,55.0,5.0,11.0,31.3,Arouca,Brasileiro,Jason (Arouca)
Francisco Montero,ESP,DF,24,12.0,2,0,0,23,7,0,4,14,9,0.0,2.0,0,58.0,18.0,18.0,50.0,Arouca,Brasileiro,Francisco Montero (Arouca)
Nino Galović,CRO,DF,31,11.8,1,0,0,9,7,1,0,7,5,0.0,1.0,0,48.0,19.0,16.0,54.3,Arouca,Brasileiro,Nino Galović (Arouca)
Tiago Esgaio,POR,DF,28,11.5,3,0,0,16,4,0,17,13,16,0.0,0.0,0,66.0,42.0,13.0,76.4,Arouca,Brasileiro,Tiago Esgaio (Arouca)
Eboue Kouassi,CIV,MF,26,7.6,2,1,0,18,7,2,1,6,7,0.0,0.0,0,55.0,21.0,18.0,53.8,Arouca,Brasileiro,Eboue Kouassi (Arouca)
Weverson,BRA,"DF,MF",23,6.9,2,0,0,6,5,0,32,8,7,0.0,0.0,0,32.0,7.0,5.0,58.3,Arouca,Brasileiro,Weverson (Arouca)
Rafael Fernandes,POR,DF,21,7.4,2,1,1,8,5,1,1,8,6,0.0,0.0,0,27.0,20.0,12.0,62.5,Arouca,Brasileiro,Rafael Fernandes (Arouca)
Alfonso Trezza,URU,"FW,MF",24,6.8,4,0,0,12,15,1,18,5,10,1.0,0.0,0,41.0,2.0,14.0,12.5,Arouca,Brasileiro,Alfonso Trezza (Arouca)
