Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Team,Championship,Player_Team
Ignacio De Arruabarrena,URU,GK,26,15.0,499.0,346.0,152.0,44.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,335.0,1.0,0.0,Arouca,Brasileiro,Ignacio De Arruabarrena (Arouca)
Rafa Mújica,ESP,FW,25,13.4,195.0,176.0,19.0,1.0,2.0,1.0,0,1.0,0.0,0.0,0.0,0.0,153.0,0.0,7.0,Arouca,Brasileiro,Rafa Mújica (Arouca)
Cristo González,ESP,"FW,MF",26,12.8,384.0,369.0,12.0,2.0,7.0,0.0,13,3.0,1.0,1.0,0.0,0.0,279.0,3.0,20.0,Arouca,Brasileiro,Cristo González (Arouca)
Morlaye Sylla,GUI,MF,25,12.0,554.0,520.0,31.0,12.0,1.0,5.0,9,10.0,5.0,3.0,0.0,0.0,450.0,3.0,14.0,Arouca,Brasileiro,Morlaye Sylla (Arouca)
David Simão,POR,MF,33,12.0,771.0,687.0,78.0,37.0,2.0,8.0,58,1.0,40.0,21.0,11.0,3.0,609.0,6.0,5.0,Arouca,Brasileiro,David Simão (Arouca)
Jason,ESP,"MF,FW",29,11.8,443.0,372.0,69.0,23.0,1.0,3.0,67,23.0,19.0,11.0,5.0,1.0,310.0,2.0,17.0,Arouca,Brasileiro,Jason (Arouca)
Francisco Montero,ESP,DF,24,12.0,704.0,663.0,40.0,30.0,1.0,5.0,4,6.0,0.0,0.0,0.0,0.0,572.0,1.0,5.0,Arouca,Brasileiro,Francisco Montero (Arouca)
Nino Galović,CRO,DF,31,11.8,607.0,588.0,17.0,16.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,533.0,2.0,5.0,Arouca,Brasileiro,Nino Galović (Arouca)
Tiago Esgaio,POR,DF,28,11.5,693.0,538.0,154.0,15.0,2.0,3.0,17,139.0,0.0,0.0,0.0,0.0,518.0,1.0,15.0,Arouca,Brasileiro,Tiago Esgaio (Arouca)
Eboue Kouassi,CIV,MF,26,7.6,348.0,336.0,12.0,10.0,1.0,1.0,1,2.0,0.0,0.0,0.0,0.0,299.0,0.0,3.0,Arouca,Brasileiro,Eboue Kouassi (Arouca)
