Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Team,Championship,Player_Team
Ignacio De Arruabarrena,URU,GK,26,15.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Ignacio De Arruabarrena (Arouca)
Rafa Mújica,ESP,FW,25,13.4,29.0,2.16,17.0,0.0,3.0,4.0,5.0,0.0,1.0,0.07,0.0,0.0,1.0,0.0,0.0,0.0,Arouca,Brasileiro,Rafa Mújica (Arouca)
Cristo González,ESP,"FW,MF",26,12.8,49.0,3.82,33.0,2.0,5.0,6.0,2.0,1.0,7.0,0.55,5.0,0.0,1.0,1.0,0.0,0.0,Arouca,Brasileiro,Cristo González (Arouca)
Morlaye Sylla,GUI,MF,25,12.0,51.0,4.23,39.0,2.0,4.0,3.0,1.0,2.0,5.0,0.42,5.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Morlaye Sylla (Arouca)
David Simão,POR,MF,33,12.0,38.0,3.15,23.0,11.0,0.0,0.0,3.0,1.0,5.0,0.42,4.0,1.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,David Simão (Arouca)
Jason,ESP,"MF,FW",29,11.8,41.0,3.47,27.0,7.0,2.0,1.0,4.0,0.0,2.0,0.17,2.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Jason (Arouca)
Francisco Montero,ESP,DF,24,12.0,8.0,0.67,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Francisco Montero (Arouca)
Nino Galović,CRO,DF,31,11.8,4.0,0.34,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Nino Galović (Arouca)
Tiago Esgaio,POR,DF,28,11.5,28.0,2.44,23.0,4.0,0.0,1.0,0.0,0.0,4.0,0.35,3.0,1.0,0.0,0.0,0.0,0.0,Arouca,Brasileiro,Tiago Esgaio (Arouca)
Eboue Kouassi,CIV,MF,26,7.6,15.0,1.98,13.0,1.0,0.0,1.0,0.0,0.0,2.0,0.26,1.0,0.0,0.0,1.0,0.0,0.0,Arouca,Brasileiro,Eboue Kouassi (Arouca)
