Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Team,Championship,Player_Team
Ignacio De Arruabarrena,URU,GK,26,15.0,540.0,436.0,535.0,5.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.0,271.0,1517.0,890.0,0.0,0.0,0.0,0.0,0.0,205.0,1.0,Arouca,Brasileiro,Ignacio De Arruabarrena (Arouca)
Rafa Mújica,ESP,FW,25,13.4,359.0,8.0,24.0,140.0,201.0,71.0,359.0,25.0,12.0,48.0,12.0,48.0,217.0,1251.0,583.0,19.0,12.0,10.0,46.0,21.0,254.0,74.0,Arouca,Brasileiro,Rafa Mújica (Arouca)
Cristo González,ESP,"FW,MF",26,12.8,539.0,4.0,45.0,245.0,263.0,54.0,538.0,34.0,17.0,50.0,14.0,41.2,321.0,1706.0,959.0,31.0,25.0,9.0,36.0,16.0,408.0,96.0,Arouca,Brasileiro,Cristo González (Arouca)
Morlaye Sylla,GUI,MF,25,12.0,665.0,10.0,103.0,376.0,194.0,13.0,664.0,19.0,10.0,52.6,8.0,42.1,352.0,1909.0,910.0,19.0,20.0,3.0,12.0,6.0,451.0,33.0,Arouca,Brasileiro,Morlaye Sylla (Arouca)
David Simão,POR,MF,33,12.0,857.0,19.0,160.0,543.0,160.0,2.0,857.0,12.0,8.0,66.7,1.0,8.3,450.0,2199.0,1075.0,7.0,9.0,0.0,10.0,6.0,619.0,18.0,Arouca,Brasileiro,David Simão (Arouca)
Jason,ESP,"MF,FW",29,11.8,569.0,8.0,78.0,252.0,249.0,22.0,569.0,32.0,10.0,31.3,17.0,53.1,306.0,2000.0,877.0,23.0,25.0,7.0,22.0,11.0,366.0,99.0,Arouca,Brasileiro,Jason (Arouca)
Francisco Montero,ESP,DF,24,12.0,833.0,98.0,419.0,388.0,29.0,7.0,833.0,4.0,3.0,75.0,1.0,25.0,449.0,2546.0,1504.0,7.0,4.0,0.0,1.0,2.0,548.0,4.0,Arouca,Brasileiro,Francisco Montero (Arouca)
Nino Galović,CRO,DF,31,11.8,693.0,80.0,361.0,322.0,12.0,6.0,693.0,1.0,1.0,100.0,0.0,0.0,401.0,1988.0,1020.0,2.0,0.0,0.0,3.0,0.0,474.0,1.0,Arouca,Brasileiro,Nino Galović (Arouca)
Tiago Esgaio,POR,DF,28,11.5,813.0,39.0,276.0,344.0,195.0,19.0,813.0,6.0,4.0,66.7,2.0,33.3,307.0,1425.0,727.0,14.0,12.0,1.0,8.0,3.0,411.0,44.0,Arouca,Brasileiro,Tiago Esgaio (Arouca)
Eboue Kouassi,CIV,MF,26,7.6,434.0,33.0,123.0,269.0,46.0,9.0,434.0,4.0,1.0,25.0,2.0,50.0,201.0,897.0,390.0,3.0,3.0,0.0,8.0,4.0,267.0,5.0,Arouca,Brasileiro,Eboue Kouassi (Arouca)
Weverson,BRA,"DF,MF",23,6.9,411.0,19.0,108.0,178.0,127.0,6.0,411.0,8.0,3.0,37.5,5.0,62.5,177.0,864.0,486.0,11.0,7.0,1.0,10.0,3.0,239.0,45.0,Arouca,Brasileiro,Weverson (Arouca)
Rafael Fernandes,POR,DF,21,7.4,452.0,46.0,217.0,217.0,24.0,5.0,452.0,6.0,5.0,83.3,1.0,16.7,257.0,1239.0,803.0,5.0,8.0,0.0,2.0,0.0,314.0,2.0,Arouca,Brasileiro,Rafael Fernandes (Arouca)
Alfonso Trezza,URU,"FW,MF",24,6.8,279.0,5.0,64.0,120.0,97.0,10.0,279.0,20.0,6.0,30.0,11.0,55.0,146.0,705.0,292.0,7.0,8.0,1.0,15.0,5.0,167.0,45.0,Arouca,Brasileiro,Alfonso Trezza (Arouca)
Bogdan Milovanov,UKR,"DF,MF",25,6.3,417.0,21.0,123.0,205.0,93.0,6.0,417.0,8.0,3.0,37.5,4.0,50.0,165.0,719.0,364.0,8.0,7.0,1.0,7.0,2.0,201.0,28.0,Arouca,Brasileiro,Bogdan Milovanov (Arouca)
Pedro Santos,POR,MF,23,2.6,251.0,1.0,34.0,169.0,50.0,4.0,251.0,7.0,3.0,42.9,4.0,57.1,173.0,1062.0,499.0,14.0,4.0,0.0,4.0,2.0,202.0,8.0,Arouca,Brasileiro,Pedro Santos (Arouca)
Oriol Busquets,ESP,MF,24,2.5,143.0,9.0,38.0,84.0,22.0,0.0,143.0,1.0,0.0,0.0,1.0,100.0,71.0,279.0,136.0,1.0,1.0,0.0,1.0,0.0,108.0,3.0,Arouca,Brasileiro,Oriol Busquets (Arouca)
Quaresma,BRA,DF,27,2.1,129.0,6.0,37.0,55.0,39.0,2.0,129.0,11.0,9.0,81.8,2.0,18.2,49.0,272.0,147.0,4.0,1.0,0.0,4.0,0.0,62.0,11.0,Arouca,Brasileiro,Quaresma (Arouca)
Matí­as Rocha,URU,DF,22,0.6,39.0,7.0,25.0,14.0,0.0,0.0,39.0,1.0,1.0,100.0,0.0,0.0,28.0,118.0,28.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,Arouca,Brasileiro,Matí­as Rocha (Arouca)
Jerome Opoku,GHA,DF,25,1.5,68.0,13.0,40.0,22.0,8.0,3.0,68.0,3.0,1.0,33.3,2.0,66.7,31.0,274.0,127.0,0.0,0.0,0.0,1.0,0.0,43.0,1.0,Arouca,Brasileiro,Jerome Opoku (Arouca)
Vitinho,BRA,"FW,MF",23,0.9,60.0,0.0,8.0,31.0,23.0,4.0,60.0,3.0,1.0,33.3,1.0,33.3,40.0,248.0,140.0,2.0,1.0,0.0,4.0,2.0,43.0,11.0,Arouca,Brasileiro,Vitinho (Arouca)
Miguel Puche García,ESP,"FW,MF",22,2.1,100.0,2.0,12.0,38.0,51.0,7.0,100.0,7.0,2.0,28.6,5.0,71.4,56.0,418.0,173.0,7.0,2.0,3.0,8.0,6.0,67.0,21.0,Arouca,Brasileiro,Miguel Puche García (Arouca)
André Bukia,COD,"MF,FW",28,1.3,100.0,0.0,10.0,30.0,61.0,6.0,100.0,4.0,1.0,25.0,3.0,75.0,61.0,473.0,276.0,15.0,5.0,3.0,6.0,3.0,73.0,23.0,Arouca,Brasileiro,André Bukia (Arouca)
Moses Yaw,GHA,"DF,MF",24,0.7,48.0,2.0,15.0,30.0,3.0,0.0,48.0,3.0,0.0,0.0,2.0,66.7,17.0,159.0,70.0,2.0,1.0,0.0,2.0,2.0,25.0,0.0,Arouca,Brasileiro,Moses Yaw (Arouca)
Benji Michel,USA,"FW,MF",26,0.3,22.0,0.0,4.0,11.0,8.0,4.0,22.0,2.0,0.0,0.0,2.0,100.0,11.0,75.0,40.0,2.0,1.0,0.0,3.0,2.0,14.0,2.0,Arouca,Brasileiro,Benji Michel (Arouca)
Yusuf Lawal,NGA,"FW,MF",25,0.3,14.0,0.0,0.0,2.0,12.0,0.0,14.0,2.0,1.0,50.0,1.0,50.0,9.0,73.0,62.0,2.0,1.0,0.0,0.0,1.0,11.0,4.0,Arouca,Brasileiro,Yusuf Lawal (Arouca)
Fredrik Aursnes,NOR,"DF,MF",28,14.8,1165.0,41.0,263.0,512.0,398.0,37.0,1165.0,31.0,21.0,67.7,9.0,29.0,639.0,3291.0,1793.0,50.0,30.0,11.0,14.0,4.0,792.0,151.0,Benfica,Brasileiro,Fredrik Aursnes (Benfica)
Rafa Silva,POR,MF,30,14.7,772.0,2.0,41.0,285.0,464.0,108.0,772.0,57.0,31.0,54.4,25.0,43.9,526.0,4119.0,2219.0,77.0,60.0,33.0,40.0,28.0,638.0,146.0,Benfica,Brasileiro,Rafa Silva (Benfica)
António Silva,POR,DF,20,14.0,975.0,104.0,424.0,520.0,44.0,12.0,975.0,8.0,5.0,62.5,2.0,25.0,592.0,3597.0,2341.0,16.0,13.0,0.0,7.0,2.0,647.0,2.0,Benfica,Brasileiro,António Silva (Benfica)
Nicolás Otamendi,ARG,DF,35,13.9,1024.0,111.0,435.0,534.0,63.0,27.0,1024.0,10.0,4.0,40.0,4.0,40.0,596.0,3994.0,2619.0,29.0,16.0,0.0,7.0,2.0,692.0,14.0,Benfica,Brasileiro,Nicolás Otamendi (Benfica)
João Mário,POR,"FW,MF",30,11.9,821.0,8.0,83.0,317.0,427.0,50.0,820.0,30.0,15.0,50.0,13.0,43.3,548.0,2962.0,1271.0,36.0,25.0,13.0,23.0,18.0,644.0,110.0,Benfica,Brasileiro,João Mário (Benfica)
João Neves,POR,MF,19,11.5,1087.0,39.0,220.0,643.0,239.0,14.0,1087.0,32.0,20.0,62.5,8.0,25.0,610.0,3083.0,1450.0,19.0,19.0,3.0,17.0,13.0,757.0,26.0,Benfica,Brasileiro,João Neves (Benfica)
Anatolii Trubin,UKR,GK,22,11.0,323.0,294.0,321.0,2.0,0.0,0.0,323.0,0.0,0.0,0.0,0.0,0.0,156.0,694.0,416.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,Benfica,Brasileiro,Anatolii Trubin (Benfica)
