Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Nicolás Castro,ar ARG,MF,32.0,25,1988.0,80.0,81.8,22.1,25,80.0,12,0,,0,1.32,24.0,21.0,3.0,0.14,1.36,,,,,,Matches
Ramiro Macagno,ar ARG,GK,25.0,22,1980.0,90.0,81.5,22.0,22,90.0,22,0,,5,1.32,18.0,18.0,0.0,0.0,0.6,17.1,22.7,-5.6,-0.25,0.74,Matches
Sasha Marcich,ar ARG,"DF,MF",24.0,23,1898.0,83.0,78.1,21.1,22,86.0,15,1,9.0,4,1.39,16.0,16.0,0.0,0.0,0.51,15.6,20.4,-4.7,-0.23,0.75,Matches
Vicente Taborda,ar ARG,"MF,FW",21.0,25,1773.0,71.0,73.0,19.7,20,82.0,5,5,28.0,0,1.28,18.0,22.0,-4.0,-0.2,-0.34,17.3,24.1,-6.8,-0.34,0.17,Matches
Nicolás Servetto,ar ARG,FW,26.0,27,1628.0,60.0,67.0,18.1,19,76.0,3,8,22.0,0,1.26,16.0,20.0,-4.0,-0.22,-0.33,14.7,22.1,-7.3,-0.4,-0.04,Matches
Ronaldo Martínez,py PAR,"FW,MF",26.0,23,1476.0,64.0,60.7,16.4,18,75.0,5,5,24.0,3,1.17,12.0,15.0,-3.0,-0.18,-0.18,12.8,16.3,-3.5,-0.21,0.45,Matches
Ignacio Vázquez,ar ARG,DF,25.0,22,1608.0,73.0,66.2,17.9,17,89.0,16,5,19.0,5,1.23,13.0,15.0,-2.0,-0.11,0.0,,,,,,Matches
Marco Pellegrino,,DF,,17,1524.0,90.0,62.7,16.9,17,90.0,15,0,,5,1.29,13.0,14.0,-1.0,-0.06,0.14,13.2,19.5,-6.3,-0.37,0.05,Matches
Nicolás Morgantini,ar ARG,DF,28.0,18,1506.0,84.0,62.0,16.7,17,89.0,14,1,1.0,4,1.22,17.0,19.0,-2.0,-0.12,-0.02,15.3,20.2,-4.9,-0.29,0.26,Matches
Iván Rossi,ar ARG,MF,29.0,17,1314.0,77.0,54.1,14.6,15,84.0,9,2,29.0,1,1.12,15.0,19.0,-4.0,-0.27,-0.35,12.5,17.8,-5.3,-0.36,0.06,Matches
Franco Díaz,ar ARG,MF,22.0,23,1265.0,55.0,52.1,14.1,14,78.0,6,9,20.0,2,1.26,9.0,13.0,-4.0,-0.28,-0.36,9.1,14.7,-5.6,-0.4,-0.02,Matches
Juan Infante,ar ARG,DF,27.0,15,1076.0,72.0,44.3,12.0,12,86.0,9,3,16.0,12,1.27,14.0,17.0,-3.0,-0.25,-0.25,10.7,16.7,-6.0,-0.5,-0.2,Matches
Franco Baldassarra,ar ARG,"MF,FW",24.0,22,1035.0,47.0,42.6,11.5,11,72.0,2,11,23.0,5,1.36,14.0,13.0,1.0,0.09,0.35,12.0,13.9,-2.0,-0.17,0.38,Matches
Gastón Suso,ar ARG,DF,31.0,13,1010.0,78.0,41.6,11.2,11,90.0,11,2,10.0,10,1.29,13.0,19.0,-6.0,-0.53,-0.72,9.0,15.2,-6.3,-0.56,-0.29,Matches
Mauro Quiroga,ar ARG,FW,33.0,19,838.0,44.0,34.5,9.3,10,68.0,1,9,17.0,3,1.26,12.0,10.0,2.0,0.21,0.5,7.1,9.9,-2.8,-0.3,0.13,Matches
