Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Nicolás Castro,ar ARG,MF,32.0,25,25,1988.0,22.1,4.0,1.0,5.0,4.0,0.0,0.0,7.0,0.0,,,,,,,,0.18,0.05,0.23,0.18,0.23,,,,,,Matches
Ramiro Macagno,ar ARG,GK,25.0,22,22,1980.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Sasha Marcich,ar ARG,"DF,MF",24.0,23,22,1898.0,21.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,2.1,3.6,31.0,66.0,89.0,0.09,0.0,0.09,0.09,0.09,0.07,0.1,0.17,0.07,0.17,Matches
Vicente Taborda,ar ARG,"MF,FW",21.0,25,20,1773.0,19.7,2.0,3.0,5.0,1.0,1.0,1.0,5.0,0.0,1.8,1.0,2.3,3.3,63.0,84.0,119.0,0.1,0.15,0.25,0.05,0.2,0.09,0.12,0.21,0.05,0.17,Matches
Nicolás Servetto,ar ARG,FW,26.0,27,19,1628.0,18.1,6.0,1.0,7.0,5.0,1.0,1.0,2.0,0.0,6.7,5.9,0.9,6.9,9.0,23.0,91.0,0.33,0.06,0.39,0.28,0.33,0.37,0.05,0.42,0.33,0.38,Matches
Ronaldo Martínez,py PAR,"FW,MF",26.0,23,18,1476.0,16.4,3.0,2.0,5.0,3.0,0.0,0.0,6.0,0.0,2.8,2.8,1.9,4.7,27.0,36.0,111.0,0.18,0.12,0.3,0.18,0.3,0.17,0.11,0.29,0.17,0.29,Matches
Ignacio Vázquez,ar ARG,DF,25.0,22,17,1608.0,17.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.06,0.06,0.0,0.06,,,,,,Matches
Marco Pellegrino,,DF,,17,17,1524.0,16.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0,0.5,16.0,44.0,2.0,0.06,0.0,0.06,0.06,0.06,0.03,0.0,0.03,0.03,0.03,Matches
Nicolás Morgantini,ar ARG,DF,28.0,18,17,1506.0,16.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.8,1.2,28.0,59.0,61.0,0.06,0.06,0.12,0.06,0.12,0.02,0.05,0.07,0.02,0.07,Matches
Iván Rossi,ar ARG,MF,29.0,17,15,1314.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,3.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
