Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Antonio Adán,es ESP,GK,36-231,14,1260.0,90.0,100.0,14.0,14,90.0,14,0,,0,2.43,30.0,15.0,15.0,1.07,,25.0,11.6,13.5,0.96,,Matches
Ousmane Diomande,ci CIV,DF,20-026,14,1210.0,86.0,96.0,13.4,14,86.0,12,0,,0,2.43,29.0,14.0,15.0,1.12,1.12,24.0,10.8,13.3,0.99,0.67,Matches
Pedro Gonçalves,pt POR,"FW,MF",25-185,14,1198.0,86.0,95.1,13.3,14,86.0,8,0,,0,2.43,29.0,12.0,17.0,1.28,4.18,24.0,10.3,13.7,1.03,1.38,Matches
Viktor Gyökeres,se SWE,FW,25-209,13,1165.0,90.0,92.5,12.9,13,90.0,12,0,,1,2.38,28.0,15.0,13.0,1.0,-0.89,23.1,11.2,11.9,0.92,-0.56,Matches
Hidemasa Morita,jp JPN,MF,28-234,13,1157.0,89.0,91.8,12.9,13,89.0,11,0,,0,2.38,27.0,11.0,16.0,1.24,2.12,22.6,9.0,13.7,1.06,1.23,Matches
Gonçalo Inácio,pt POR,DF,22-127,14,1117.0,80.0,88.7,12.4,13,83.0,11,1,32.0,0,2.43,27.0,11.0,16.0,1.29,1.92,22.4,8.9,13.5,1.08,1.08,Matches
Sebastián Coates,uy URU,DF,33-084,12,947.0,79.0,75.2,10.5,12,79.0,9,0,,0,2.58,20.0,10.0,10.0,0.95,-0.49,17.1,7.9,9.2,0.87,-0.36,Matches
Morten Hjulmand,dk DEN,MF,24-188,13,942.0,72.0,74.8,10.5,12,77.0,5,1,16.0,0,2.38,22.0,8.0,14.0,1.34,1.05,17.9,7.3,10.7,1.02,0.22,Matches
Marcus Edwards,eng ENG,"FW,MF",25-027,13,882.0,68.0,70.0,9.8,11,72.0,3,2,45.0,1,2.38,22.0,10.0,12.0,1.22,0.51,17.0,7.2,9.9,1.01,0.15,Matches
Ricardo Esgaio,pt POR,"MF,DF",30-228,14,784.0,56.0,62.2,8.7,11,65.0,1,3,23.0,0,2.43,17.0,13.0,4.0,0.46,-1.62,13.0,7.5,5.6,0.64,-0.85,Matches
Nuno Santos,pt POR,"MF,DF",28-320,13,714.0,55.0,56.7,7.9,9,67.0,1,4,27.0,0,2.38,17.0,11.0,6.0,0.76,-0.73,14.0,6.7,7.3,0.92,-0.1,Matches
Matheus Reis,br BRA,"DF,MF",28-315,13,698.0,54.0,55.4,7.8,6,75.0,2,7,36.0,1,2.54,16.0,8.0,8.0,1.03,-0.09,15.3,7.1,8.2,1.05,0.21,Matches
Geny Catamo,mz MOZ,"MF,DF",22-338,12,533.0,44.0,42.3,5.9,4,76.0,1,8,29.0,0,2.58,13.0,4.0,9.0,1.52,0.78,12.6,4.9,7.6,1.29,0.57,Matches
Paulinho,pt POR,FW,31-051,13,483.0,37.0,38.3,5.4,4,76.0,1,9,20.0,1,2.38,12.0,8.0,4.0,0.75,-0.53,10.6,5.7,4.9,0.91,-0.08,Matches
Daniel Bragança,pt POR,MF,24-217,9,203.0,23.0,16.1,2.3,2,55.0,0,7,13.0,2,2.78,5.0,3.0,2.0,0.89,-0.22,5.0,2.5,2.5,1.11,0.17,Matches
Francisco Trincão,pt POR,"FW,MF",24-001,11,216.0,20.0,17.1,2.4,1,63.0,0,10,15.0,2,2.27,6.0,5.0,1.0,0.42,-0.79,5.0,3.3,1.7,0.72,-0.29,Matches
Eduardo Quaresma,pt POR,DF,21-303,3,114.0,38.0,9.0,1.3,1,61.0,0,2,27.0,2,3.0,3.0,0.0,3.0,2.37,1.43,1.9,0.7,1.1,0.89,-0.08,Matches
Jerry St. Juste,nl NED,DF,27-072,4,109.0,27.0,8.7,1.2,0,,0,4,27.0,0,2.25,5.0,2.0,3.0,2.48,1.54,3.1,1.5,1.6,1.31,0.39,Matches
Afonso Bastardo,pt POR,MF,18-286,1,25.0,25.0,2.0,0.3,0,,0,1,25.0,3,3.0,1.0,2.0,-1.0,-3.6,-4.77,0.4,1.2,-0.7,-2.56,-3.6,Matches
Iván Fresneda,es ESP,MF,19-093,1,6.0,6.0,0.5,0.1,0,,0,1,6.0,5,1.0,0.0,0.0,0.0,0.0,-1.08,0.0,0.0,0.0,0.71,-0.25,Matches
Luís Neto,pt POR,DF,35-218,3,5.0,2.0,0.4,0.1,0,,0,3,2.0,9,1.8,3.0,5.0,-2.0,-36.0,-37.22,0.0,0.2,-0.2,-4.19,-5.18,Matches
Mateus Fernandes,pt POR,FW,19-173,1,3.0,3.0,0.2,0.0,0,,0,1,3.0,1,3.0,0.0,0.0,0.0,0.0,-1.07,0.1,0.0,0.1,2.36,1.4,Matches
Jovane Cabral,cv CPV,"FW,MF",25-199,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Rodrigo Duarte,pt POR,FW,18-246,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Dario Essugo,pt POR,MF,18-291,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
Franco Israel,uy URU,GK,23-252,0,,,,,0,,0,0,,14,,,,,,,,,,,,Matches
Diogo Pinto,pt POR,GK,19-195,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Geovany Quenda,pt POR,FW,16-244,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Francisco Silva,pt POR,GK,18-040,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.2,14,1260.0,90.0,100.0,14.0,154,80.0,91,64,22.0,59,2.43,30.0,15.0,15.0,1.07,,25.0,11.6,13.5,0.96,,
Opponent Total,,,27.0,14,1260.0,90.0,100.0,14.0,154,80.0,87,64,19.0,61,0.5,15.0,30.0,-15.0,-1.07,,11.6,25.0,-13.5,-0.96,,
