Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Antonio Adán,es ESP,GK,36-231,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ousmane Diomande,ci CIV,DF,20-026,14,14,1210.0,13.4,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.9,0.9,0.2,1.1,15.0,70.0,2.0,0.07,0.07,0.15,0.07,0.15,0.07,0.02,0.08,0.07,0.08,Matches
Pedro Gonçalves,pt POR,"FW,MF",25-185,14,14,1198.0,13.3,4.0,3.0,7.0,4.0,0.0,0.0,3.0,0.0,5.4,5.4,3.7,9.1,41.0,77.0,105.0,0.3,0.23,0.53,0.3,0.53,0.41,0.28,0.68,0.41,0.68,Matches
Viktor Gyökeres,se SWE,FW,25-209,13,13,1165.0,12.9,10.0,5.0,15.0,8.0,2.0,2.0,2.0,0.0,5.8,4.2,1.9,6.2,50.0,26.0,155.0,0.77,0.39,1.16,0.62,1.0,0.45,0.15,0.6,0.33,0.48,Matches
Hidemasa Morita,jp JPN,MF,28-234,13,13,1157.0,12.9,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,1.1,2.7,10.0,73.0,25.0,0.08,0.16,0.23,0.08,0.23,0.13,0.08,0.21,0.13,0.21,Matches
Gonçalo Inácio,pt POR,DF,22-127,14,13,1117.0,12.4,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,0.5,0.5,0.1,0.6,20.0,96.0,2.0,0.08,0.0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Matches
Sebastián Coates,uy URU,DF,33-084,12,12,947.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.9,0.9,0.3,1.2,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.11,0.08,0.11,Matches
Morten Hjulmand,dk DEN,MF,24-188,13,12,942.0,10.5,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.9,0.9,0.6,1.5,0.0,59.0,14.0,0.1,0.1,0.19,0.1,0.19,0.09,0.06,0.15,0.09,0.15,Matches
Marcus Edwards,eng ENG,"FW,MF",25-027,13,11,882.0,9.8,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.8,1.8,4.6,6.4,49.0,50.0,69.0,0.2,0.31,0.51,0.2,0.51,0.18,0.47,0.65,0.18,0.65,Matches
Ricardo Esgaio,pt POR,"MF,DF",30-228,14,11,784.0,8.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,1.3,1.7,17.0,29.0,65.0,0.0,0.23,0.23,0.0,0.23,0.04,0.15,0.19,0.04,0.19,Matches
Nuno Santos,pt POR,"MF,DF",28-320,13,9,714.0,7.9,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,2.0,3.0,22.0,37.0,85.0,0.13,0.25,0.38,0.13,0.38,0.12,0.25,0.37,0.12,0.37,Matches
Matheus Reis,br BRA,"DF,MF",28-315,13,6,698.0,7.8,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8,0.8,26.0,50.0,57.0,0.0,0.26,0.26,0.0,0.26,0.0,0.1,0.11,0.0,0.11,Matches
Geny Catamo,mz MOZ,"MF,DF",22-338,12,4,533.0,5.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,1.8,30.0,19.0,41.0,0.17,0.17,0.34,0.17,0.34,0.13,0.17,0.3,0.13,0.3,Matches
Paulinho,pt POR,FW,31-051,13,4,483.0,5.4,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,3.6,3.6,0.6,4.2,11.0,28.0,33.0,1.12,0.0,1.12,1.12,1.12,0.66,0.12,0.78,0.66,0.78,Matches
Daniel Bragança,pt POR,MF,24-217,9,2,203.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,0.9,3.0,14.0,1.0,0.44,0.0,0.44,0.44,0.44,0.34,0.08,0.42,0.34,0.42,Matches
Francisco Trincão,pt POR,"FW,MF",24-001,11,1,216.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.4,1.5,6.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.45,0.17,0.62,0.45,0.62,Matches
Eduardo Quaresma,pt POR,DF,21-303,3,1,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jerry St. Juste,nl NED,DF,27-072,4,0,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Afonso Bastardo,pt POR,MF,18-286,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Iván Fresneda,es ESP,MF,19-093,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luís Neto,pt POR,DF,35-218,3,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Mateus Fernandes,pt POR,FW,19-173,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jovane Cabral,cv CPV,"FW,MF",25-199,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rodrigo Duarte,pt POR,FW,18-246,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dario Essugo,pt POR,MF,18-291,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Franco Israel,uy URU,GK,23-252,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diogo Pinto,pt POR,GK,19-195,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Geovany Quenda,pt POR,FW,16-244,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Francisco Silva,pt POR,GK,18-040,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
