Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Team,Championship,Player_Team
Juninho,BRA,MF,35.0,32.5,4,0,0,31,37,3,45,31,26,1.0,0.0,0,189.0,21.0,41.0,33.9,América (MG),Brasileiro,Juninho (América (MG))
Leandro Emmanuel Martínez,ARG,MF,28.0,28.2,4,0,0,29,62,1,109,31,40,0.0,1.0,0,242.0,8.0,17.0,32.0,América (MG),Brasileiro,Leandro Emmanuel Martínez (América (MG))
Felipe Azevedo,BRA,"FW,MF",36.0,19.4,3,1,0,27,32,5,29,10,10,0.0,0.0,0,98.0,27.0,42.0,39.1,América (MG),Brasileiro,Felipe Azevedo (América (MG))
Iago Maidana,BRA,DF,26.0,24.0,5,1,0,36,6,1,1,32,15,0.0,1.0,0,111.0,72.0,26.0,73.5,América (MG),Brasileiro,Iago Maidana (América (MG))
Danilo Avelar,BRA,DF,33.0,22.0,5,1,0,47,14,3,19,35,22,0.0,1.0,0,96.0,95.0,38.0,71.4,América (MG),Brasileiro,Danilo Avelar (América (MG))
Gonzalo Mastriani,URU,FW,29.0,19.9,1,1,0,18,19,4,3,1,7,0.0,0.0,0,50.0,48.0,59.0,44.9,América (MG),Brasileiro,Gonzalo Mastriani (América (MG))
Marlon,BRA,DF,28.0,18.6,3,0,0,16,37,0,64,31,26,0.0,0.0,1,129.0,18.0,19.0,48.6,América (MG),Brasileiro,Marlon (América (MG))
Ricardo Silva,BRA,DF,30.0,17.9,3,0,0,21,15,0,2,28,17,0.0,0.0,0,90.0,59.0,26.0,69.4,América (MG),Brasileiro,Ricardo Silva (América (MG))
Eder,BRA,DF,27.0,17.4,7,1,1,21,4,3,1,19,14,0.0,0.0,1,85.0,40.0,35.0,53.3,América (MG),Brasileiro,Eder (América (MG))
Lucas Kal,BRA,MF,26.0,13.7,4,0,0,19,3,0,8,15,7,0.0,0.0,0,65.0,8.0,13.0,38.1,América (MG),Brasileiro,Lucas Kal (América (MG))
Matheus Cavichioli,BRA,GK,36.0,15.0,0,1,0,1,2,0,0,1,1,0.0,0.0,1,18.0,4.0,0.0,100.0,América (MG),Brasileiro,Matheus Cavichioli (América (MG))
Rodriguinho,BRA,"DF,MF",19.0,13.9,1,0,0,21,19,3,67,9,16,0.0,0.0,0,72.0,16.0,19.0,45.7,América (MG),Brasileiro,Rodriguinho (América (MG))
Everaldo,BRA,"FW,MF",28.0,13.7,7,0,0,19,33,6,50,6,16,0.0,0.0,0,65.0,8.0,11.0,42.1,América (MG),Brasileiro,Everaldo (América (MG))
Ale,BRA,MF,32.0,15.8,7,1,1,31,24,1,11,28,16,0.0,0.0,0,145.0,20.0,10.0,66.7,América (MG),Brasileiro,Ale (América (MG))
Martín Benítez,ARG,"MF,FW",28.0,12.4,4,0,0,14,45,4,51,6,7,0.0,0.0,0,57.0,4.0,9.0,30.8,América (MG),Brasileiro,Martín Benítez (América (MG))
Breno Cascardo,BRA,MF,19.0,12.9,2,0,0,25,13,1,6,10,19,0.0,0.0,0,83.0,10.0,12.0,45.5,América (MG),Brasileiro,Breno Cascardo (América (MG))
Jori,BRA,GK,26.0,11.0,1,0,0,1,2,0,0,0,1,0.0,1.0,0,9.0,10.0,1.0,90.9,América (MG),Brasileiro,Jori (América (MG))
Mateus Pasinato,BRA,GK,30.0,10.0,1,0,0,0,2,0,0,0,0,0.0,0.0,0,15.0,3.0,1.0,75.0,América (MG),Brasileiro,Mateus Pasinato (América (MG))
Marcinho,BRA,DF,26.0,8.9,4,0,0,16,1,0,46,17,7,0.0,0.0,0,43.0,8.0,9.0,47.1,América (MG),Brasileiro,Marcinho (América (MG))
Aloísio dos Santos Gonçalves,CHN,"FW,MF",34.0,8.0,3,0,0,18,9,6,6,2,4,0.0,0.0,0,23.0,8.0,16.0,33.3,América (MG),Brasileiro,Aloísio dos Santos Gonçalves (América (MG))
