Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Team,Championship,Player_Team
Juninho,BRA,MF,35.0,32.5,3,28,10,35.7,0.86,0.31,0.11,0.3,15.7,0.0,0,0,2.4,2.4,0.09,0.6,0.6,América (MG),Brasileiro,Juninho (América (MG))
Leandro Emmanuel Martínez,ARG,MF,28.0,28.2,1,37,11,29.7,1.31,0.39,0.03,0.09,22.8,3.0,0,0,3.3,3.3,0.09,-2.3,-2.3,América (MG),Brasileiro,Leandro Emmanuel Martínez (América (MG))
Felipe Azevedo,BRA,"FW,MF",36.0,19.4,4,45,15,33.3,2.32,0.77,0.09,0.27,17.3,0.0,0,0,3.7,3.7,0.09,0.3,0.3,América (MG),Brasileiro,Felipe Azevedo (América (MG))
Iago Maidana,BRA,DF,26.0,24.0,0,15,4,26.7,0.62,0.17,0.0,0.0,13.6,0.0,0,0,0.8,0.8,0.05,-0.8,-0.8,América (MG),Brasileiro,Iago Maidana (América (MG))
Danilo Avelar,BRA,DF,33.0,22.0,3,34,9,26.5,1.54,0.41,0.06,0.22,13.5,0.0,1,1,4.0,3.2,0.1,-1.0,-1.2,América (MG),Brasileiro,Danilo Avelar (América (MG))
Gonzalo Mastriani,URU,FW,29.0,19.9,11,54,23,42.6,2.71,1.15,0.19,0.43,14.3,0.0,1,2,10.7,9.2,0.17,0.3,0.8,América (MG),Brasileiro,Gonzalo Mastriani (América (MG))
Marlon,BRA,DF,28.0,18.6,1,11,3,27.3,0.59,0.16,0.09,0.33,24.2,0.0,0,0,0.5,0.5,0.04,0.5,0.5,América (MG),Brasileiro,Marlon (América (MG))
Ricardo Silva,BRA,DF,30.0,17.9,1,7,4,57.1,0.39,0.22,0.14,0.25,13.1,0.0,0,0,0.7,0.7,0.1,0.3,0.3,América (MG),Brasileiro,Ricardo Silva (América (MG))
Eder,BRA,DF,27.0,17.4,0,7,2,28.6,0.4,0.11,0.0,0.0,12.7,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,América (MG),Brasileiro,Eder (América (MG))
Lucas Kal,BRA,MF,26.0,13.7,0,11,2,18.2,0.8,0.15,0.0,0.0,27.0,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,América (MG),Brasileiro,Lucas Kal (América (MG))
Matheus Cavichioli,BRA,GK,36.0,15.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Matheus Cavichioli (América (MG))
Rodriguinho,BRA,"DF,MF",19.0,13.9,2,12,4,33.3,0.87,0.29,0.17,0.5,21.0,0.0,0,0,0.5,0.5,0.04,1.5,1.5,América (MG),Brasileiro,Rodriguinho (América (MG))
Everaldo,BRA,"FW,MF",28.0,13.7,1,20,4,20.0,1.46,0.29,0.05,0.25,20.4,0.0,0,0,1.2,1.2,0.06,-0.2,-0.2,América (MG),Brasileiro,Everaldo (América (MG))
Ale,BRA,MF,32.0,15.8,1,13,1,7.7,0.82,0.06,0.08,1.0,14.2,0.0,0,0,1.8,1.8,0.14,-0.8,-0.8,América (MG),Brasileiro,Ale (América (MG))
Martín Benítez,ARG,"MF,FW",28.0,12.4,3,36,10,27.8,2.89,0.8,0.08,0.3,24.5,6.0,0,0,2.6,2.6,0.08,0.4,0.4,América (MG),Brasileiro,Martín Benítez (América (MG))
Breno Cascardo,BRA,MF,19.0,12.9,1,22,5,22.7,1.7,0.39,0.05,0.2,22.9,0.0,0,0,1.3,1.3,0.06,-0.3,-0.3,América (MG),Brasileiro,Breno Cascardo (América (MG))
Jori,BRA,GK,26.0,11.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Jori (América (MG))
Mateus Pasinato,BRA,GK,30.0,10.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Mateus Pasinato (América (MG))
Marcinho,BRA,DF,26.0,8.9,0,8,1,12.5,0.9,0.11,0.0,0.0,28.0,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,América (MG),Brasileiro,Marcinho (América (MG))
Aloísio dos Santos Gonçalves,CHN,"FW,MF",34.0,8.0,3,34,10,29.4,4.27,1.26,0.03,0.1,20.5,2.0,2,2,4.1,2.7,0.08,-1.1,-1.7,América (MG),Brasileiro,Aloísio dos Santos Gonçalves (América (MG))
Daniel Borges,BRA,DF,29.0,8.9,0,3,0,0.0,0.34,0.0,0.0,0.0,25.8,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,América (MG),Brasileiro,Daniel Borges (América (MG))
Nicolas,BRA,DF,25.0,8.0,1,8,5,62.5,1.0,0.62,0.13,0.2,29.5,4.0,0,0,0.2,0.2,0.03,0.8,0.8,América (MG),Brasileiro,Nicolas (América (MG))
Mateus Henrique,BRA,DF,20.0,6.0,0,3,0,0.0,0.5,0.0,0.0,0.0,13.5,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,América (MG),Brasileiro,Mateus Henrique (América (MG))
Júlio César,BRA,DF,19.0,6.6,0,4,0,0.0,0.61,0.0,0.0,0.0,14.9,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,América (MG),Brasileiro,Júlio César (América (MG))
Wanderson,BRA,DF,31.0,5.6,0,2,1,50.0,0.36,0.18,0.0,0.0,12.3,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,América (MG),Brasileiro,Wanderson (América (MG))
Rodrigo Varanda,BRA,"FW,MF",20.0,5.7,2,19,8,42.1,3.31,1.4,0.11,0.25,19.0,0.0,0,0,1.6,1.6,0.08,0.4,0.4,América (MG),Brasileiro,Rodrigo Varanda (América (MG))
Renato Marques,BRA,"FW,MF",19.0,5.7,3,14,6,42.9,2.45,1.05,0.21,0.5,18.1,0.0,0,0,1.3,1.3,0.09,1.7,1.7,América (MG),Brasileiro,Renato Marques (América (MG))
Pedrinho,BRA,"FW,MF",23.0,4.6,0,14,4,28.6,3.07,0.88,0.0,0.0,17.1,0.0,0,0,0.7,0.7,0.05,-0.7,-0.7,América (MG),Brasileiro,Pedrinho (América (MG))
Esteban Burgos,ARG,DF,31.0,3.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Esteban Burgos (América (MG))
Óscar Méndez,URU,MF,28.0,2.9,0,1,0,0.0,0.35,0.0,0.0,0.0,34.0,0.0,0,0,0.0,0.0,0.01,0.0,0.0,América (MG),Brasileiro,Óscar Méndez (América (MG))
Matheusinho,BRA,"MF,FW",24.0,2.5,0,6,4,66.7,2.36,1.57,0.0,0.0,19.4,0.0,0,0,0.6,0.6,0.1,-0.6,-0.6,América (MG),Brasileiro,Matheusinho (América (MG))
Nino Paraíba,BRA,DF,37.0,2.2,0,2,1,50.0,0.91,0.46,0.0,0.0,28.2,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,América (MG),Brasileiro,Nino Paraíba (América (MG))
Washington Aguerre,URU,GK,29.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Washington Aguerre (América (MG))
Henrique Almeida,BRA,FW,31.0,1.7,0,6,2,33.3,3.46,1.15,0.0,0.0,20.3,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,América (MG),Brasileiro,Henrique Almeida (América (MG))
Paulinho,BRA,FW,24.0,1.5,0,1,0,0.0,0.66,0.0,0.0,0.0,63.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0,América (MG),Brasileiro,Paulinho (América (MG))
Juan Cazares,ECU,"MF,FW",30.0,3.1,0,6,2,33.3,1.91,0.64,0.0,0.0,26.4,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,América (MG),Brasileiro,Juan Cazares (América (MG))
Adyson,BRA,"FW,MF",17.0,2.7,0,4,1,25.0,1.47,0.37,0.0,0.0,17.9,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,América (MG),Brasileiro,Adyson (América (MG))
Mikael,BRA,FW,23.0,1.7,0,8,2,25.0,4.71,1.18,0.0,0.0,23.7,2.0,0,0,0.8,0.8,0.1,-0.8,-0.8,América (MG),Brasileiro,Mikael (América (MG))
Arthur,BRA,DF,19.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Arthur (América (MG))
Wellington Paulista,BRA,FW,38.0,2.5,1,12,1,8.3,4.76,0.4,0.08,1.0,16.0,0.0,0,1,1.9,1.0,0.08,-0.9,0.0,América (MG),Brasileiro,Wellington Paulista (América (MG))
Mateus Gonçalves Martins,BRA,"MF,FW",28.0,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Mateus Gonçalves Martins (América (MG))
Renato Kayser,BRA,"FW,MF",26.0,0.4,0,3,0,0.0,6.92,0.0,0.0,0.0,9.0,0.0,0,0,0.4,0.4,0.12,-0.4,-0.4,América (MG),Brasileiro,Renato Kayser (América (MG))
Ighor Gabryel,BRA,FW,20.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Ighor Gabryel (América (MG))
Paulinho,BRA,DF,18.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Paulinho (América (MG))
Jhow,BRA,DF,19.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Jhow (América (MG))
Yago Souza,BRA,MF,16.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Yago Souza (América (MG))
Bento,BRA,GK,23.0,33.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Ath Paranaense,Brasileiro,Bento (Ath Paranaense)
Thiago Heleno,BRA,DF,34.0,30.9,0,19,5,26.3,0.62,0.16,0.0,0.0,10.9,0.0,0,0,0.8,0.8,0.04,-0.8,-0.8,Ath Paranaense,Brasileiro,Thiago Heleno (Ath Paranaense)
Erick,BRA,MF,25.0,27.8,4,56,15,26.8,2.02,0.54,0.07,0.27,13.4,0.0,0,0,5.4,5.4,0.1,-1.4,-1.4,Ath Paranaense,Brasileiro,Erick (Ath Paranaense)
Vitor Bueno,BRA,"MF,FW",28.0,23.1,5,63,17,27.0,2.73,0.74,0.03,0.12,26.8,11.0,3,3,5.3,3.1,0.05,-0.3,-1.1,Ath Paranaense,Brasileiro,Vitor Bueno (Ath Paranaense)
Fernandinho,BRA,MF,37.0,21.5,1,15,4,26.7,0.7,0.19,0.0,0.0,27.8,0.0,1,1,1.2,0.4,0.03,-0.2,-0.4,Ath Paranaense,Brasileiro,Fernandinho (Ath Paranaense)
Agustín Canobbio,URU,"FW,MF",24.0,23.5,3,67,29,43.3,2.85,1.23,0.04,0.1,20.1,4.0,0,0,5.5,5.5,0.08,-2.5,-2.5,Ath Paranaense,Brasileiro,Agustín Canobbio (Ath Paranaense)
Tomás Cuello,ARG,"MF,FW",22.0,22.8,0,30,8,26.7,1.31,0.35,0.0,0.0,22.4,0.0,0,0,1.5,1.5,0.05,-1.5,-1.5,Ath Paranaense,Brasileiro,Tomás Cuello (Ath Paranaense)
Vitor Roque,BRA,FW,17.0,19.0,12,51,23,45.1,2.68,1.21,0.24,0.52,14.0,0.0,0,0,8.8,8.8,0.17,3.2,3.2,Ath Paranaense,Brasileiro,Vitor Roque (Ath Paranaense)
Cacá,BRA,DF,23.0,18.8,2,9,2,22.2,0.48,0.11,0.22,1.0,11.6,0.0,0,0,1.1,1.1,0.12,0.9,0.9,Ath Paranaense,Brasileiro,Cacá (Ath Paranaense)
Lucas Esquivel,ARG,DF,21.0,18.3,0,8,2,25.0,0.44,0.11,0.0,0.0,22.1,3.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Ath Paranaense,Brasileiro,Lucas Esquivel (Ath Paranaense)
Hugo Moura,BRA,MF,25.0,14.7,0,11,1,9.1,0.75,0.07,0.0,0.0,28.3,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Ath Paranaense,Brasileiro,Hugo Moura (Ath Paranaense)
Pablo,BRA,FW,30.0,15.5,7,43,15,34.9,2.77,0.97,0.16,0.47,16.5,0.0,0,0,6.1,6.1,0.14,0.9,0.9,Ath Paranaense,Brasileiro,Pablo (Ath Paranaense)
