Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Team,Championship,Player_Team
Juninho,BRA,MF,35.0,32.5,973.0,924.0,41.0,21.0,3.0,2.0,45,17.0,0.0,0.0,0.0,0.0,699.0,8.0,21.0,América (MG),Brasileiro,Juninho (América (MG))
Leandro Emmanuel Martínez,ARG,MF,28.0,28.2,1475.0,1317.0,154.0,62.0,8.0,6.0,109,7.0,79.0,24.0,24.0,0.0,1177.0,4.0,28.0,América (MG),Brasileiro,Leandro Emmanuel Martínez (América (MG))
Felipe Azevedo,BRA,"FW,MF",36.0,19.4,497.0,472.0,22.0,6.0,0.0,5.0,29,6.0,9.0,3.0,1.0,0.0,325.0,3.0,21.0,América (MG),Brasileiro,Felipe Azevedo (América (MG))
Iago Maidana,BRA,DF,26.0,24.0,775.0,737.0,33.0,25.0,0.0,8.0,1,2.0,0.0,0.0,0.0,0.0,578.0,5.0,9.0,América (MG),Brasileiro,Iago Maidana (América (MG))
Danilo Avelar,BRA,DF,33.0,22.0,890.0,777.0,107.0,23.0,1.0,4.0,19,83.0,0.0,0.0,0.0,0.0,613.0,6.0,15.0,América (MG),Brasileiro,Danilo Avelar (América (MG))
Gonzalo Mastriani,URU,FW,29.0,19.9,316.0,278.0,36.0,0.0,1.0,0.0,3,1.0,0.0,0.0,0.0,0.0,198.0,2.0,8.0,América (MG),Brasileiro,Gonzalo Mastriani (América (MG))
Marlon,BRA,DF,28.0,18.6,877.0,696.0,180.0,26.0,0.0,4.0,64,146.0,8.0,4.0,3.0,0.0,674.0,1.0,32.0,América (MG),Brasileiro,Marlon (América (MG))
Ricardo Silva,BRA,DF,30.0,17.9,634.0,592.0,40.0,36.0,0.0,10.0,2,4.0,0.0,0.0,0.0,0.0,489.0,2.0,8.0,América (MG),Brasileiro,Ricardo Silva (América (MG))
Eder,BRA,DF,27.0,17.4,692.0,659.0,32.0,29.0,1.0,11.0,1,0.0,0.0,0.0,0.0,0.0,554.0,1.0,0.0,América (MG),Brasileiro,Eder (América (MG))
Lucas Kal,BRA,MF,26.0,13.7,606.0,572.0,32.0,29.0,3.0,4.0,8,1.0,0.0,0.0,0.0,0.0,499.0,2.0,8.0,América (MG),Brasileiro,Lucas Kal (América (MG))
Matheus Cavichioli,BRA,GK,36.0,15.0,377.0,224.0,152.0,37.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,261.0,1.0,1.0,América (MG),Brasileiro,Matheus Cavichioli (América (MG))
Rodriguinho,BRA,"DF,MF",19.0,13.9,642.0,532.0,110.0,14.0,4.0,10.0,67,85.0,11.0,4.0,7.0,0.0,471.0,0.0,22.0,América (MG),Brasileiro,Rodriguinho (América (MG))
Everaldo,BRA,"FW,MF",28.0,13.7,430.0,405.0,23.0,3.0,1.0,3.0,50,15.0,5.0,1.0,2.0,0.0,328.0,2.0,13.0,América (MG),Brasileiro,Everaldo (América (MG))
Ale,BRA,MF,32.0,15.8,878.0,841.0,36.0,26.0,0.0,7.0,11,7.0,0.0,0.0,0.0,0.0,770.0,1.0,10.0,América (MG),Brasileiro,Ale (América (MG))
Martín Benítez,ARG,"MF,FW",28.0,12.4,561.0,470.0,88.0,41.0,7.0,11.0,51,7.0,32.0,9.0,17.0,1.0,386.0,3.0,13.0,América (MG),Brasileiro,Martín Benítez (América (MG))
Breno Cascardo,BRA,MF,19.0,12.9,589.0,566.0,19.0,14.0,1.0,5.0,6,1.0,0.0,0.0,0.0,0.0,491.0,4.0,9.0,América (MG),Brasileiro,Breno Cascardo (América (MG))
Jori,BRA,GK,26.0,11.0,272.0,147.0,125.0,30.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,América (MG),Brasileiro,Jori (América (MG))
Mateus Pasinato,BRA,GK,30.0,10.0,246.0,155.0,89.0,20.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,184.0,2.0,0.0,América (MG),Brasileiro,Mateus Pasinato (América (MG))
Marcinho,BRA,DF,26.0,8.9,474.0,397.0,76.0,8.0,2.0,10.0,46,65.0,3.0,0.0,2.0,0.0,317.0,1.0,11.0,América (MG),Brasileiro,Marcinho (América (MG))
Aloísio dos Santos Gonçalves,CHN,"FW,MF",34.0,8.0,161.0,139.0,20.0,0.0,0.0,2.0,6,0.0,0.0,0.0,0.0,0.0,99.0,2.0,9.0,América (MG),Brasileiro,Aloísio dos Santos Gonçalves (América (MG))
Daniel Borges,BRA,DF,29.0,8.9,494.0,407.0,87.0,12.0,0.0,8.0,44,75.0,0.0,0.0,0.0,0.0,381.0,0.0,9.0,América (MG),Brasileiro,Daniel Borges (América (MG))
Nicolas,BRA,DF,25.0,8.0,287.0,226.0,60.0,3.0,0.0,2.0,26,52.0,5.0,1.0,3.0,0.0,188.0,1.0,15.0,América (MG),Brasileiro,Nicolas (América (MG))
