Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Team,Championship,Player_Team
Juninho,BRA,MF,35.0,32.5,1274.0,57.0,274.0,589.0,434.0,94.0,1274.0,38.0,19.0,50.0,14.0,36.8,636.0,2777.0,1251.0,31.0,19.0,7.0,52.0,22.0,758.0,164.0,América (MG),Brasileiro,Juninho (América (MG))
Leandro Emmanuel Martínez,ARG,MF,28.0,28.2,1838.0,58.0,321.0,974.0,583.0,45.0,1838.0,105.0,49.0,46.7,47.0,44.8,1076.0,6873.0,2696.0,70.0,53.0,11.0,55.0,27.0,1164.0,104.0,América (MG),Brasileiro,Leandro Emmanuel Martínez (América (MG))
Felipe Azevedo,BRA,"FW,MF",36.0,19.4,738.0,20.0,128.0,272.0,358.0,66.0,738.0,67.0,26.0,38.8,37.0,55.2,441.0,2637.0,1187.0,31.0,39.0,13.0,47.0,31.0,509.0,121.0,América (MG),Brasileiro,Felipe Azevedo (América (MG))
Iago Maidana,BRA,DF,26.0,24.0,1018.0,160.0,526.0,456.0,46.0,29.0,1018.0,4.0,3.0,75.0,1.0,25.0,483.0,3251.0,2198.0,17.0,6.0,0.0,9.0,3.0,504.0,7.0,América (MG),Brasileiro,Iago Maidana (América (MG))
Danilo Avelar,BRA,DF,33.0,22.0,1128.0,102.0,432.0,530.0,174.0,56.0,1127.0,11.0,3.0,27.3,8.0,72.7,495.0,2414.0,1349.0,11.0,10.0,0.0,14.0,2.0,617.0,42.0,América (MG),Brasileiro,Danilo Avelar (América (MG))
Gonzalo Mastriani,URU,FW,29.0,19.9,486.0,15.0,41.0,220.0,232.0,79.0,484.0,19.0,7.0,36.8,10.0,52.6,235.0,860.0,355.0,9.0,15.0,4.0,43.0,14.0,328.0,89.0,América (MG),Brasileiro,Gonzalo Mastriani (América (MG))
Marlon,BRA,DF,28.0,18.6,1108.0,58.0,340.0,505.0,288.0,20.0,1108.0,43.0,22.0,51.2,13.0,30.2,577.0,4206.0,2451.0,63.0,38.0,3.0,25.0,11.0,576.0,80.0,América (MG),Brasileiro,Marlon (América (MG))
Ricardo Silva,BRA,DF,30.0,17.9,820.0,123.0,429.0,372.0,27.0,12.0,820.0,5.0,5.0,100.0,0.0,0.0,361.0,1581.0,892.0,10.0,4.0,1.0,6.0,2.0,404.0,1.0,América (MG),Brasileiro,Ricardo Silva (América (MG))
Eder,BRA,DF,27.0,17.4,893.0,163.0,488.0,386.0,27.0,10.0,893.0,2.0,1.0,50.0,1.0,50.0,478.0,2615.0,1652.0,9.0,5.0,0.0,5.0,1.0,492.0,4.0,América (MG),Brasileiro,Eder (América (MG))
Lucas Kal,BRA,MF,26.0,13.7,711.0,39.0,176.0,440.0,99.0,9.0,711.0,4.0,2.0,50.0,2.0,50.0,422.0,2249.0,1243.0,21.0,11.0,0.0,8.0,3.0,453.0,13.0,América (MG),Brasileiro,Lucas Kal (América (MG))
