Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Team,Championship,Player_Team
Juninho,BRA,MF,35.0,32.5,44.0,26,14.0,23.0,7.0,15.0,51.0,29.4,36.0,32.0,7.0,25.0,31,75.0,43.0,0.0,América (MG),Brasileiro,Juninho (América (MG))
Leandro Emmanuel Martínez,ARG,MF,28.0,28.2,60.0,40,20.0,36.0,4.0,25.0,92.0,27.2,67.0,51.0,11.0,40.0,31,91.0,21.0,1.0,América (MG),Brasileiro,Leandro Emmanuel Martínez (América (MG))
Felipe Azevedo,BRA,"FW,MF",36.0,19.4,17.0,10,7.0,5.0,5.0,11.0,26.0,42.3,15.0,16.0,3.0,13.0,10,27.0,17.0,0.0,América (MG),Brasileiro,Felipe Azevedo (América (MG))
Iago Maidana,BRA,DF,26.0,24.0,32.0,15,22.0,9.0,1.0,12.0,22.0,54.5,10.0,31.0,21.0,10.0,32,64.0,107.0,0.0,América (MG),Brasileiro,Iago Maidana (América (MG))
Danilo Avelar,BRA,DF,33.0,22.0,35.0,22,15.0,18.0,2.0,17.0,31.0,54.8,14.0,20.0,10.0,10.0,35,70.0,72.0,0.0,América (MG),Brasileiro,Danilo Avelar (América (MG))
Gonzalo Mastriani,URU,FW,29.0,19.9,11.0,7,0.0,6.0,5.0,6.0,20.0,30.0,14.0,11.0,3.0,8.0,1,12.0,11.0,0.0,América (MG),Brasileiro,Gonzalo Mastriani (América (MG))
Marlon,BRA,DF,28.0,18.6,37.0,26,20.0,16.0,1.0,22.0,36.0,61.1,14.0,32.0,6.0,26.0,31,68.0,49.0,0.0,América (MG),Brasileiro,Marlon (América (MG))
Ricardo Silva,BRA,DF,30.0,17.9,25.0,17,19.0,6.0,0.0,18.0,28.0,64.3,10.0,28.0,17.0,11.0,28,53.0,91.0,1.0,América (MG),Brasileiro,Ricardo Silva (América (MG))
Eder,BRA,DF,27.0,17.4,23.0,14,14.0,7.0,2.0,15.0,21.0,71.4,6.0,34.0,21.0,13.0,19,42.0,99.0,1.0,América (MG),Brasileiro,Eder (América (MG))
Lucas Kal,BRA,MF,26.0,13.7,17.0,7,13.0,3.0,1.0,10.0,31.0,32.3,21.0,13.0,5.0,8.0,15,32.0,24.0,0.0,América (MG),Brasileiro,Lucas Kal (América (MG))
Matheus Cavichioli,BRA,GK,36.0,15.0,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,1,2.0,8.0,2.0,América (MG),Brasileiro,Matheus Cavichioli (América (MG))
Rodriguinho,BRA,"DF,MF",19.0,13.9,24.0,16,17.0,7.0,0.0,13.0,38.0,34.2,25.0,18.0,2.0,16.0,9,33.0,21.0,0.0,América (MG),Brasileiro,Rodriguinho (América (MG))
Everaldo,BRA,"FW,MF",28.0,13.7,22.0,16,12.0,8.0,2.0,12.0,28.0,42.9,16.0,12.0,0.0,12.0,6,28.0,5.0,0.0,América (MG),Brasileiro,Everaldo (América (MG))
Ale,BRA,MF,32.0,15.8,38.0,16,17.0,19.0,2.0,12.0,37.0,32.4,25.0,21.0,5.0,16.0,28,66.0,24.0,0.0,América (MG),Brasileiro,Ale (América (MG))
Martín Benítez,ARG,"MF,FW",28.0,12.4,11.0,7,5.0,3.0,3.0,4.0,14.0,28.6,10.0,7.0,0.0,7.0,6,17.0,3.0,0.0,América (MG),Brasileiro,Martín Benítez (América (MG))
Breno Cascardo,BRA,MF,19.0,12.9,31.0,19,11.0,16.0,4.0,13.0,43.0,30.2,30.0,20.0,1.0,19.0,10,41.0,11.0,0.0,América (MG),Brasileiro,Breno Cascardo (América (MG))
Jori,BRA,GK,26.0,11.0,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,1.0,9.0,0.0,América (MG),Brasileiro,Jori (América (MG))
Mateus Pasinato,BRA,GK,30.0,10.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,6.0,2.0,América (MG),Brasileiro,Mateus Pasinato (América (MG))
Marcinho,BRA,DF,26.0,8.9,11.0,7,7.0,3.0,1.0,6.0,22.0,27.3,16.0,14.0,5.0,9.0,17,28.0,32.0,1.0,América (MG),Brasileiro,Marcinho (América (MG))
Aloísio dos Santos Gonçalves,CHN,"FW,MF",34.0,8.0,5.0,4,1.0,2.0,2.0,2.0,16.0,12.5,14.0,5.0,1.0,4.0,2,7.0,4.0,0.0,América (MG),Brasileiro,Aloísio dos Santos Gonçalves (América (MG))
Daniel Borges,BRA,DF,29.0,8.9,18.0,12,9.0,7.0,2.0,8.0,14.0,57.1,6.0,9.0,3.0,6.0,14,32.0,30.0,0.0,América (MG),Brasileiro,Daniel Borges (América (MG))
Nicolas,BRA,DF,25.0,8.0,12.0,6,9.0,3.0,0.0,5.0,14.0,35.7,9.0,19.0,5.0,14.0,11,23.0,28.0,0.0,América (MG),Brasileiro,Nicolas (América (MG))
Mateus Henrique,BRA,DF,20.0,6.0,12.0,8,9.0,3.0,0.0,6.0,15.0,40.0,9.0,14.0,5.0,9.0,5,17.0,22.0,0.0,América (MG),Brasileiro,Mateus Henrique (América (MG))
Júlio César,BRA,DF,19.0,6.6,9.0,7,6.0,3.0,0.0,7.0,9.0,77.8,2.0,15.0,10.0,5.0,4,13.0,41.0,0.0,América (MG),Brasileiro,Júlio César (América (MG))
