Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Team,Championship,Player_Team
Juninho,BRA,MF,35.0,36,2929.0,81.0,85.6,32.5,32,88.0,28,4,27.0,0,0.67,39.0,68.0,-29.0,-0.89,0.94,41.7,51.1,-9.4,-0.29,0.87,América (MG),Brasileiro,Juninho (América (MG))
Leandro Emmanuel Martínez,ARG,MF,28.0,35,2541.0,73.0,74.3,28.2,29,83.0,18,6,20.0,0,0.57,32.0,63.0,-31.0,-1.1,-0.28,35.7,45.2,-9.5,-0.34,0.31,América (MG),Brasileiro,Leandro Emmanuel Martínez (América (MG))
Felipe Azevedo,BRA,"FW,MF",36.0,30,1748.0,58.0,51.1,19.4,25,65.0,2,5,26.0,3,0.67,19.0,37.0,-18.0,-0.93,0.2,23.2,28.2,-5.0,-0.26,0.34,América (MG),Brasileiro,Felipe Azevedo (América (MG))
Iago Maidana,BRA,DF,26.0,30,2163.0,72.0,63.2,24.0,24,86.0,21,6,18.0,1,0.53,30.0,54.0,-24.0,-1.0,0.08,32.5,38.7,-6.1,-0.26,0.44,América (MG),Brasileiro,Iago Maidana (América (MG))
Danilo Avelar,BRA,DF,33.0,26,1984.0,76.0,58.0,22.0,24,82.0,15,2,9.0,5,0.77,30.0,45.0,-15.0,-0.68,0.82,25.9,31.5,-5.6,-0.26,0.39,América (MG),Brasileiro,Danilo Avelar (América (MG))
Gonzalo Mastriani,URU,FW,29.0,24,1793.0,75.0,52.4,19.9,22,78.0,9,2,41.0,9,0.54,21.0,36.0,-15.0,-0.75,0.57,24.1,27.0,-2.8,-0.14,0.58,América (MG),Brasileiro,Gonzalo Mastriani (América (MG))
Marlon,BRA,DF,28.0,26,1674.0,64.0,48.9,18.6,18,81.0,11,8,26.0,6,0.54,19.0,40.0,-21.0,-1.13,-0.2,22.2,34.1,-11.9,-0.64,-0.43,América (MG),Brasileiro,Marlon (América (MG))
Ricardo Silva,BRA,DF,30.0,20,1610.0,81.0,47.1,17.9,18,87.0,17,2,22.0,3,0.9,20.0,35.0,-15.0,-0.84,0.35,24.6,26.8,-2.2,-0.12,0.56,América (MG),Brasileiro,Ricardo Silva (América (MG))
Eder,BRA,DF,27.0,24,1566.0,65.0,45.8,17.4,17,81.0,13,7,28.0,10,0.5,16.0,46.0,-30.0,-1.72,-1.29,20.6,36.1,-15.5,-0.89,-0.87,América (MG),Brasileiro,Eder (América (MG))
Lucas Kal,BRA,MF,26.0,19,1235.0,65.0,36.1,13.7,16,75.0,7,3,11.0,10,0.74,14.0,29.0,-15.0,-1.09,-0.1,16.0,24.8,-8.8,-0.64,-0.35,América (MG),Brasileiro,Lucas Kal (América (MG))
