Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Team,Championship,Player_Team
Juninho,BRA,MF,35.0,32.5,97.0,2.99,78.0,1.0,5.0,8.0,3.0,2.0,9.0,0.28,8.0,0.0,0.0,0.0,1.0,0.0,América (MG),Brasileiro,Juninho (América (MG))
Leandro Emmanuel Martínez,ARG,MF,28.0,28.2,120.0,4.25,83.0,22.0,3.0,3.0,5.0,4.0,9.0,0.32,6.0,2.0,0.0,0.0,1.0,0.0,América (MG),Brasileiro,Leandro Emmanuel Martínez (América (MG))
Felipe Azevedo,BRA,"FW,MF",36.0,19.4,57.0,2.9,41.0,3.0,2.0,5.0,4.0,2.0,4.0,0.2,2.0,0.0,1.0,0.0,0.0,1.0,América (MG),Brasileiro,Felipe Azevedo (América (MG))
Iago Maidana,BRA,DF,26.0,24.0,10.0,0.42,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Iago Maidana (América (MG))
Danilo Avelar,BRA,DF,33.0,22.0,29.0,1.32,21.0,3.0,0.0,4.0,0.0,1.0,4.0,0.18,3.0,1.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Danilo Avelar (América (MG))
Gonzalo Mastriani,URU,FW,29.0,19.9,33.0,1.66,25.0,0.0,0.0,2.0,6.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Gonzalo Mastriani (América (MG))
Marlon,BRA,DF,28.0,18.6,41.0,2.21,29.0,8.0,1.0,0.0,2.0,1.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Marlon (América (MG))
Ricardo Silva,BRA,DF,30.0,17.9,9.0,0.5,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Ricardo Silva (América (MG))
Eder,BRA,DF,27.0,17.4,11.0,0.63,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Eder (América (MG))
Lucas Kal,BRA,MF,26.0,13.7,29.0,2.11,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Lucas Kal (América (MG))
Matheus Cavichioli,BRA,GK,36.0,15.0,4.0,0.27,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Matheus Cavichioli (América (MG))
Rodriguinho,BRA,"DF,MF",19.0,13.9,30.0,2.17,22.0,7.0,1.0,0.0,0.0,0.0,3.0,0.22,3.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Rodriguinho (América (MG))
Everaldo,BRA,"FW,MF",28.0,13.7,50.0,3.65,35.0,3.0,1.0,4.0,7.0,0.0,6.0,0.44,6.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Everaldo (América (MG))
Ale,BRA,MF,32.0,15.8,35.0,2.21,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Ale (América (MG))
Martín Benítez,ARG,"MF,FW",28.0,12.4,75.0,6.03,39.0,14.0,9.0,3.0,10.0,0.0,6.0,0.48,4.0,1.0,0.0,1.0,0.0,0.0,América (MG),Brasileiro,Martín Benítez (América (MG))
Breno Cascardo,BRA,MF,19.0,12.9,27.0,2.09,21.0,0.0,2.0,3.0,0.0,1.0,2.0,0.16,1.0,0.0,0.0,1.0,0.0,0.0,América (MG),Brasileiro,Breno Cascardo (América (MG))
Jori,BRA,GK,26.0,11.0,2.0,0.18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Jori (América (MG))
Mateus Pasinato,BRA,GK,30.0,10.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Mateus Pasinato (América (MG))
Marcinho,BRA,DF,26.0,8.9,18.0,2.03,14.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Marcinho (América (MG))
Aloísio dos Santos Gonçalves,CHN,"FW,MF",34.0,8.0,26.0,3.26,16.0,0.0,5.0,3.0,2.0,0.0,4.0,0.5,2.0,0.0,0.0,2.0,0.0,0.0,América (MG),Brasileiro,Aloísio dos Santos Gonçalves (América (MG))
Daniel Borges,BRA,DF,29.0,8.9,22.0,2.48,18.0,2.0,2.0,0.0,0.0,0.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Daniel Borges (América (MG))
Nicolas,BRA,DF,25.0,8.0,15.0,1.87,9.0,5.0,0.0,1.0,0.0,0.0,1.0,0.12,1.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Nicolas (América (MG))
Mateus Henrique,BRA,DF,20.0,6.0,12.0,2.01,11.0,0.0,1.0,0.0,0.0,0.0,3.0,0.5,2.0,0.0,1.0,0.0,0.0,0.0,América (MG),Brasileiro,Mateus Henrique (América (MG))
Júlio César,BRA,DF,19.0,6.6,4.0,0.61,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.3,1.0,0.0,1.0,0.0,0.0,0.0,América (MG),Brasileiro,Júlio César (América (MG))
Wanderson,BRA,DF,31.0,5.6,1.0,0.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Wanderson (América (MG))
Rodrigo Varanda,BRA,"FW,MF",20.0,5.7,25.0,4.35,19.0,0.0,2.0,3.0,0.0,1.0,5.0,0.87,5.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Rodrigo Varanda (América (MG))
Renato Marques,BRA,"FW,MF",19.0,5.7,9.0,1.57,8.0,0.0,1.0,0.0,0.0,0.0,2.0,0.35,2.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Renato Marques (América (MG))
Pedrinho,BRA,"FW,MF",23.0,4.6,12.0,2.63,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.22,0.0,0.0,0.0,0.0,1.0,0.0,América (MG),Brasileiro,Pedrinho (América (MG))
Esteban Burgos,ARG,DF,31.0,3.3,1.0,0.31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Esteban Burgos (América (MG))
Óscar Méndez,URU,MF,28.0,2.9,1.0,0.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Óscar Méndez (América (MG))
Matheusinho,BRA,"MF,FW",24.0,2.5,11.0,4.3,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Matheusinho (América (MG))
Nino Paraíba,BRA,DF,37.0,2.2,8.0,3.64,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Nino Paraíba (América (MG))
Washington Aguerre,URU,GK,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Washington Aguerre (América (MG))
Henrique Almeida,BRA,FW,31.0,1.7,7.0,4.04,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Henrique Almeida (América (MG))
Paulinho,BRA,FW,24.0,1.5,7.0,4.63,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Paulinho (América (MG))
Juan Cazares,ECU,"MF,FW",30.0,3.1,16.0,5.07,12.0,3.0,0.0,1.0,0.0,0.0,3.0,0.95,2.0,0.0,0.0,1.0,0.0,0.0,América (MG),Brasileiro,Juan Cazares (América (MG))
Adyson,BRA,"FW,MF",17.0,2.7,16.0,5.88,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Adyson (América (MG))
Mikael,BRA,FW,23.0,1.7,6.0,3.51,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Mikael (América (MG))
Arthur,BRA,DF,19.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Arthur (América (MG))
Wellington Paulista,BRA,FW,38.0,2.5,7.0,2.78,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,América (MG),Brasileiro,Wellington Paulista (América (MG))
Mateus Gonçalves Martins,BRA,"MF,FW",28.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Mateus Gonçalves Martins (América (MG))
Renato Kayser,BRA,"FW,MF",26.0,0.4,1.0,2.31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Renato Kayser (América (MG))
Ighor Gabryel,BRA,FW,20.0,0.3,1.0,3.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Ighor Gabryel (América (MG))
