Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Team,Championship,Player_Team
Juninho,BRA,MF,35.0,32.5,699.0,973.0,71.8,10503.0,3674.0,381.0,470.0,81.1,237.0,332.0,71.4,44.0,82.0,53.7,2,3.5,5.0,-1.5,42.0,62.0,27.0,7.0,100.0,América (MG),Brasileiro,Juninho (América (MG))
Leandro Emmanuel Martínez,ARG,MF,28.0,28.2,1177.0,1475.0,79.8,18334.0,5971.0,640.0,706.0,90.7,402.0,499.0,80.6,87.0,172.0,50.6,5,4.5,5.6,0.5,65.0,127.0,40.0,14.0,155.0,América (MG),Brasileiro,Leandro Emmanuel Martínez (América (MG))
Felipe Azevedo,BRA,"FW,MF",36.0,19.4,325.0,497.0,65.4,4894.0,1573.0,182.0,243.0,74.9,89.0,135.0,65.9,28.0,54.0,51.9,1,2.0,1.0,-1.0,29.0,34.0,17.0,3.0,52.0,América (MG),Brasileiro,Felipe Azevedo (América (MG))
Iago Maidana,BRA,DF,26.0,24.0,578.0,775.0,74.6,11891.0,4920.0,176.0,213.0,82.6,311.0,375.0,82.9,85.0,159.0,53.5,0,0.1,0.1,-0.1,4.0,40.0,1.0,1.0,54.0,América (MG),Brasileiro,Iago Maidana (América (MG))
Danilo Avelar,BRA,DF,33.0,22.0,613.0,890.0,68.9,11632.0,6518.0,228.0,272.0,83.8,308.0,408.0,75.5,67.0,166.0,40.4,1,0.7,0.7,0.3,12.0,59.0,11.0,7.0,81.0,América (MG),Brasileiro,Danilo Avelar (América (MG))
Gonzalo Mastriani,URU,FW,29.0,19.9,198.0,316.0,62.7,2522.0,484.0,126.0,179.0,70.4,42.0,72.0,58.3,10.0,19.0,52.6,1,1.5,1.1,-0.5,14.0,15.0,8.0,0.0,23.0,América (MG),Brasileiro,Gonzalo Mastriani (América (MG))
Marlon,BRA,DF,28.0,18.6,674.0,877.0,76.9,10871.0,4449.0,367.0,415.0,88.4,239.0,297.0,80.5,51.0,108.0,47.2,1,0.8,0.9,0.2,19.0,54.0,13.0,7.0,71.0,América (MG),Brasileiro,Marlon (América (MG))
Ricardo Silva,BRA,DF,30.0,17.9,489.0,634.0,77.1,9700.0,3970.0,160.0,190.0,84.2,257.0,301.0,85.4,64.0,114.0,56.1,0,0.1,0.2,-0.1,2.0,35.0,1.0,0.0,44.0,América (MG),Brasileiro,Ricardo Silva (América (MG))
Eder,BRA,DF,27.0,17.4,554.0,692.0,80.1,11569.0,5119.0,173.0,191.0,90.6,290.0,331.0,87.6,89.0,160.0,55.6,0,0.2,0.3,-0.2,3.0,49.0,5.0,1.0,54.0,América (MG),Brasileiro,Eder (América (MG))
Lucas Kal,BRA,MF,26.0,13.7,499.0,606.0,82.3,8673.0,3219.0,225.0,252.0,89.3,208.0,240.0,86.7,50.0,79.0,63.3,1,1.0,0.9,0.0,11.0,76.0,10.0,2.0,86.0,América (MG),Brasileiro,Lucas Kal (América (MG))
