Player,Nation,Pos,Age,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Team,Championship,Player_Team
Matheus Cavichioli,BRA,GK,36.0,15.0,31.0,2.0,0.0,1.0,2.0,27.4,0.32,-1.6,-0.11,98,205,47.8,261,58,54.8,40.3,115,53.9,40.4,275,24,8.7,18.0,1.2,13.3,América (MG),Brasileiro,Matheus Cavichioli (América (MG))
Jori,BRA,GK,26.0,11.0,25.0,2.0,1.0,3.0,1.0,23.7,0.31,-0.3,-0.02,36,107,33.6,177,62,33.9,33.7,95,49.5,38.9,209,15,7.2,8.0,0.73,10.8,América (MG),Brasileiro,Jori (América (MG))
Mateus Pasinato,BRA,GK,30.0,10.0,20.0,1.0,1.0,1.0,0.0,18.6,0.31,-1.4,-0.14,46,100,46.0,175,50,37.1,35.3,69,50.7,42.4,160,14,8.8,9.0,0.9,12.1,América (MG),Brasileiro,Mateus Pasinato (América (MG))
Washington Aguerre,URU,GK,29.0,2.0,4.0,0.0,0.0,1.0,0.0,3.1,0.44,-0.9,-0.47,4,14,28.6,25,10,40.0,37.0,16,25.0,27.1,47,4,8.5,0.0,0.0,6.8,América (MG),Brasileiro,Washington Aguerre (América (MG))
Bento,BRA,GK,23.0,33.0,37.0,4.0,1.0,5.0,0.0,37.3,0.22,0.3,0.01,113,387,29.2,589,128,42.1,37.9,290,47.9,40.6,490,35,7.1,21.0,0.64,11.9,Ath Paranaense,Brasileiro,Bento (Ath Paranaense)
Leonardo Linck,BRA,GK,21.0,5.0,6.0,0.0,0.0,1.0,0.0,9.9,0.3,3.9,0.77,24,75,32.0,102,24,55.9,43.3,30,60.0,48.9,71,1,1.4,3.0,0.6,17.8,Ath Paranaense,Brasileiro,Leonardo Linck (Ath Paranaense)
Éverson,BRA,GK,32.0,36.0,31.0,2.0,1.0,1.0,1.0,41.3,0.3,11.3,0.31,190,472,40.3,885,132,43.8,37.1,177,47.5,40.5,526,30,5.7,36.0,1.0,14.2,Atlético Mineiro,Brasileiro,Éverson (Atlético Mineiro)
Matheus Mendes,BRA,GK,23.0,2.0,1.0,0.0,0.0,0.0,0.0,1.5,0.2,0.5,0.26,18,41,43.9,43,4,55.8,42.0,23,73.9,49.7,38,2,5.3,0.0,0.0,9.5,Atlético Mineiro,Brasileiro,Matheus Mendes (Atlético Mineiro)
Marcos Felipe,BRA,GK,26.0,37.0,51.0,6.0,1.0,4.0,1.0,57.6,0.29,7.6,0.21,199,506,39.3,884,139,41.7,36.1,251,54.6,43.1,454,27,5.9,39.0,1.05,14.8,Bahia,Brasileiro,Marcos Felipe (Bahia)
Danilo Fernandes,BRA,GK,34.0,0.4,0.0,0.0,0.0,0.0,0.0,1.5,0.25,0.0,0.0,1,6,16.7,10,1,40.0,35.3,4,50.0,34.5,7,1,14.3,0.0,0.0,10.0,Bahia,Brasileiro,Danilo Fernandes (Bahia)
