Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Team,Championship,Player_Team
Matheus Cavichioli,BRA,GK,36.0,15,15,1348,15.0,31.0,2.07,76,45,61.8,2.0,1.0,12,1.0,6.7,4.0,2.0,2.0,0.0,50.0,América (MG),Brasileiro,Matheus Cavichioli (América (MG))
Jori,BRA,GK,26.0,11,11,990,11.0,25.0,2.27,72,48,68.1,1.0,3.0,7,0.0,0.0,2.0,2.0,0.0,0.0,0.0,América (MG),Brasileiro,Jori (América (MG))
Mateus Pasinato,BRA,GK,30.0,10,10,900,10.0,20.0,2.0,59,39,67.8,2.0,4.0,4,1.0,10.0,2.0,1.0,0.0,1.0,0.0,América (MG),Brasileiro,Mateus Pasinato (América (MG))
Washington Aguerre,URU,GK,29.0,2,2,180,2.0,4.0,2.0,7,3,42.9,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Washington Aguerre (América (MG))
Bento,BRA,GK,23.0,33,33,2970,33.0,37.0,1.12,140,101,76.4,12.0,11.0,10,9.0,27.3,6.0,4.0,2.0,0.0,33.3,Ath Paranaense,Brasileiro,Bento (Ath Paranaense)
Leonardo Linck,BRA,GK,21.0,5,5,450,5.0,6.0,1.2,30,23,80.0,2.0,3.0,0,1.0,20.0,1.0,0.0,1.0,0.0,100.0,Ath Paranaense,Brasileiro,Leonardo Linck (Ath Paranaense)
Éverson,BRA,GK,32.0,36,36,3240,36.0,31.0,0.86,132,102,78.0,17.0,9.0,10,14.0,38.9,2.0,2.0,0.0,0.0,0.0,Atlético Mineiro,Brasileiro,Éverson (Atlético Mineiro)
Matheus Mendes,BRA,GK,23.0,2,2,180,2.0,1.0,0.5,8,7,87.5,2.0,0.0,0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,Atlético Mineiro,Brasileiro,Matheus Mendes (Atlético Mineiro)
Marcos Felipe,BRA,GK,26.0,37,37,3330,37.0,51.0,1.38,183,132,75.4,12.0,8.0,17,9.0,24.3,6.0,6.0,0.0,0.0,0.0,Bahia,Brasileiro,Marcos Felipe (Bahia)
Danilo Fernandes,BRA,GK,34.0,1,1,37,0.4,0.0,0.0,6,6,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bahia,Brasileiro,Danilo Fernandes (Bahia)
Mateus Claus,BRA,GK,28.0,1,0,53,0.6,2.0,3.4,3,1,33.3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bahia,Brasileiro,Mateus Claus (Bahia)
