Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Team,Championship,Player_Team
Juninho,BRA,MF,35.0,36,32,2929.0,32.5,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,2.4,2.4,3.5,5.9,31.0,100.0,164.0,0.09,0.06,0.15,0.09,0.15,0.07,0.11,0.18,0.07,0.18,América (MG),Brasileiro,Juninho (América (MG))
Leandro Emmanuel Martínez,ARG,MF,28.0,35,29,2541.0,28.2,1.0,5.0,6.0,1.0,0.0,0.0,4.0,0.0,3.3,3.3,4.5,7.7,70.0,155.0,104.0,0.04,0.18,0.21,0.04,0.21,0.12,0.16,0.27,0.12,0.27,América (MG),Brasileiro,Leandro Emmanuel Martínez (América (MG))
Felipe Azevedo,BRA,"FW,MF",36.0,30,25,1748.0,19.4,4.0,1.0,5.0,4.0,0.0,0.0,3.0,1.0,3.7,3.7,2.0,5.7,31.0,52.0,121.0,0.21,0.05,0.26,0.21,0.26,0.19,0.1,0.29,0.19,0.29,América (MG),Brasileiro,Felipe Azevedo (América (MG))
Iago Maidana,BRA,DF,26.0,30,24,2163.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,0.1,0.9,17.0,54.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,América (MG),Brasileiro,Iago Maidana (América (MG))
Danilo Avelar,BRA,DF,33.0,26,24,1984.0,22.0,3.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,4.0,3.2,0.7,3.9,11.0,81.0,42.0,0.14,0.05,0.18,0.09,0.14,0.18,0.03,0.21,0.14,0.18,América (MG),Brasileiro,Danilo Avelar (América (MG))
Gonzalo Mastriani,URU,FW,29.0,24,22,1793.0,19.9,11.0,1.0,12.0,10.0,1.0,2.0,1.0,1.0,10.7,9.2,1.5,10.7,9.0,23.0,89.0,0.55,0.05,0.6,0.5,0.55,0.54,0.08,0.62,0.46,0.54,América (MG),Brasileiro,Gonzalo Mastriani (América (MG))
Marlon,BRA,DF,28.0,26,18,1674.0,18.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.8,1.3,63.0,71.0,80.0,0.05,0.05,0.11,0.05,0.11,0.03,0.04,0.07,0.03,0.07,América (MG),Brasileiro,Marlon (América (MG))
Ricardo Silva,BRA,DF,30.0,20,18,1610.0,17.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.1,0.7,10.0,44.0,1.0,0.06,0.0,0.06,0.06,0.06,0.04,0.0,0.04,0.04,0.04,América (MG),Brasileiro,Ricardo Silva (América (MG))
Eder,BRA,DF,27.0,24,17,1566.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.4,0.4,0.2,0.5,9.0,54.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,América (MG),Brasileiro,Eder (América (MG))
Lucas Kal,BRA,MF,26.0,19,16,1235.0,13.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.0,1.4,21.0,86.0,13.0,0.0,0.07,0.07,0.0,0.07,0.02,0.08,0.1,0.02,0.1,América (MG),Brasileiro,Lucas Kal (América (MG))
Matheus Cavichioli,BRA,GK,36.0,15,15,1348.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Matheus Cavichioli (América (MG))
Rodriguinho,BRA,"DF,MF",19.0,20,15,1247.0,13.9,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.5,0.5,2.8,3.4,50.0,36.0,96.0,0.14,0.22,0.36,0.14,0.36,0.04,0.2,0.24,0.04,0.24,América (MG),Brasileiro,Rodriguinho (América (MG))
Everaldo,BRA,"FW,MF",28.0,21,15,1233.0,13.7,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,1.2,1.2,2.2,3.5,54.0,52.0,101.0,0.07,0.22,0.29,0.07,0.29,0.09,0.16,0.25,0.09,0.25,América (MG),Brasileiro,Everaldo (América (MG))
Ale,BRA,MF,32.0,27,14,1424.0,15.8,1.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.8,1.8,1.4,3.2,29.0,110.0,37.0,0.06,0.0,0.06,0.06,0.06,0.12,0.09,0.2,0.12,0.2,América (MG),Brasileiro,Ale (América (MG))
Martín Benítez,ARG,"MF,FW",28.0,20,14,1120.0,12.4,3.0,4.0,7.0,3.0,0.0,0.0,4.0,0.0,2.6,2.6,4.0,6.5,26.0,77.0,56.0,0.24,0.32,0.56,0.24,0.56,0.21,0.32,0.53,0.21,0.53,América (MG),Brasileiro,Martín Benítez (América (MG))
Breno Cascardo,BRA,MF,19.0,24,13,1162.0,12.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,0.5,1.8,28.0,80.0,39.0,0.08,0.0,0.08,0.08,0.08,0.1,0.04,0.14,0.1,0.14,América (MG),Brasileiro,Breno Cascardo (América (MG))
Jori,BRA,GK,26.0,11,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Jori (América (MG))
Mateus Pasinato,BRA,GK,30.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,América (MG),Brasileiro,Mateus Pasinato (América (MG))
Marcinho,BRA,DF,26.0,12,10,800.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.9,1.1,12.0,40.0,23.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.13,0.03,0.13,América (MG),Brasileiro,Marcinho (América (MG))
Aloísio dos Santos Gonçalves,CHN,"FW,MF",34.0,12,10,717.0,8.0,3.0,1.0,4.0,1.0,2.0,2.0,3.0,0.0,4.1,2.7,0.7,3.4,6.0,9.0,49.0,0.38,0.13,0.5,0.13,0.25,0.52,0.09,0.61,0.34,0.43,América (MG),Brasileiro,Aloísio dos Santos Gonçalves (América (MG))
Daniel Borges,BRA,DF,29.0,14,8,799.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,1.5,1.6,19.0,45.0,37.0,0.0,0.11,0.11,0.0,0.11,0.01,0.17,0.18,0.01,0.18,América (MG),Brasileiro,Daniel Borges (América (MG))
Nicolas,BRA,DF,25.0,11,8,720.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,15.0,18.0,24.0,0.12,0.12,0.25,0.12,0.25,0.03,0.02,0.05,0.03,0.05,América (MG),Brasileiro,Nicolas (América (MG))
