Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Player Link_,Player ID_,Competition
1,Patrick van Aanholt,NED,DF,PSV Eindhoven,33-132,1990,10.2,0.00,1.96,0.59,30.0,1.97,0.59,0.00,0.00,19.9,0.10,0.00,0.00,0.15,0.15,0.08,-0.15,-0.15,https://fbref.com/en/players/5f09991f/Patrick-van-Aanholt,5f09991f,Eredivisie
2,Jayden Addai,GHA,FW,AZ Alkmaar,18-135,2005,0.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/662ffe3d/Jayden-Addai,662ffe3d,Eredivisie
3,Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,24-328,1999,7.4,0.00,1.89,0.68,35.7,1.90,0.68,0.00,0.00,19.9,0.00,0.00,0.00,0.14,0.14,0.07,-0.14,-0.14,https://fbref.com/en/players/3ed84b2c/Bobby-Adekanye,3ed84b2c,Eredivisie
4,Shawn Adewoye,BEL,DF,RKC Waalwijk,23-193,2000,11.1,0.00,0.81,0.18,22.2,0.81,0.18,0.00,0.00,11.8,0.00,0.00,0.00,0.08,0.08,0.10,-0.08,-0.08,https://fbref.com/en/players/be98fc34/Shawn-Adewoye,be98fc34,Eredivisie
5,Nikolas Agrafiotis,NED,FW,Excelsior,23-258,2000,8.1,0.62,3.58,1.60,44.8,3.57,1.60,0.17,0.38,14.7,0.00,0.00,0.00,0.49,0.49,0.14,0.12,0.12,https://fbref.com/en/players/72a63c0b/Nikolas-Agrafiotis,72a63c0b,Eredivisie
6,Chuba Akpom,ENG,"FW,MF",Ajax,28-091,1995,4.4,1.14,4.55,2.27,50.0,4.59,2.30,0.25,0.50,10.7,0.00,0.00,0.00,1.11,1.11,0.24,0.02,0.02,https://fbref.com/en/players/e2b384d2/Chuba-Akpom,e2b384d2,Eredivisie
7,Hamdi Akujobi,NED,"DF,MF",Almere City,23-353,2000,6.9,0.00,1.16,0.00,0.0,1.16,0.00,0.00,,19.5,0.00,0.00,0.00,0.10,0.10,0.08,-0.10,-0.10,https://fbref.com/en/players/0b524c25/Hamdi-Akujobi,0b524c25,Eredivisie
8,Hussein Ali,IRQ,DF,Heerenveen,21-313,2002,5.7,0.00,0.88,0.18,20.0,0.88,0.18,0.00,0.00,19.4,0.00,0.00,0.00,0.05,0.05,0.06,-0.05,-0.05,https://fbref.com/en/players/b8a919ad/Hussein-Ali,b8a919ad,Eredivisie
9,Jordi Altena,NED,MF,Vitesse,20-035,2003,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/25cfb552/Jordi-Altena,25cfb552,Eredivisie
10,Jaydon Amauri Banel,NED,"MF,FW",Ajax,19-081,2004,0.3,0.00,6.67,0.00,0.0,6.67,0.00,0.00,,17.2,0.00,0.00,0.00,1.00,1.00,0.14,-1.00,-1.00,https://fbref.com/en/players/98e0d76c/Jaydon-Amauri-Banel,98e0d76c,Eredivisie
