Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Alfredo Talavera,mx MEX,GK,41-103,16.3,549,369,179,36,0,3,0,0,0,0,0,0,383,1,0,Matches
Luis Alfonso Rodríguez,mx MEX,DF,32-343,15.6,829,663,163,16,0,7,34,147,0,0,0,0,648,3,22,Matches
Aitor García,es ESP,"MF,FW",29-280,12.7,354,338,14,3,1,2,29,6,3,0,3,0,256,2,15,Matches
Javier Salas,mx MEX,MF,30-132,12.5,536,523,13,13,1,2,1,0,0,0,0,0,474,0,3,Matches
José García,mx MEX,DF,27-191,13.7,720,689,31,25,0,14,0,1,0,0,0,0,599,0,1,Matches
Moises Castillo,co COL,DF,22-220,13.0,626,609,17,16,0,6,0,1,0,0,0,0,538,0,5,Matches
Avilés Hurtado,co COL,"FW,MF",36-254,11.8,466,400,63,19,1,9,40,5,20,4,9,0,354,3,12,Matches
Diego Chávez Collins,mx MEX,"FW,MF",28-233,10.0,262,241,20,1,1,2,11,12,0,0,0,0,168,1,12,Matches
Denzell García,mx MEX,MF,20-137,9.9,483,469,12,4,3,5,4,7,0,0,0,0,415,2,7,Matches
Aldo Cruz,mx MEX,DF,26-097,8.5,394,306,86,4,0,2,14,82,0,0,0,0,290,2,19,Matches
Sebastián Saucedo,us USA,"FW,MF",26-342,7.3,249,212,36,16,0,8,21,7,12,5,3,0,201,1,5,Matches
Andrija Vukčević,me MNE,DF,27-080,7.0,230,189,37,0,0,2,21,37,0,0,0,0,177,4,2,Matches
Christian Oliva,uy URU,MF,27-212,5.6,283,241,41,15,1,3,30,2,24,7,12,0,226,1,2,Matches
Michael Santos,uy URU,FW,30-292,5.3,63,46,17,1,0,1,1,3,0,0,0,0,45,0,2,Matches
Gonzalo Pelúa,uy URU,DF,20-208,4.5,241,223,18,9,0,3,1,1,0,0,0,0,195,0,4,Matches
Diego Campillo,mx MEX,DF,22-072,3.7,171,143,28,5,0,2,0,23,0,0,0,0,131,0,3,Matches
Amaury Escoto,mx MEX,"FW,MF",31-030,4.6,77,70,6,1,0,0,2,0,1,1,0,0,51,1,0,Matches
Sebastián Pérez Bouquet,mx MEX,"MF,FW",20-191,4.6,175,167,8,1,0,1,5,2,3,2,0,0,144,0,6,Matches
Agustín Urzi,ar ARG,"MF,FW",23-240,3.8,140,120,17,6,0,1,24,6,5,3,2,0,87,3,8,Matches
Haret Ortega,mx MEX,DF,23-225,3.0,128,118,9,8,0,0,0,0,0,0,0,0,105,1,0,Matches
Diego Valoyes,co COL,MF,27-099,2.4,64,58,4,0,0,0,2,4,0,0,0,0,48,2,4,Matches
Santiago Ormeño,pe PER,"FW,MF",29-329,1.9,29,26,3,0,0,0,0,0,0,0,0,0,19,0,0,Matches
César Sosa,mx MEX,MF,19-251,1.2,44,42,2,2,0,0,0,0,0,0,0,0,39,0,0,Matches
Mario Osuna,mx MEX,"MF,FW",35-132,3.1,171,160,10,7,0,6,0,2,0,0,0,0,142,1,0,Matches
Ángel Zapata,mx MEX,MF,22-330,2.9,172,160,12,12,3,5,1,0,0,0,0,0,159,0,3,Matches
Francisco Nevarez,mx MEX,"DF,MF",23-027,0.7,34,31,3,0,0,0,1,3,0,0,0,0,27,0,1,Matches
Ramón Pasquel,mx MEX,GK,27-191,0.7,24,15,9,1,0,0,0,0,0,0,0,0,19,0,0,Matches
Jan Carmona,mx MEX,"FW,DF",19-253,0.5,28,19,9,1,0,0,1,8,0,0,0,0,18,0,2,Matches
Squad Total,,,28.9,17.0,7542,6647,867,222,11,84,243,359,68,22,29,0,5958,28,138,
Opponent Total,,,28.2,17.0,8364,7510,829,205,21,73,339,341,99,36,43,0,6696,25,149,
