Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Player Link_,Player ID_,Competition
1,Abdel Abdallah,COM,DF,Rodez Aveyron,26-143,1997,13.7,44.0,37.2,6.72,0.66,0.00,0.51,4.96,6.06,0.00,0.00,0.00,0.00,32.1,0.15,0.73,https://fbref.com/en/players/18f2e473/Abdel-Abdallah,18f2e473,Ligue 2
2,Himad Abdelli,ALG,"MF,FW",Angers,24-052,1999,18.0,63.5,58.0,5.28,2.67,0.78,1.06,1.83,0.94,0.56,0.17,0.11,0.00,51.7,0.22,1.33,https://fbref.com/en/players/7978cbf0/Himad-Abdelli,7978cbf0,Ligue 2
3,Ali Abdi,TUN,"DF,MF",Caen,30-019,1993,19.0,54.5,44.9,9.32,1.89,0.11,0.37,4.32,7.21,0.21,0.11,0.05,0.00,39.7,0.26,2.16,https://fbref.com/en/players/ad7cdb35/Ali-Abdi,ad7cdb35,Ligue 2
4,Elhadj Abdourahamane Bah,GUI,FW,Dunkerque,22-139,2001,1.2,,,,,,,0.83,,,,,,,,,https://fbref.com/en/players/9edcee65/Elhadj-Abdourahamane-Bah,9edcee65,Ligue 2
5,Salomon Abergel,FRA,DF,Ajaccio,19-188,2004,1.9,57.9,50.0,7.89,1.05,0.00,0.00,0.00,6.84,0.00,0.00,0.00,0.00,52.1,0.00,1.58,https://fbref.com/en/players/09273360/Salomon-Abergel,09273360,Ligue 2
6,Martin Adeline,FRA,MF,Annecy,20-037,2003,13.6,37.6,36.9,0.59,0.51,0.07,0.07,0.51,0.07,0.00,0.00,0.00,0.00,27.4,0.15,1.25,https://fbref.com/en/players/7587446d/Martin-Adeline,7587446d,Ligue 2
7,Jordan Adéoti,BEN,"MF,FW",Stade Laval,34-302,1989,1.1,45.5,41.8,2.73,0.91,0.00,0.91,1.82,1.82,0.00,0.00,0.00,0.00,30.9,0.91,2.73,https://fbref.com/en/players/508c8f3e/Jordan-Adeoti,508c8f3e,Ligue 2
8,Saad Agouzoul,MAR,DF,Auxerre,26-151,1997,5.2,67.9,65.8,2.12,0.77,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,61.5,0.00,0.38,https://fbref.com/en/players/e08ba522/Saad-Agouzoul,e08ba522,Ligue 2
9,Ange Ahoussou,CIV,"DF,MF",Pau FC,20-017,2003,6.1,47.0,45.1,1.64,1.64,0.00,0.33,0.16,0.00,0.00,0.00,0.00,0.00,40.2,0.33,0.00,https://fbref.com/en/players/6449f935/Ange-Ahoussou,6449f935,Ligue 2
10,Clément Akpa,CIV,DF,Auxerre,22-045,2001,5.3,57.0,48.5,8.49,1.13,0.19,0.19,4.53,7.36,0.00,0.00,0.00,0.00,43.8,0.00,1.32,https://fbref.com/en/players/0abb5072/Clement-Akpa,0abb5072,Ligue 2
11,Sofiane Alakouch,MAR,DF,Paris FC,25-163,1998,10.3,58.6,50.0,8.45,0.78,0.00,0.10,2.14,7.67,0.00,0.00,0.00,0.00,48.0,0.19,1.36,https://fbref.com/en/players/5314e067/Sofiane-Alakouch,5314e067,Ligue 2
12,Doğan Alemdar,TUR,GK,Troyes,21-071,2002,15.5,39.5,28.7,10.8,3.16,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,29.3,0.00,0.06,https://fbref.com/en/players/9e17ccff/Dogan-Alemdar,9e17ccff,Ligue 2
13,Migouel Alfarela,FRA,"FW,MF",Bastia,26-054,1997,12.8,23.8,21.8,1.95,0.08,0.16,0.08,0.55,0.70,0.08,0.00,0.00,0.00,15.9,0.08,1.64,https://fbref.com/en/players/681b4836/Migouel-Alfarela,681b4836,Ligue 2
14,Bobby Allain,FRA,GK,Grenoble,32-041,1991,2.0,51.5,38.5,13.0,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.0,0.00,0.00,https://fbref.com/en/players/8870154f/Bobby-Allain,8870154f,Ligue 2
15,Mickaël Alphonse,GLP,"DF,FW",Ajaccio,34-180,1989,1.6,50.6,42.5,7.50,0.00,0.00,0.00,2.50,7.50,0.00,0.00,0.00,0.00,30.6,0.63,1.25,https://fbref.com/en/players/0a63446f/Mickael-Alphonse,0a63446f,Ligue 2
16,Yacine El Amri,FRA,"MF,FW",Valenciennes,19-170,2004,0.3,50.0,50.0,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,30.0,0.00,3.33,https://fbref.com/en/players/cd118aaf/Yacine-El-Amri,cd118aaf,Ligue 2
17,Julien Anziani,FRA,"MF,FW",Dunkerque,24-199,1999,11.4,43.2,38.6,4.56,1.40,0.00,0.53,3.95,0.44,2.37,1.40,0.70,0.00,32.5,0.00,1.14,https://fbref.com/en/players/8d158016/Julien-Anziani,8d158016,Ligue 2
