Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
1,Abdel Abdallah,COM,DF,Rodez Aveyron,26-143,1997,13.7,1.39,0.80,0.73,0.51,0.15,0.73,1.53,47.6,0.80,0.73,0.15,0.58,1.09,2.48,1.39,0.00,https://fbref.com/en/players/18f2e473/Abdel-Abdallah,18f2e473,Ligue 2
2,Himad Abdelli,ALG,"MF,FW",Angers,24-052,1999,18.0,1.83,0.94,0.50,1.28,0.06,1.11,2.39,46.5,1.28,1.83,0.11,1.72,0.89,2.72,0.67,0.00,https://fbref.com/en/players/7978cbf0/Himad-Abdelli,7978cbf0,Ligue 2
3,Ali Abdi,TUN,"DF,MF",Caen,30-019,1993,19.0,2.58,1.63,1.26,1.05,0.26,1.16,2.16,53.7,1.00,0.89,0.05,0.84,1.37,3.95,1.58,0.00,https://fbref.com/en/players/ad7cdb35/Ali-Abdi,ad7cdb35,Ligue 2
4,Elhadj Abdourahamane Bah,GUI,FW,Dunkerque,22-139,2001,1.2,,0.83,,,,,,,,,,,0.00,,,,https://fbref.com/en/players/9edcee65/Elhadj-Abdourahamane-Bah,9edcee65,Ligue 2
5,Salomon Abergel,FRA,DF,Ajaccio,19-188,2004,1.9,4.74,2.11,3.16,1.05,0.53,4.21,5.79,72.7,1.58,2.63,0.53,2.11,1.05,5.79,2.63,0.00,https://fbref.com/en/players/09273360/Salomon-Abergel,09273360,Ligue 2
6,Martin Adeline,FRA,MF,Annecy,20-037,2003,13.6,2.72,1.32,0.51,1.47,0.74,1.76,3.53,50.0,1.76,1.76,0.51,1.25,1.32,4.04,1.91,0.00,https://fbref.com/en/players/7587446d/Martin-Adeline,7587446d,Ligue 2
7,Jordan Adéoti,BEN,"MF,FW",Stade Laval,34-302,1989,1.1,2.73,0.91,0.00,1.82,0.91,2.73,6.36,42.9,3.64,1.82,0.00,1.82,0.00,2.73,0.91,0.00,https://fbref.com/en/players/508c8f3e/Jordan-Adeoti,508c8f3e,Ligue 2
8,Saad Agouzoul,MAR,DF,Auxerre,26-151,1997,5.2,1.35,0.96,0.38,0.77,0.19,0.38,0.58,66.7,0.19,1.54,1.15,0.38,1.54,2.88,5.00,0.19,https://fbref.com/en/players/e08ba522/Saad-Agouzoul,e08ba522,Ligue 2
9,Ange Ahoussou,CIV,"DF,MF",Pau FC,20-017,2003,6.1,1.64,0.98,1.15,0.49,0.00,0.82,1.31,62.5,0.49,2.62,2.30,0.33,2.13,3.77,4.59,0.33,https://fbref.com/en/players/6449f935/Ange-Ahoussou,6449f935,Ligue 2
10,Clément Akpa,CIV,DF,Auxerre,22-045,2001,5.3,1.70,0.94,0.75,0.94,0.00,1.13,1.70,66.7,0.57,1.32,0.57,0.75,1.89,3.58,3.40,0.00,https://fbref.com/en/players/0abb5072/Clement-Akpa,0abb5072,Ligue 2
