Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Ignacio De Arruabarrena,uy URU,GK,26-348,15,1350.0,90.0,100.0,15.0,15,90.0,15,0,,0,1.07,22.0,20.0,2.0,0.13,,20.3,18.3,2.0,0.13,,Matches
Rafa Mújica,es ESP,FW,25-062,15,1210.0,81.0,89.6,13.4,14,84.0,8,1,32.0,0,1.07,18.0,16.0,2.0,0.15,0.15,18.6,15.5,3.1,0.23,0.95,Matches
Cristo González,es ESP,"FW,MF",26-067,15,1154.0,77.0,85.5,12.8,14,81.0,6,1,24.0,0,1.07,19.0,16.0,3.0,0.23,0.69,18.1,14.1,3.9,0.31,1.21,Matches
Morlaye Sylla,gn GUI,MF,25-156,14,1084.0,77.0,80.3,12.0,14,77.0,5,0,,0,0.93,14.0,18.0,-4.0,-0.33,-2.36,16.1,14.9,1.2,0.1,-0.18,Matches
David Simão,pt POR,MF,33-229,14,1084.0,77.0,80.3,12.0,13,80.0,3,1,45.0,0,1.14,19.0,12.0,7.0,0.58,2.27,17.3,11.0,6.3,0.52,1.97,Matches
Jason,es ESP,"MF,FW",29-177,15,1063.0,71.0,78.7,11.8,13,77.0,2,2,34.0,0,1.07,17.0,14.0,3.0,0.25,0.57,15.8,13.2,2.6,0.22,0.4,Matches
Francisco Montero,es ESP,DF,24-350,12,1077.0,90.0,79.8,12.0,12,90.0,11,0,,0,0.92,15.0,14.0,1.0,0.08,-0.25,16.8,15.9,0.9,0.07,-0.29,Matches
Nino Galović,hr CRO,DF,31-177,12,1064.0,89.0,78.8,11.8,12,89.0,11,0,,3,1.33,21.0,15.0,6.0,0.51,1.77,17.2,14.9,2.4,0.2,0.32,Matches
Tiago Esgaio,pt POR,DF,28-151,13,1034.0,80.0,76.6,11.5,12,84.0,8,1,21.0,0,1.23,21.0,16.0,5.0,0.44,1.29,15.6,13.9,1.7,0.15,0.08,Matches
Eboue Kouassi,ci CIV,MF,26-017,11,682.0,62.0,50.5,7.6,8,83.0,6,3,7.0,3,1.36,15.0,10.0,5.0,0.66,1.06,13.4,11.2,2.2,0.29,0.32,Matches
Weverson,br BRA,"DF,MF",23-178,9,623.0,69.0,46.1,6.9,8,76.0,4,1,14.0,0,0.89,8.0,8.0,0.0,0.0,-0.25,6.3,9.3,-3.0,-0.43,-1.04,Matches
Rafael Fernandes,pt POR,DF,21-185,9,669.0,74.0,49.6,7.4,7,89.0,6,2,22.0,0,0.89,5.0,10.0,-5.0,-0.67,-1.6,8.4,7.8,0.6,0.08,-0.1,Matches
Alfonso Trezza,uy URU,"FW,MF",24-191,12,611.0,51.0,45.3,6.8,7,66.0,0,5,29.0,2,0.75,6.0,9.0,-3.0,-0.44,-1.05,8.4,9.8,-1.4,-0.21,-0.62,Matches
Bogdan Milovanov,ua UKR,"DF,MF",25-255,11,563.0,51.0,41.7,6.3,6,72.0,3,5,26.0,1,0.82,9.0,6.0,3.0,0.48,0.59,11.6,7.5,4.1,0.65,0.89,Matches
Pedro Santos,pt POR,MF,23-079,11,233.0,21.0,17.3,2.6,2,45.0,0,9,16.0,4,1.09,5.0,3.0,2.0,0.77,0.77,3.2,3.9,-0.7,-0.27,-0.48,Matches
Oriol Busquets,es ESP,MF,24-344,6,227.0,38.0,16.8,2.5,2,68.0,1,4,23.0,6,1.17,3.0,5.0,-2.0,-0.79,-1.11,1.7,2.9,-1.1,-0.45,-0.7,Matches
Quaresma,br BRA,DF,27-130,3,191.0,64.0,14.1,2.1,2,79.0,0,1,33.0,0,1.67,4.0,5.0,-1.0,-0.47,-0.7,1.7,0.9,0.8,0.38,0.29,Matches
Matí­as Rocha,uy URU,DF,22-320,3,53.0,18.0,3.9,0.6,2,26.0,0,1,1.0,6,0.67,0.0,3.0,-3.0,-5.09,-5.44,0.3,3.0,-2.6,-4.48,-4.8,Matches
Jerome Opoku,gh GHA,DF,25-077,2,135.0,68.0,10.0,1.5,1,90.0,1,1,45.0,0,2.0,5.0,4.0,1.0,0.67,0.59,1.1,0.9,0.2,0.14,0.01,Matches
Vitinho,br BRA,"FW,MF",23-360,3,79.0,26.0,5.9,0.9,1,45.0,0,2,17.0,2,1.33,1.0,0.0,1.0,1.14,1.07,0.8,1.6,-0.8,-0.88,-1.07,Matches
Miguel Puche García,es ESP,"FW,MF",22-244,12,185.0,15.0,13.7,2.1,0,,0,12,15.0,3,0.75,4.0,5.0,-1.0,-0.49,-0.72,3.3,2.8,0.4,0.21,0.09,Matches
André Bukia,cd COD,"MF,FW",28-302,8,120.0,15.0,8.9,1.3,0,,0,8,15.0,3,1.38,3.0,1.0,2.0,1.5,1.5,3.0,1.9,1.1,0.8,0.74,Matches
Moses Yaw,gh GHA,"DF,MF",24-357,2,63.0,32.0,4.7,0.7,0,,0,2,32.0,6,0.5,0.0,2.0,-2.0,-2.86,-3.14,1.0,2.2,-1.2,-1.69,-1.91,Matches
Benji Michel,us USA,"FW,MF",26-068,4,27.0,7.0,2.0,0.3,0,,0,4,7.0,2,1.5,1.0,0.0,1.0,3.33,3.27,0.7,0.1,0.6,2.09,1.99,Matches
Yusuf Lawal,ng NGA,"FW,MF",25-282,4,26.0,7.0,1.9,0.3,0,,0,4,7.0,8,0.75,1.0,2.0,-1.0,-3.46,-3.67,0.8,0.3,0.6,1.88,1.78,Matches
Mosquito,br BRA,GK,27-201,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches
Pedro Manuel da Silva Moreira,pt POR,MF,34-229,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
João Valido,pt POR,GK,23-302,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Squad Total,,,26.8,15,1350.0,90.0,100.0,15.0,165,81.0,90,70,19.0,65,1.07,22.0,20.0,2.0,0.13,,20.3,18.3,2.0,0.13,,
Opponent Total,,,26.9,15,1350.0,90.0,100.0,15.0,165,81.0,89,72,21.0,62,1.67,20.0,22.0,-2.0,-0.13,,18.3,20.3,-2.0,-0.13,,
