Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Ignacio De Arruabarrena,uy URU,GK,26-348,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafa Mújica,es ESP,FW,25-062,15,14,1210.0,13.4,8.0,0.0,8.0,8.0,0.0,0.0,3.0,1.0,6.9,6.9,0.6,7.5,19.0,10.0,74.0,0.6,0.0,0.6,0.6,0.6,0.51,0.04,0.55,0.51,0.55,Matches
Cristo González,es ESP,"FW,MF",26-067,15,14,1154.0,12.8,6.0,2.0,8.0,6.0,0.0,1.0,2.0,0.0,4.4,3.6,2.0,5.6,31.0,54.0,96.0,0.47,0.16,0.62,0.47,0.62,0.34,0.16,0.5,0.28,0.44,Matches
Morlaye Sylla,gn GUI,MF,25-156,14,14,1084.0,12.0,1.0,4.0,5.0,1.0,0.0,1.0,6.0,0.0,2.2,1.4,1.5,2.9,19.0,67.0,33.0,0.08,0.33,0.42,0.08,0.42,0.18,0.13,0.31,0.11,0.24,Matches
David Simão,pt POR,MF,33-229,14,13,1084.0,12.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,0.1,0.1,2.2,2.3,7.0,92.0,18.0,0.0,0.25,0.25,0.0,0.25,0.01,0.18,0.19,0.01,0.19,Matches
Jason,es ESP,"MF,FW",29-177,15,13,1063.0,11.8,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.6,2.6,1.2,3.8,23.0,41.0,99.0,0.25,0.08,0.34,0.25,0.34,0.22,0.1,0.32,0.22,0.32,Matches
Francisco Montero,es ESP,DF,24-350,12,12,1077.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.0,0.8,7.0,45.0,4.0,0.08,0.0,0.08,0.08,0.08,0.07,0.0,0.07,0.07,0.07,Matches
Nino Galović,hr CRO,DF,31-177,12,12,1064.0,11.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.9,2.0,33.0,1.0,0.0,0.08,0.08,0.0,0.08,0.03,0.04,0.07,0.03,0.07,Matches
Tiago Esgaio,pt POR,DF,28-151,13,12,1034.0,11.5,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,1.9,2.4,14.0,56.0,44.0,0.0,0.17,0.17,0.0,0.17,0.04,0.17,0.21,0.04,0.21,Matches
Eboue Kouassi,ci CIV,MF,26-017,11,8,682.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.4,0.4,0.3,0.7,3.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches
Weverson,br BRA,"DF,MF",23-178,9,8,623.0,6.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.2,1.2,11.0,20.0,45.0,0.0,0.14,0.14,0.0,0.14,0.0,0.17,0.18,0.0,0.18,Matches
